𤭢	〔亠瓦ww〕
鏖	〔鹿金lj〕
遨	〔辶攵zw〕
媪	〔女皿nm〕
螯	〔龶虫fi〕
岙	〔夭山yu〕
璈	〔𤣩攵ww〕
鏊	〔龶金fj〕
聱	〔龶耳fe〕
廒	〔广攵gw〕
奡	〔𦣻{⿰丿丨}bl〕
隩	〔⻖大ed〕
薁	〔艹大cd〕
嶅	〔龶山fu〕
把	〔扌巴fb〕
吧	〔口巴kb〕
八	〔丿乀pn〕
爸	〔父巴fb〕
巴	〔巳丨sl〕
罢	〔罒去sq〕
拔	〔扌又fy〕
霸	〔雨月yo〕
疤	〔疒巴bb〕
跋	〔𧾷又zy〕
扒	〔扌八fb〕
叭	〔口八kb〕
芭	〔艹巴cb〕
靶	〔革巴gb〕
坝	〔土贝tb〕
耙	〔耒巴lb〕
笆	〔竹巴vb〕
魃	〔鬼又gy〕
粑	〔米巴mb〕
钯	〔钅巴jb〕
灞	〔氵月do〕
捌	〔扌刂fd〕
鲅	〔鱼又yy〕
岜	〔山巴ub〕
鲃	〔鱼巴yb〕
菝	〔艹又cy〕
蚆	〔虫巴ib〕
胈	〔⺼又oy〕
羓	〔羊巴yb〕
朳	〔木八mb〕
妭	〔女又ny〕
白	〔丿日po〕
百	〔一白ab〕
败	〔贝攵bw〕
摆	〔扌去fq〕
拜	〔龵丰uf〕
柏	〔木白mb〕
掰	〔手手uu〕
伯	〔亻白rb〕
佰	〔亻百rb〕
稗	〔禾十hu〕
捭	〔扌十fu〕
半	〔丷𰀁bf〕
办	〔力八lb〕
般	〔舟殳vu〕
板	〔木又my〕
班	〔𤣩リwl〕
伴	〔亻半rb〕
版	〔片又py〕
搬	〔扌殳fu〕
扮	〔扌分ff〕
斑	〔𤣩文ww〕
扳	〔扌又fy〕
瓣	〔辛瓜xg〕
绊	〔纟半sb〕
颁	〔分页fy〕
拌	〔扌半fb〕
阪	〔⻖又ey〕
坂	〔土又ty〕
瘢	〔疒殳bu〕
钣	〔钅又jy〕
癍	〔疒文bw〕
攽	〔分攵fw〕
柈	〔木半mb〕
昄	〔日又oy〕
湴	〔氵业dy〕
靽	〔革半gb〕
𨭉	〔文金wj〕
帮	〔丰巾fj〕
膀	〔⺼方of〕
邦	〔丰⻏fe〕
棒	〔木𰀁mf〕
绑	〔纟⻏se〕
榜	〔木方mf〕
傍	〔亻方rf〕
磅	〔石方uf〕
梆	〔木⻏me〕
镑	〔钅方jf〕
谤	〔讠方yf〕
蚌	〔虫丰if〕
浜	〔氵八db〕
蒡	〔艹方cf〕
玤	〔𤣩丰wf〕
搒	〔扌方ff〕
塝	〔土方tf〕
𠳐	〔口⻏ke〕
保	〔亻木rm〕
报	〔扌又fy〕
包	〔勹巳bs〕
宝	〔宀玉by〕
抱	〔扌包fb〕
暴	〔日氺ou〕
爆	〔火氺hu〕
薄	〔艹寸cc〕
堡	〔亻土rt〕
饱	〔饣包ub〕
豹	〔豸勺vu〕
胞	〔⺼包ob〕
剥	〔彐刂ed〕
鲍	〔鱼包yb〕
褒	〔衣木ym〕
刨	〔包刂bd〕
苞	〔艹包cb〕
鸨	〔匕鸟bn〕
曝	〔日氺ou〕
煲	〔亻火rh〕
葆	〔艹木cm〕
雹	〔雨包yb〕
褓	〔衤木pm〕
炮	〔火包hb〕
龅	〔止包vb〕
孢	〔子包zb〕
趵	〔𧾷勺zu〕
枹	〔木包mb〕
瀑	〔氵氺du〕
被	〔衤皮pp〕
备	〔夂田wt〕
北	〔{北左}匕lb〕
背	〔北⺝bo〕
呗	〔口贝kb〕
杯	〔木不mb〕
辈	〔非车fi〕
悲	〔非心fx〕
贝	〔冂人kr〕
倍	〔亻口rk〕
卑	〔{卑上}十pu〕
惫	〔夂心wx〕
碑	〔石十uu〕
狈	〔犭贝qb〕
蓓	〔艹口ck〕
悖	〔忄子xz〕
孛	〔十子uz〕
焙	〔火口hk〕
邶	〔北⻏be〕
陂	〔⻖皮ep〕
钡	〔钅贝jb〕
褙	〔衤⺝po〕
碚	〔石口uk〕
鞴	〔革用gy〕
鐾	〔尸金uj〕
鹎	〔{卑上}鸟pn〕
棓	〔木口mk〕
糒	〔米用my〕
琲	〔𤣩非wf〕
椑	〔木十mu〕
臂	〔尸⺝uo〕
鞁	〔革皮gp〕
𬇙	〔氵贝db〕
本	〔木一ma〕
奔	〔大廾dc〕
笨	〔竹本vb〕
贲	〔十贝ub〕
苯	〔艹本cb〕
锛	〔钅廾jc〕
畚	〔厶田st〕
犇	〔牛牛nn〕
坌	〔分土ft〕
倴	〔亻廾rc〕
栟	〔木开mk〕
夯	〔大力dl〕
崩	〔山月uo〕
蹦	〔𧾷月zo〕
绷	〔纟月so〕
迸	〔辶开zk〕
甭	〔不用by〕
嘣	〔口月ko〕
泵	〔石水uu〕
镚	〔钅月jo〕
甏	〔士瓦tw〕
琫	〔𤣩𰀁wf〕
祊	〔礻方pf〕
比	〔匕匕bb〕
必	〔心丿xp〕
毕	〔匕十bu〕
笔	〔竹毛vm〕
避	〔辶辛zx〕
闭	〔门才mc〕
鼻	〔自丌zw〕
逼	〔辶田zt〕
屄	〔尸八ub〕
壁	〔尸土ut〕
彼	〔彳皮rp〕
碧	〔𤣩石wu〕
币	〔丿巾pj〕
陛	〔⻖土et〕
鄙	〔口⻏ke〕
蔽	〔艹攵cw〕
匕	〔丿乚pv〕
毙	〔匕匕bb〕
辟	〔尸辛ux〕
婢	〔女十nu〕
弊	〔⺌廾xc〕
璧	〔尸玉uy〕
庇	〔广匕gb〕
敝	〔⺌攵xw〕
痹	〔疒丌bw〕
弼	〔弓百gb〕
俾	〔亻十ru〕
裨	〔衤十pu〕
薜	〔艹辛cx〕
哔	〔口十ku〕
愎	〔忄夂xw〕
吡	〔口匕kb〕
跸	〔𧾷十zu〕
妣	〔女匕nb〕
篦	〔竹匕vb〕
荜	〔艹十cu〕
狴	〔犭土qt〕
毖	〔匕必bb〕
蓖	〔艹匕cb〕
嬖	〔尸女un〕
筚	〔竹十vu〕
髀	〔冎十gu〕
荸	〔艹子cz〕
濞	〔氵丌dw〕
畀	〔田丌tw〕
赑	〔贝贝bb〕
秕	〔禾匕hb〕
箅	〔竹丌vw〕
芘	〔艹匕cb〕
佛	〔亻弗rf〕
襞	〔尸衣uy〕
苾	〔艹必cb〕
滗	〔氵毛dm〕
铋	〔钅必jb〕
庳	〔广十gu〕
萆	〔艹十cu〕
皕	〔百百bb〕
咇	〔口必kb〕
舭	〔舟匕vb〕
沘	〔氵匕db〕
珌	〔𤣩必wb〕
觱	〔戊用wy〕
诐	〔讠皮yp〕
邲	〔必⻏be〕
佖	〔亻必rb〕
馝	〔禾必hb〕
坒	〔匕土bt〕
泌	〔氵必db〕
秘	〔禾必hb〕
鲾	〔鱼田yt〕
边	〔辶力zl〕
便	〔亻更rg〕
变	〔亠又wy〕
遍	〔辶卄zc〕
编	〔纟卄sc〕
辩	〔辛讠xy〕
鞭	〔革更gg〕
辨	〔辛リxl〕
扁	〔户卄hc〕
辫	〔辛纟xs〕
贬	〔贝乏bf〕
蝙	〔虫卄ic〕
匾	〔匚卄kc〕
卞	〔亠卜wb〕
汴	〔氵卜db〕
弁	〔厶廾sc〕
砭	〔石乏uf〕
煸	〔火卄hc〕
褊	〔衤卄pc〕
笾	〔竹力vl〕
鳊	〔鱼卄yc〕
昪	〔日廾oc〕
忭	〔忄卜xb〕
苄	〔艹卜cb〕
抃	〔扌卜fb〕
碥	〔石卄uc〕
萹	〔艹卄cc〕
𨚕	〔厶⻏se〕
表	〔龶𧘇fy〕
标	〔木示mu〕
镖	〔钅示ju〕
彪	〔虍彡hp〕
飙	〔犬风qf〕
婊	〔女𧘇ny〕
骠	〔马示mu〕
镳	〔钅灬jh〕
膘	〔⺼示ou〕
裱	〔衤𧘇py〕
杓	〔木勺mu〕
飑	〔风包fb〕
俵	〔亻𧘇ry〕
鳔	〔鱼示yu〕
摽	〔扌示fu〕
瘭	〔疒示bu〕
熛	〔火示hu〕
藨	〔艹灬ch〕
儦	〔亻灬rh〕
骉	〔马马mm〕
瀌	〔氵灬dh〕
幖	〔巾示ju〕
脿	〔⺼𧘇oy〕
别	〔口刂kd〕
憋	〔⺌心xx〕
瘪	〔疒仑bl〕
鳖	〔⺌鱼xy〕
蹩	〔⺌足xz〕
癿	〔白乚bv〕
宾	〔宀八bb〕
彬	〔木彡mp〕
斌	〔文止wv〕
滨	〔氵八db〕
鬓	〔E八eb〕
缤	〔纟八sb〕
镔	〔钅八jb〕
濒	〔氵页dy〕
槟	〔木八mb〕
殡	〔歹八db〕
膑	〔⺼八ob〕
摈	〔扌八fb〕
玢	〔𤣩分wf〕
傧	〔亻八rb〕
豳	〔山豕uu〕
邠	〔分⻏fe〕
髌	〔冎八gb〕
并	〔丷开bk〕
兵	〔丘八qb〕
冰	〔冫水du〕
病	〔疒内bn〕
柄	〔木内mn〕
饼	〔饣开uk〕
禀	〔亠示wu〕
秉	〔千人qr〕
丙	〔一内an〕
炳	〔火内hn〕
摒	〔扌开fk〕
屏	〔尸开uk〕
邴	〔丙⻏be〕
昺	〔日内on〕
蛃	〔虫内in〕
波	〔氵皮dp〕
博	〔十寸uc〕
脖	〔⺼子oz〕
拨	〔扌又fy〕
播	〔扌田ft〕
勃	〔十力ul〕
玻	〔𤣩皮wp〕
膊	〔⺼寸oc〕
搏	〔扌寸fc〕
驳	〔马乂mx〕
泊	〔氵白db〕
簸	〔竹皮vp〕
帛	〔白巾bj〕
钵	〔钅本jb〕
跛	〔𧾷皮zp〕
渤	〔氵力dl〕
菠	〔艹皮cp〕
礴	〔石寸uc〕
啵	〔口皮kp〕
舶	〔舟白vb〕
卜	〔丨丶ld〕
饽	〔饣子uz〕
铂	〔钅白jb〕
钹	〔钅又jy〕
箔	〔竹白vb〕
亳	〔亠七wq〕
擘	〔尸手uu〕
檗	〔尸木um〕
鹁	〔十鸟un〕
僰	〔朿人ur〕
踣	〔𧾷口zk〕
镈	〔钅寸jc〕
砵	〔石本ub〕
鲌	〔鱼白yb〕
哱	〔口子kz〕
嶓	〔山田ut〕
浡	〔氵子dz〕
馞	〔禾子hz〕
艴	〔弗巴fb〕
蕃	〔艹田ct〕
欂	〔木寸mc〕
袯	〔衤又py〕
𬭛	〔钅皮jp〕
不	〔丆卜ab〕
部	〔立⻏le〕
步	〔止𣥂vu〕
布	〔𠂇巾uj〕
补	〔衤卜pb〕
怖	〔忄巾xj〕
捕	〔扌甫ff〕
簿	〔竹寸vc〕
埔	〔土甫tf〕
哺	〔口甫kf〕
埠	〔土阜tf〕
卟	〔口卜kb〕
逋	〔辶甫zf〕
钚	〔钅不jb〕
晡	〔日甫of〕
瓿	〔立瓦lw〕
醭	〔酉夫yf〕
蔀	〔艹⻏ce〕
埗	〔土𣥂tu〕
𬷕	〔甫鸟fn〕
擦	〔扌示fu〕
嚓	〔口示ku〕
才	〔𬺰丿up〕
菜	〔艹采cc〕
彩	〔采彡cp〕
采	〔爫木vm〕
财	〔贝才bc〕
材	〔木才mc〕
猜	〔犭⺝qo〕
蔡	〔艹示cu〕
裁	〔戈衣gy〕
踩	〔𧾷采zc〕
睬	〔目采oc〕
偲	〔亻心rx〕
参	〔厶彡sp〕
残	〔歹戋dj〕
惨	〔忄彡xp〕
餐	〔歺艮dg〕
灿	〔火山hu〕
惭	〔忄斤xj〕
蚕	〔天虫ti〕
璨	〔𤣩米wm〕
粲	〔歺米dm〕
骖	〔马彡mp〕
黪	〔{里}彡lp〕
䅟	〔禾彡hp〕
藏	〔艹臣ci〕
苍	〔艹㔾cv〕
仓	〔𠆢㔾rv〕
舱	〔舟㔾vv〕
沧	〔氵㔾dv〕
伧	〔亻㔾rv〕
鸧	〔仑灬lh〕
草	〔艹十cu〕
操	〔扌木fm〕
肏	〔入肉rr〕
艹	〔一〢al〕
曹	〔艹曰co〕
嘈	〔口曰ko〕
糙	〔米口mk〕
槽	〔木曰mo〕
漕	〔氵曰do〕
屮	〔凵丨kl〕
芔	〔屮屮cc〕
艚	〔舟曰vo〕
螬	〔虫曰io〕
𥕢	〔石曰uo〕
测	〔氵刂dd〕
侧	〔亻刂rd〕
册	〔⺆一ka〕
策	〔竹朿vu〕
厕	〔厂刂id〕
恻	〔忄刂xd〕
岑	〔山㇇uv〕
涔	〔氵㇇dv〕
曾	〔丷日bo〕
层	〔尸云uy〕
蹭	〔𧾷日zo〕
噌	〔口日ko〕
嶒	〔山日uo〕
差	〔⺶工yg〕
查	〔木旦md〕
察	〔宀示bu〕
茶	〔艹朩cm〕
插	〔扌臼fj〕
诧	〔讠七yq〕
叉	〔又丶yd〕
岔	〔分山fu〕
茬	〔艹土ct〕
衩	〔衤叉pi〕
碴	〔石旦ud〕
姹	〔女七nq〕
杈	〔木叉mi〕
搽	〔扌朩fm〕
刹	〔㐅刂xd〕
檫	〔木示mu〕
槎	〔木工mg〕
汊	〔氵叉di〕
镲	〔钅示ju〕
锸	〔钅臼jj〕
馇	〔饣旦ud〕
垞	〔土七tq〕
侘	〔亻七rq〕
猹	〔犭旦qd〕
蹅	〔𧾷旦zd〕
嵖	〔山旦ud〕
喳	〔口旦kd〕
𥻗	〔米旦md〕
拆	〔扌斥fi〕
柴	〔止木vm〕
钗	〔钅叉ji〕
豺	〔豸才vc〕
侪	〔亻齐rq〕
茝	〔艹𦣞ci〕
虿	〔万虫wi〕
瘥	〔疒工bg〕
产	〔亠厂wi〕
颤	〔亠页wy〕
缠	〔纟里sl〕
禅	〔礻十pu〕
蝉	〔虫十iu〕
搀	〔扌⺀fd〕
铲	〔钅厂ji〕
婵	〔女十nu〕
掺	〔扌彡fp〕
阐	〔门十mu〕
忏	〔忄千xq〕
馋	〔饣⺀ud〕
潺	〔氵子dz〕
蟾	〔虫口ik〕
谄	〔讠臼yj〕
谗	〔讠⺀yd〕
孱	〔尸子uz〕
冁	〔丷{𧘇-丿}by〕
澶	〔氵旦dd〕
觇	〔占见vj〕
镡	〔钅十ju〕
羼	〔尸羊uy〕
廛	〔广土gt〕
巉	〔山兔ut〕
蒇	〔艹贝cb〕
韂	〔革口gk〕
躔	〔𧾷土zt〕
刬	〔戋刂jd〕
浐	〔氵厂di〕
襜	〔衤口pk〕
瀍	〔氵土dt〕
骣	〔马子mz〕
镵	〔钅兔jt〕
旵	〔日山ou〕
啴	〔口十ku〕
梴	〔木正mv〕
儳	〔亻兔rt〕
单	〔丷十bu〕
辿	〔辶山zu〕
𬊤	〔火十hu〕
长	〔丿ㄟpn〕
常	〔龸巾xj〕
场	〔土丿tp〕
唱	〔口曰ko〕
厂	〔一丿ap〕
尝	〔龸云xy〕
昌	〔日曰oo〕
畅	〔申丿up〕
肠	〔⺼丿op〕
偿	〔亻云ry〕
敞	〔⺌攵xw〕
怅	〔忄长xi〕
倡	〔亻曰ro〕
娼	〔女曰no〕
嫦	〔女巾nj〕
猖	〔犭曰qo〕
昶	〔永日yo〕
徜	〔彳口rk〕
氅	〔⺌毛xm〕
伥	〔亻长ri〕
裳	〔龸衣xy〕
菖	〔艹曰co〕
苌	〔艹长ci〕
阊	〔门曰mo〕
鬯	〔凵匕kb〕
惝	〔忄口xk〕
鲳	〔鱼曰yo〕
鲿	〔鱼云yy〕
𬬮	〔钅长ji〕
超	〔土口tk〕
朝	〔十月uo〕
潮	〔氵月do〕
吵	〔口少ku〕
嘲	〔口月ko〕
抄	〔扌少fu〕
炒	〔火少hu〕
巢	〔巛果vg〕
钞	〔钅少ju〕
晁	〔日兆ov〕
焯	〔火十hu〕
耖	〔耒少lu〕
怊	〔忄口xk〕
弨	〔弓口gk〕
绰	〔纟十su〕
车	〔一十au〕
彻	〔彳刀rd〕
扯	〔扌止fv〕
撤	〔扌攵fw〕
澈	〔氵攵dw〕
掣	〔牛手nu〕
砗	〔石车ui〕
坼	〔土斥ti〕
尺	〔尸乀un〕
㬚	〔日攵ow〕
沉	〔氵几dj〕
陈	〔⻖东ed〕
臣	〔匚丨kl〕
晨	〔日辰oi〕
尘	〔小土xt〕
趁	〔土彡tp〕
辰	〔厂{𧘇-丿}iy〕
衬	〔衤寸pc〕
嗔	〔口八kb〕
琛	〔𤣩木wm〕
称	〔禾小hx〕
宸	〔宀辰bi〕
忱	〔忄儿xe〕
抻	〔扌申fu〕
碜	〔石彡up〕
谌	〔讠八yb〕
谶	〔讠韭yj〕
郴	〔木⻏me〕
棽	〔木㇇mv〕
瞋	〔目八ob〕
榇	〔木木mm〕
龀	〔止匕vb〕
疢	〔疒火bh〕
梣	〔木㇇mv〕
煁	〔火八hb〕
𬘭	〔纟木sm〕
成	〔戊𠃌wv〕
城	〔土成ti〕
程	〔禾王hw〕
承	〔了乀ln〕
诚	〔讠成yi〕
盛	〔成皿im〕
乘	〔千人qr〕
撑	〔扌手fu〕
呈	〔口王kw〕
惩	〔彳心rx〕
丞	〔了一la〕
澄	〔氵䒑db〕
逞	〔辶王zw〕
橙	〔木䒑mb〕
骋	〔马丂mk〕
瞠	〔目土ot〕
秤	〔禾平hp〕
铖	〔钅成ji〕
塍	〔月土ot〕
琤	〔𤣩{肀亅}wy〕
裎	〔衤王pw〕
澂	〔氵攵dw〕
埕	〔土王tw〕
柽	〔木土mt〕
蛏	〔虫土it〕
酲	〔酉王yw〕
枨	〔木长mi〕
珵	〔𤣩王ww〕
赪	〔赤贝ib〕
偁	〔亻冉rr〕
宬	〔宀成bi〕
牚	〔龸牙xy〕
珹	〔𤣩成wi〕
憕	〔忄䒑xb〕
庱	〔广夂gw〕
晟	〔日成oi〕
铛	〔钅彐je〕
吃	〔口乙kv〕
持	〔扌寸fc〕
迟	〔⻌尺zi〕
赤	〔土{亦下}tb〕
痴	〔疒口bk〕
池	〔氵也dy〕
齿	〔止人vr〕
斥	〔斤丶jd〕
驰	〔马也my〕
耻	〔耳止ev〕
翅	〔支习vx〕
哧	〔口赤ki〕
炽	〔火只hv〕
嗤	〔口虫ki〕
蚩	〔屮虫ci〕
叱	〔口𠤎kb〕
弛	〔弓也gy〕
侈	〔亻夕rx〕
啻	〔亠口wk〕
敕	〔束攵uw〕
螭	〔虫禸in〕
魑	〔鬼禸gn〕
饬	〔饣力ul〕
笞	〔竹口vk〕
匙	〔日匕ob〕
踟	〔𧾷口zk〕
墀	〔土牛tn〕
豉	〔豆支dv〕
媸	〔女虫ni〕
褫	〔衤几pj〕
鸱	〔氐鸟un〕
彳	〔丿亻pr〕
茌	〔艹士ct〕
篪	〔竹几vj〕
瘛	〔疒心bx〕
摛	〔扌禸fn〕
眵	〔目夕ox〕
傺	〔亻示ru〕
漦	〔未水wu〕
胣	〔⺼也oy〕
瓻	〔㐅瓦xw〕
痓	〔疒土bt〕
𫄨	〔纟巾sj〕
冲	〔冫中dv〕
充	〔亠允wy〕
重	〔千里ql〕
虫	〔中丶vd〕
崇	〔山示uu〕
宠	〔宀龙bl〕
忡	〔忄中xv〕
憧	〔忄里xl〕
铳	〔钅允jy〕
舂	〔𡗗臼ij〕
艟	〔舟里vl〕
翀	〔习中xv〕
茺	〔艹允cy〕
珫	〔𤣩允wy〕
漴	〔氵示du〕
涌	〔氵用dy〕
种	〔禾中hv〕
㳘	〔氵允dy〕
摏	〔扌臼fj〕
抽	〔扌由fy〕
仇	〔亻九rj〕
臭	〔自犬zq〕
丑	〔𠃍土vt〕
愁	〔禾心hx〕
筹	〔竹寸vc〕
瞅	〔目火oh〕
酬	〔酉州yv〕
绸	〔纟口sk〕
畴	〔田寸tc〕
踌	〔𧾷寸zc〕
惆	〔忄口xk〕
稠	〔禾口hk〕
俦	〔亻寸rc〕
雠	〔亻讠ry〕
瘳	〔疒彡bp〕
犨	〔亻牛rn〕
帱	〔巾寸jc〕
杻	〔木丑mi〕
侴	〔𠆢刂rd〕
椆	〔木口mk〕
出	〔山山uu〕
处	〔夂卜wb〕
楚	〔木疋mz〕
除	〔⻖朩em〕
初	〔衤刀pd〕
触	〔⺈虫di〕
厨	〔厂寸ic〕
础	〔石出ui〕
储	〔亻日ro〕
畜	〔玄田xt〕
褚	〔衤日po〕
搐	〔扌田ft〕
橱	〔木寸mc〕
躇	〔𧾷日zo〕
雏	〔⺈{隹右}dv〕
锄	〔钅力jl〕
矗	〔十{具-八}uq〕
杵	〔木十mu〕
楮	〔木日mo〕
怵	〔忄术xu〕
黜	〔{里}出li〕
绌	〔纟出si〕
蜍	〔虫朩im〕
刍	〔⺈彐de〕
滁	〔氵朩dm〕
樗	〔木丂mk〕
蹰	〔𧾷寸zc〕
憷	〔忄疋xz〕
亍	〔一丁ad〕
俶	〔亻又ry〕
斶	〔斤虫ji〕
摴	〔扌丂fk〕
䝙	〔豸区vq〕
䢺	〔出⻏ie〕
濋	〔氵疋dz〕
琡	〔𤣩又wy〕
𬺓	〔止疋vz〕
欻	〔火欠hq〕
揣	〔扌而fe〕
踹	〔𧾷而ze〕
搋	〔扌几fj〕
啜	〔口又ky〕
传	〔亻专rv〕
穿	〔宀牙by〕
船	〔舟口vk〕
川	〔丿〢pl〕
喘	〔口而ke〕
串	〔口丨kl〕
钏	〔钅川ji〕
椽	〔木𧰨mu〕
舛	〔夕㐄xf〕
遄	〔辶而ze〕
氚	〔气川qi〕
床	〔广木gm〕
窗	〔宀夂bw〕
创	〔𠆢刂rd〕
疮	〔疒㔾bv〕
闯	〔门马mm〕
怆	〔忄㔾xv〕
幢	〔巾里jl〕
噇	〔口里kl〕
吹	〔口欠kq〕
垂	〔千士qt〕
锤	〔钅士jt〕
捶	〔扌士ft〕
炊	〔火欠hq〕
槌	〔木𠂤ml〕
陲	〔⻖士et〕
棰	〔木士mt〕
倕	〔亻士rt〕
圌	〔囗而ke〕
春	〔𡗗日io〕
纯	〔纟屯st〕
唇	〔辰口ik〕
蠢	〔𡗗虫ii〕
淳	〔氵子dz〕
醇	〔酉子yz〕
椿	〔木日mo〕
鹑	〔亠鸟wn〕
莼	〔艹屯ct〕
蝽	〔虫日io〕
瑃	〔𤣩日wo〕
䲠	〔鱼日yo〕
堾	〔土日to〕
𬭚	〔钅子jz〕
戳	〔习戈xg〕
龊	〔止足vz〕
辍	〔车又iy〕
踔	〔𧾷十zu〕
惙	〔忄又xy〕
逴	〔辶十zu〕
此	〔止匕vb〕
次	〔冫欠dq〕
刺	〔朿刂ud〕
词	〔讠口yk〕
辞	〔舌辛ux〕
慈	〔丷心bx〕
赐	〔贝勿bw〕
磁	〔石幺uy〕
伺	〔亻口rk〕
瓷	〔冫瓦dw〕
茨	〔艹欠cq〕
雌	〔止{隹右}vv〕
祠	〔礻口pk〕
呲	〔口匕kb〕
疵	〔疒匕bb〕
泚	〔氵匕db〕
糍	〔米幺my〕
鹚	〔丷鸟bn〕
茈	〔艹匕cb〕
跐	〔𧾷匕zb〕
玼	〔𤣩匕wb〕
佽	〔亻欠rq〕
兹	〔丷幺by〕
莿	〔艹刂cd〕
𫚖	〔止鱼vy〕
从	〔人人rr〕
匆	〔勹丶bd〕
聪	〔耳心ex〕
丛	〔人一ra〕
葱	〔艹心cx〕
琮	〔𤣩示wu〕
淙	〔氵示du〕
囱	〔丿夂pw〕
骢	〔马心mx〕
苁	〔艹人cr〕
枞	〔木人mr〕
璁	〔𤣩心wx〕
熜	〔火心hx〕
悰	〔忄示xu〕
凑	〔冫天dt〕
辏	〔车天it〕
腠	〔⺼天ot〕
粗	〔米且mq〕
促	〔亻足rz〕
醋	〔酉日yo〕
簇	〔竹矢vu〕
猝	〔犭十qu〕
蹙	〔戊足wz〕
蹴	〔𧾷尤zy〕
卒	〔亠十wu〕
徂	〔彳且rq〕
殂	〔歹且dq〕
蔟	〔艹矢cu〕
窜	〔宀串bi〕
蹿	〔𧾷串zi〕
篡	〔竹厶vs〕
撺	〔扌串fi〕
攒	〔扌贝fb〕
汆	〔入水ru〕
爨	〔𦥑火jh〕
镩	〔钅串ji〕
脆	〔⺼㔾ov〕
催	〔亻{隹右}rv〕
翠	〔习十xu〕
崔	〔山{隹右}uv〕
摧	〔扌{隹右}fv〕
粹	〔米十mu〕
悴	〔忄十xu〕
璀	〔𤣩{隹右}wv〕
啐	〔口十ku〕
萃	〔艹十cu〕
瘁	〔疒十bu〕
淬	〔氵十du〕
榱	〔木{⿻口一}mv〕
毳	〔毛毛mm〕
漼	〔氵{隹右}dv〕
缞	〔纟{⿻口一}sv〕
存	〔𠂇子uz〕
村	〔木寸mc〕
寸	〔𬺰丶ud〕
忖	〔忄寸xc〕
皴	〔允皮yp〕
邨	〔屯⻏te〕
错	〔钅日jo〕
措	〔扌日fo〕
挫	〔扌人fr〕
搓	〔扌工fg〕
撮	〔扌又fy〕
磋	〔石工ug〕
蹉	〔𧾷工zg〕
锉	〔钅人jr〕
厝	〔厂日io〕
矬	〔矢人ur〕
嵯	〔山工ug〕
痤	〔疒人br〕
鹾	〔⺊工bg〕
脞	〔⺼人or〕
瑳	〔𤣩工wg〕
棤	〔木日mo〕
莝	〔艹人cr〕
大	〔一人ar〕
打	〔扌丁fd〕
答	〔竹口vk〕
达	〔辶大zd〕
搭	〔扌口fk〕
哒	〔口大kd〕
瘩	〔疒口bk〕
嗒	〔口口kk〕
沓	〔水日uo〕
耷	〔大耳de〕
鞑	〔革大gd〕
靼	〔革旦gd〕
妲	〔女旦nd〕
褡	〔衤口pk〕
跶	〔𧾷大zd〕
怛	〔忄旦xd〕
笪	〔竹旦vd〕
垯	〔土大td〕
溚	〔氵口dk〕
炟	〔火旦hd〕
荙	〔艹大cd〕
鿎	〔石大ud〕
𨱏	〔钅口jk〕
