𠼞	alhy
䥝	aqjy
𢳆	avfa
𢳆	aifa
慠	avxw
慠	aixw
䯠	axgw
䯠	avgw
熬	aqdw
熬	aidw
柪	aqmy
柪	avmy
軪	aqiy
軪	aviy
抝	axfh
抝	avfh
抝	nofh
拗	axfy
拗	avfy
拗	nofy
㕭	avky
㕭	btky
艹	axck
艹	cxck
㤇	axxy
㤇	fexy
㤇	whxy
𩥊	aqmg
𩥊	jmmg
摮	aiuw
摮	quuw
磝	aiuw
磝	qmuw
凹	aqaa
凹	wlaa
㠗	avua
㠗	wgua
𪁾	axny
𪁾	wgny
䚫	aijj
䚫	xbjj
𩼈	avya
𩼈	yzya
𩈏	axmy
𩈏	yzmy
梎	aqmb
梎	yrmb
奥	avpd
奥	yhpd
奧	avpd
奧	yhpd
澚	avdy
澚	yhdy
隩	avea
隩	yhea
䞝	axzy
䞝	yhzy
𣬶	bmmb
𣬷	bmbm
𢇷	bugd
𥎱	buud
𦳺	bucd
𧺡	buzu
𧺺	buzd
𩊤	bugd
𩖽	bufp
䳊	bunb
叐	bupy
妭	bunb
抜	bufy
拔	bufy
炦	buhb
癹	budu
胈	buob
茇	bucy
菝	bucb
詙	buyb
跋	buzy
軷	buib
魃	bugy
鼥	buub
𤜕	binx
𥝧	bihb
𦫙	bibs
𧿏	bizd
𩃴	biyo
𩹏	bibq
𩽷	biyb
㶚	bidb
䆉	bihb
䇑	bilb
䩗	bigo
䩻	bigm
坝	bitb
垻	bitb
壩	bitb
弝	bigb
欛	bimb
灞	bidb
爸	bifb
矲	biun
覇	bixo
霸	biyo
鮁	biyb
鲅	biyy
𢃳	bmvb
𢺞	bmfb
𩨜	bmgb
靶	bmgb
𠛋	blbd
𠰢	bl
𠵺	blkb
𡚭	blnb
𢠭	blxj
𢻷	blbp
𤜱	blqb
𤣸	blwv
𤤒	blwd
𦓧	bllb
𧎱	blii
𧲧	blvb
𨊹	blib
𩚥	blub
𩡩	blmb
𫓥	bljb
䰾	blyb
丷	bldp
仈	blrb
八	blpd
叭	blkb
哵	blkb
夿	bldb
岜	blub
巴	blvg
捌	blfb
朳	blmb
玐	blwb
疤	blbb
笆	blvb
粑	blmb
羓	blyb
芭	blcb
蚆	blib
豝	blub
釟	bljb
扷	blfy
扷	avfy
把	bmfb
把	bifb
吧	blkb
吧	bmkb
魞	blyr
魞	biyr
鲃	blyb
鲃	biyb
罢	bisq
罢	bmsq
罢	pbsq
罷	bisn
罷	bmsn
罷	pbsn
䥯	bijb
䥯	bojb
䥯	bijb
䳁	bunb
䳁	bxnb
䳁	benb
䳁	yonb
㔜	bulf
㔜	belf
䟦	buzy
䟦	bezy
䟦	yozy
颰	bufb
颰	flfb
㞎	bmub
㞎	flub
㞎	puub
柭	blmb
柭	flmb
柭	pkmb
柭	bemb
柭	bkmb
㖠	bikn
㖠	npkn
耙	bilb
耙	pulb
鈀	bmjb
鈀	pujb
钯	bmjb
钯	pujb
扒	blfb
扒	pufb
䃻	biub
䃻	pdub
䱝	biyb
䱝	pdyb
跁	bizb
跁	pizb
㧊	bufu
㧊	ppfu
𥬝	bdvb
𦣺	bdzu
㼟	bdwb
䳆	bdnb
白	bdpo
𡏯	botb
𡭢	boxm
𢈕	bogp
𢳎	bofu
𣧙	bodu
𤁣	bodb
𤙅	bonb
𤽹	bobb
𦩋	bovf
𦳞	bocb
𩋂	bogf
𩎻	bowf
𩏞	bowl
㗑	bokb
㠔	boub
䒔	bocb
䢙	bozb
拜	bouf
拝	boff
敗	bowb
稗	bohb
粺	bomb
薭	bocb
贁	bowb
败	bowb
韛	bowy
𠫛	buss
㗗	bulb
䙓	buyb
佰	burb
捭	bufb
摆	bufb
擺	bufn
栢	bumb
百	buab
竡	bulb
粨	bumb
襬	buyn
𢛞	bbxb
𨃅	bbzb
㓦	bbdb
挀	bbfp
掰	bbuu
㼣	buwb
㼣	bewb
柏	bumb
柏	bemb
柏	bgmb
㧳	buub
㧳	beub
㧳	vpub
㿟	bdbb
㿟	jlbb
絔	busb
絔	mgsb
䴽	bomb
䴽	pbmb
猈	boqb
猈	pbqb
庍	bogj
庍	tegj
瓸	buwb
瓸	wmwb
𠯘	bakf
𢴬	bafb
𥷁	bavb
𦙹	baoi
𦝤	baob
𨐦	baxf
𨐱	baxx
𩢔	bamb
㚘	baff
㪵	badb
㫠	baob
伴	barb
办	balb
半	babf
姅	banb
怑	baxb
扮	baff
瓣	baxx
秚	bahb
絆	basb
绊	basb
辦	baxx
鉡	bajb
靽	bagb
𠧫	bobw
𡯘	boyf
𧌿	bobi
𧿨	bozf
𪠦	boyt
㸞	bopp
䉽	bomb
䬳	boub
坂	botf
岅	bouf
昄	boof
板	bomf
版	bopf
瓪	bowf
粄	bomf
舨	bovf
蝂	boib
鈑	bojf
钣	bojf
阪	boef
魬	boyf
𠔀	bnba
𠔯	bnbf
𠚼	bnfd
𠦒	bnay
𠺚	bnkb
𣪂	bnud
𤡰	bnqb
𤦦	bnbw
𤫫	bnfg
𥹓	bnmq
𦎊	bnyb
𧇥	bnhl
𨭉	bnjb
𩔮	bnby
𩿉	bnnf
𪄕	bnnb
𫁤	bnll
扳	bnff
搬	bnfb
攽	bnwf
斑	bnww
斒	bnwb
班	bnww
瘢	bnbb
癍	bnbb
肦	bnof
螌	bnib
褩	bnyb
辬	bnxx
頒	bnyf
颁	bnyf
𢲔	bafb
𢲔	bnfb
𢲔	pnfb
𨐾	baxx
𨐾	baxx
般	bnvu
般	bpvu
般	ppvu
𤳖	bnfq
𤳖	fnfq
䕰	bacf
䕰	fpcf
䕰	facf
鳻	bnnf
鳻	fsnf
湴	badb
湴	ppdb
拌	bafb
拌	pafb
闆	bomp
闆	pamp
𪒋	bnhb
𪒋	pphb
㩯	boff
㩯	ppff
㩯	peff
𠨵	bdif
𠬣	bdyy
𡽲	bdub
𢄎	bdjp
𢜗	bdxf
𢮏	bdup
𢶶	bdfy
𣘙	bdmb
𩦠	bdmp
𫠌	bdmp
㭋	bdmf
㯁	bdmp
䖫	bdig
䧛	bdep
傍	bdrp
塝	bdtp
棒	bdmf
玤	bdwf
稖	bdhp
艕	bdvp
蒡	bdcp
蜯	bdif
謗	bdyp
谤	bdyp
鎊	bdjp
镑	bdjp
𣮧	bpbm
𦾭	bpcb
牓	bppp
綁	bpsb
绑	bpsb
𠲑	bu
𠳐	bukb
𢁏	bujg
𢸌	bufb
𣮡	bumb
𤚰	bunp
𤱵	bute
𦰥	bucb
𨢐	buyp
𩍗	bugf
𫄰	busp
垹	butb
帮	bujb
幇	bujf
幚	bujb
幫	bujf
捠	bufb
梆	bumb
浜	budb
邦	bufe
邫	bufy
鞤	bugf
榜	bpmp
榜	bdmp
縍	busp
縍	bdsp
䟺	bpzb
䟺	bkzb
䟺	pkzb
蚌	bdif
蚌	bfif
㮄	bpmp
㮄	btmp
㮄	pfmp
䰷	bdyf
䰷	beyf
磅	bdup
磅	pwup
膀	bpop
膀	pwop
髈	bpgp
髈	ppgp
䂜	bduf
䂜	pruf
㾦	bdbp
㾦	pkbp
㾦	psbp
挷	bdfb
挷	pffb
搒	bdfp
搒	pffp
㔙	bplb
㔙	pflb
𩮗	bdib
𩮗	pfib
𩮗	fpib
䎧	bdlp
䎧	palp
棓	bdmp
棓	pzmp
棓	bkmp
棓	bimp
𤿈	bipu
𥭓	bivv
𦡕	biob
㵡	bidb
㿺	bipb
䈏	bivt
䨔	biyg
窇	bibb
雹	biyb
𠣺	bvdb
𠹕	bvkb
𡂟	bvkb
𡉩	bvtq
𢼌	bvbp
𣭀	bvmb
𤔣	bvvs
𤝧	bvqv
𥄹	bvob
𧇒	bvhv
𧝘	bvyy
𨇅	bvzb
𨠖	bvyb
𩊅	bvgm
𩍂	bvgt
𩾡	bvnu
𩿓	bvnn
𪏶	bvub
㫧	bvom
㲒	bvmj
䤖	bvyb
儤	bvrb
勽	bvgr
報	bvxy
忁	bvxu
报	bvfy
抱	bvfb
曓	bvob
爆	bvhb
犦	bvnb
菢	bvcb
虣	bvhw
蚫	bvib
豹	bvvu
鑤	bvjb
骲	bvgb
髱	bvib
鮑	bvyb
鲍	bvyb
𠍙	bxru
𠤏	bxbu
𡧖	bxbb
𤞥	bxqd
𨰦	bxjb
𨰻	bxjj
𩬽	bxim
𩭼	bxib
𪧕	bxbf
㙅	bxtd
㻄	bxwd
䎂	bxyb
䭋	bxub
䳈	bxnb
䳰	bxnb
䴐	bxnb
保	bxrd
堢	bxtb
媬	bxnb
宝	bxby
寚	bxbf
寳	bxbb
寶	bxbb
珤	bxwf
緥	bxsb
葆	bxcb
藵	bxcy
褓	bxyb
賲	bxbb
靌	bxyb
飹	bxum
飽	bxub
饱	bxub
駂	bxmu
鳵	bxnx
鴇	bxnu
鸨	bxnu
𠅬	bqww
𠣒	bqgr
𡶄	bqub
𧵢	bqbb
𨚔	bqbe
佨	bqrb
勹	bqpg
包	bqgs
孢	bqzb
煲	bqhb
笣	bqvb
胞	bqob
苞	bqcb
蕔	bqcb
裦	bqym
褒	bqyb
襃	bqyd
闁	bqmm
齙	bqib
龅	bqib
𧭤	bvyb
𧭤	biyb
怉	bxxb
怉	bvxb
𦢊	biob
𦢊	beob
䨌	biyy
䨌	beyy
趵	bvzu
趵	bpzu
剝	bqdl
剝	bpdl
剥	bqdl
剥	bpdl
薄	bicp
薄	becp
薄	bgcp
㙸	bvtp
㙸	betp
㙸	pltp
堡	bxtb
堡	bmtb
堡	phtb
䥤	bijb
䥤	fljb
枹	bqmb
枹	flmb
𩛞	bxuf
𩛞	njuf
𩛞	pluf
鉋	bvjb
鉋	pijb
铇	bvjb
铇	pijb
袌	bvyb
袌	piyb
袌	pvyb
㲏	bxmp
㲏	plmp
㲏	pcmp
㲏	pwmp
暴	bvou
暴	phou
䪨	biyu
䪨	qlyu
宲	bxbd
宲	ubbd
𠋭	bkrk
𠐡	bkrb
𠐲	bkrh
𠢥	bkfl
𡋭	bkbt
𢂏	bkuk
𢟡	bkxy
𢴾	bkfb
𣖾	bkmy
𣬪	bkum
𤛟	bkny
𤳦	bktd
𤹲	bkbg
𤿒	bkpn
𥼓	bkmy
𦮷	bkcb
𦾙	bkcu
𧶙	bkbf
𩇩	bkdf
𩍁	bkgy
𩖠	bkfn
𩚾	bkbu
𪟪	bkbb
𫝦	bknb
𫞥	bkwb
㔨	bkgb
㣁	bkgy
㰆	bkma
㶔	bkdb
㸢	bkpy
㸽	bknb
㻗	bkyf
䔒	bkcp
䩀	bkfb
䰽	bkyu
俻	bkrb
倍	bkrp
偝	bkrb
偹	bkrb
備	bkry
僃	bkry
备	bkwt
悖	bkxz
惫	bkxb
愂	bkxb
憊	bkxb
昁	bkoj
梖	bkmb
焙	bkhp
牬	bknz
犕	bkny
狈	bkqb
狽	bkqb
珼	bkwb
琲	bkwf
碚	bkup
禙	bkub
糒	bkmy
苝	bkcb
蓓	bkcb
蛽	bkib
褙	bkyb
貝	bkob
贝	bkkr
軰	bkib
輩	bkfi
辈	bkif
邶	bkeb
郥	bkeb
鄁	bkeb
鋇	bkjb
鐾	bkjx
钡	bkjb
鞁	bkgp
鞴	bkgy
𧉥	bjbi
𧋲	bjib
㤳	bjxf
鉳	bjjb
𠕩	bikb
𠥧	biaf
𢃍	bijb
𣬍	bimb
𤵛	bibp
𤷁	bibt
𤿾	bibp
𥏓	biuc
𥓓	biub
𥶓	bivb
𦈧	bifb
𦈶	biff
𦩖	bivb
𧼠	bizb
𩔹	biby
𪂃	binb
㽡	bitb
卑	biup
悲	bifx
揹	bifb
杯	bimb
桮	bimf
盃	bimb
碑	biub
藣	bicn
鵯	binb
鹎	binb
䎬	bilb
䎬	bilb
䎱	bilb
䎱	bilb
呗	bjkb
呗	bokb
唄	bjkb
唄	bokb
背	bkob
背	biob
北	bjbj
北	bkbj
㛝	bknb
㛝	bfnb
㷶	bkbh
㷶	btbh
䁅	bkom
䁅	btom
䁅	myom
䁅	mfom
庳	bigb
庳	btgb
庳	pbgb
㓈	bkdu
㓈	bwdu
㓈	fkdu
㓈	yidu
孛	bkuz
孛	beuz
誖	bkyz
誖	beyz
㼎	bkgj
㼎	begj
㼎	klgj
㾱	bkbf
㾱	fabf
㾱	fkbf
㾱	flbf
㸬	bknu
㸬	fknu
㸬	pknu
𤰈	bkyg
𤰈	flyg
𢻵	bkpk
𢻵	lhpk
䋳	bksb
䋳	mtsb
骳	bkgp
骳	megp
䠙	bkzp
䠙	pwzp
䠙	pizp
𤜲	bkuq
𤜲	pkuq
柸	bimp
柸	pimp
䡶	bkib
䡶	ptib
被	bkyp
被	pjyp
椑	bimb
椑	pbmb
陂	biep
陂	pbep
陂	ppep
𣎵	bkcr
𣎵	ppcr
𢜘	boxb
𣴞	bodb
𥢊	bohb
𦯀	bocb
𨋒	boib
𪊜	bolb
𪎝	bomb
㤓	boxb
㨧	bofb
䬱	boub
倴	borb
坌	botf
捹	bofb
撪	bofi
渀	bodb
笨	bovb
逩	bozb
𣄏	bofb
𤲙	bosz
㡷	boyb
㮺	bobl
奙	bosy
本	boma
楍	bomk
畚	bosf
翉	boyb
苯	bocb
𣳰	bedu
𩣺	bemb
𪑖	behb
犇	benn
錛	bejb
锛	bejb
奔	bedh
奔	bodh
泍	bedb
泍	bodb
栟	bemb
栟	bemb
桳	bomu
桳	famu
㱵	bodp
㱵	fodp
坋	botf
坋	fotf
漰	bedb
漰	pcdb
甭	bfby
𡎾	bftp
𡾛	bfub
𥖗	bfuu
𥦜	bfxp
𦝷	bfop
𦺑	bfcm
𧩱	bfyp
𧻓	bfzb
𨆊	bfgz
𩂦	bfyb
𩗴	bfff
𪔑	bfgu
𫗉	bfff
㷯	bfhf
䨻	bfll
塴	bftb
揼	bffb
泵	bfuu
甏	bfwp
蹦	bfzp
迸	bfzb
逬	bfzb
鏰	bfjb
镚	bfjb
𤫬	bygf
𦂌	bysf
𧑑	byif
𧚭	byyb
𨓁	byzy
𩊌	bygl
䙀	byyp
䳞	bynf
埲	bytf
琫	bywf
菶	bycf
鞛	bygp
𠊵	bcrd
𠜳	bcoy
𡡈	bcnb
𡹔	bcup
𢆸	bcyy
𢉁	bcgp
𢐒	bcgb
𣂤	bcoj
𣨥	bcdp
𤙾	bcnb
𥛱	bcup
𥞩	bchb
𦅈	bcsp
𨕧	bczj
𨻱	bceb
𫄵	bcsp
伻	bcrp
嘣	bckb
奟	bcdp
崩	bcup
嵭	bcup
閍	bcmf
𥀂	byfp
𥀂	bufp
䭰	byxf
䭰	bfxf
𨹹	bcep
𨹹	bfep
綳	bcsp
綳	bysp
綳	bfsp
繃	bcsb
繃	bysb
繃	bfsb
绷	bcsp
绷	bysp
绷	bfsp
絣	bcsb
絣	besb
絣	pcsb
㑟	byrb
㑟	berb
㑟	pyrb
祊	bcuf
祊	fuuf
甮	bfwy
甮	ffwy
䩬	bygf
䩬	fygf
埄	bytf
埄	fctf
㱶	bfdp
㱶	jldp
㱶	pfdp
㱶	qldp
㱶	rhdp
𠡮	bclp
𠡮	kclp
𩑚	byfy
𩑚	lkfy
嗙	bckp
嗙	ppkp
琣	bywp
琣	pjwp
䋽	bysf
䋽	pysf
𤡭	bcqp
𤡭	pfqp
痭	bcbp
痭	pfbp
𡶤	bcyu
𡶤	yyyu
𣴨	bbdo
𩾳	bbng
嬶	bbnb
荸	bbcz
鼻	bbzq
𠈺	btrb
𠋯	btry
𠓵	btru
𠦈	btju
𠨒	bteb
𠨘	btbe
𠩿	btib
𠮃	btyb
𠽩	btkb
𡃇	btkb
𡚁	btbd
𡚤	btsd
𡛗	btnb
𡠚	btnb
𡻞	btub
𡽶	btub
𢁽	btjb
𢅩	btjb
𢐦	btpg
𢖬	btxh
𢲾	btfb
𢴩	btfb
𣁉	btbw
𣁢	btbw
𣋹	btob
𣘥	btmb
𣝍	btmc
𣢠	btbq
𣥣	btvp
𣦇	btvf
𣦢	btvb
𣩩	btdb
𣮐	btmb
𣯴	btmb
𤂀	btmt
𤅹	btdd
𤐙	bthb
𤐸	bthh
𤗚	btpt
𤙞	btnb
𤠺	btqb
𤡝	btqf
𤢣	btqb
𤵘	btbb
𤹝	btbb
𤻖	btbb
𥆯	btob
𥈗	btoy
𥛘	btub
𥟗	bthb
𥢦	bthh
𥳆	btvb
𥴬	btvp
𦂖	btsc
𦑞	btyt
𦑭	btyt
𦔆	btlt
𦠞	btob
𦯛	btcc
𦰙	btcc
𦱔	btcp
𧏻	btib
𧒀	btib
𧓄	btib
𧥑	btjh
𧫤	btyb
𧲜	btpx
𨋥	btif
𨐨	btpj
𨠔	btyb
𨢡	btyb
𨵰	btmx
𨸼	bteb
𩉫	btgb
𩊰	btgb
𩪖	btgb
𩪧	btgp
𪋜	btlb
𪍪	btmb
𪏺	btub
𫞾	btvb
㘩	bttb
㙄	bttb
㡀	btdd
㢶	btgb
㢸	btgw
㧙	btfb
㪤	btwb
㮿	btmb
㯇	btmf
㳼	btuh
㻫	btwb
㿫	btpb
䁹	btob
䄶	bthf
䊧	btmf
䋔	btsp
䌟	btsb
䎵	bteb
䏶	btob
䟤	btzb
䧗	btef
䩛	btgb
䫁	btyz
䮡	btmf
䯗	btgb
佖	btrb
咇	btkb
哔	btkb
嗶	btkb
坒	bttb
堛	bttt
壁	bttx
奰	btsd
妼	btnb
婢	btnb
嬖	btnx
币	btpj
幣	btjw
幤	btjw
庇	btgb
廦	btgx
弊	btcw
弻	btgg
弼	btgg
彃	btgb
必	btxp
怭	btxb
愊	btxt
愎	btxf
敝	btwb
斃	btsw
梐	btmt
毕	btub
毖	btbb
毙	btsb
湢	btdt
滗	btdb
滭	btdb
潷	btdb
煏	btht
熚	bthb
狴	btqt
獘	btqw
獙	btqw
珌	btwb
璧	btyx
畀	bttq
畢	btaa
疪	btbb
痹	btbq
痺	btbb
皕	btbb
睤	btoq
碧	btup
筚	btvb
箅	btvq
箆	btvb
篦	btvb
篳	btvb
粊	btmb
綼	btsb
縪	btsb
繴	btsx
罼	btsb
腷	btot
苾	btcb
荜	btcb
萆	btcb
萞	btcb
蓖	btcb
蓽	btcb
蔽	btcw
薜	btcx
蜌	btit
袐	btyb
襅	btyb
襞	btyx
襣	btyb
觱	btjx
詖	btyp
诐	btyp
貱	btbp
贔	btbb
赑	btbb
跸	btzb
蹕	btzb
躃	btzx
躄	btzx
避	btzx
邲	bteb
鄨	btyw
鄪	btef
鉍	btjb
鏎	btjb
鐴	btjx
铋	btjb
閇	btmx
閉	btmc
閟	btmb
闭	btmc
陛	btet
韠	btwb
飶	btub
饆	btub
馝	btxb
駜	btmb
驆	btmb
髀	btgb
魓	btgb
鮅	btyb
鷝	btnb
鷩	btnw
鼊	btzh
𠛡	bgbd
𠧅	bggb
𠬈	bgqb
𡳄	bguh
𢩒	bghf
𢳋	bgfb
𣔓	bgmb
𤹦	bgbh
𤽊	bgbb
𦸣	bgcb
𨅗	bgzb
𨟵	bgyb
𪌄	bgms
𪐄	bgub
㚰	bgnp
㠲	bgjb
㪏	bgwb
䃾	bgub
䏢	bgop
䘡	bgyb
佊	bgrp
俾	bgrb
匕	bgpg
夶	bgdd
妣	bgnb
彼	bgxp
朼	bgmb
柀	bgmp
比	bgbb
毞	bgmb
沘	bgdb
疕	bgbb
秕	bghb
笔	bgvm
筆	bgvy
粃	bgmb
聛	bgeb
舭	bgvb
貏	bgvb
鄙	bgeh
𢟵	bjxf
𢡅	bjxf
𣚡	bjmf
𤝸	bjqm
𥏠	bjub
𧤃	bjjb
𨲋	bjib
𨻼	bjet
偪	bjrt
屄	bjux
楅	bjmt
毴	bjmf
豍	bjdb
逼	bjzt
鰏	bjyt
鲾	bjyt
鵖	bjng
𠐌	bgrb
𠐌	birb
𩭧	bjib
𩭧	bnib
臂	btox
臂	bjox
𨚍	btbe
𨚍	bkbe
賁	btbh
賁	bebh
贲	btbh
贲	bebh
𦤫	btzb
𦤫	bbzb
𧳠	btvb
𧳠	bgvb
㻶	bgwb
㻶	btwb
𫠈	bjfb
𫠈	btfb
䫾	bjfb
䫾	btfb
䠋	bgzb
䠋	btzb
䠋	mizb
鎞	bjjb
鎞	btjb
鎞	pjjb
䨆	bbvb
䨆	btvb
䨆	xhvb
㓖	btdb
㓖	bsdb
㱸	btdb
㱸	bsdb
柲	btmb
柲	bsmb
䇷	bgvb
䇷	bsvb
鞸	btgb
鞸	bwgb
䟆	btzb
䟆	bezb
䵄	bbml
䵄	beml
䵄	ffml
䵄	pyml
𠓷	btru
𠓷	ifru
㗉	btqg
㗉	eiqg
㗉	ldqg
㹃	btnf
㹃	fknf
𨚓	btfe
𨚓	fkfe
𨚓	flfe
𠡂	btlf
𠡂	fllf
𢘍	btfx
𢘍	flfx
𨋩	btif
𨋩	flif
䭮	btub
䭮	flub
㢰	btgp
㢰	hogp
䀣	btob
䀣	miob
𩲢	btgp
𩲢	mkgp
㘠	btwb
㘠	mtwb
㵥	btdm
㵥	mtdm
䣥	bgyb
䣥	mtyb
䕗	btcb
䕗	pkcb
㮰	bbmp
㮰	pbmp
𤜻	btqb
