𠼞	al;hy
𩮯	ai;ia
𩱏	ai;ga
㟼	ai;ua
㠂	ai;ua
㿰	ai;pj
䦋	ai;ia
䵅	ai;ma
厫	ai;iw
嗷	ai;kw
嗸	ai;kw
廒	ai;gw
敖	ai;wp
滶	ai;dw
獒	ai;qw
獓	ai;qw
璈	ai;ww
翱	ai;yu
翶	ai;yu
翺	ai;yu
聱	ai;ea
蔜	ai;cw
螯	ai;iw
謷	ai;yw
謸	ai;yw
遨	ai;zw
鏖	ai;lj
隞	ai;ew
骜	ai;mw
鰲	ai;yw
鳌	ai;yw
鷔	ai;nw
鼇	ai;mw
𢕟	av;xa
𤺾	av;ba
𥑑	av;uy
𩑍	av;yg
𩕀	av;ya
𩟇	av;ua
㘬	av;tg
㘭	av;th
㜜	av;na
㜩	av;na
㥿	av;xa
䜒	av;ya
䫨	av;ya
䮯	av;ma
傲	av;rw
坳	av;ty
垇	av;ta
墺	av;ta
奡	av;dd
嫯	av;nw
岙	av;yu
岰	av;uy
嶴	av;ua
懊	av;xa
擙	av;fa
澳	av;da
鏊	av;jw
驁	av;mw
𢁱	ax;jy
𢲷	ax;fj
𥜌	ax;ua
𦽀	ax;cy
𩑤	ax;wy
𩣻	ax;my
㑃	ax;ry
䴈	ax;na
媪	ax;nw
媼	ax;nw
芺	ax;cy
袄	ax;yy
襖	ax;ya
镺	ax;iy
𠱃	aq;ka
𤏶	aq;hy
𧅃	aq;ch
𧨲	aq;yu
𪃨	aq;yn
爊	aq;hh
嶅	ai;uw
嶅	av;uw
䐿	ai;oa
䐿	ax;oa
䥝	ai;jy
䥝	aq;jy
𢳆	av;fa
𢳆	ai;fa
慠	av;xw
慠	ai;xw
䯠	ax;gw
䯠	av;gw
熬	aq;dw
熬	ai;dw
柪	aq;my
柪	av;my
軪	aq;iy
軪	av;iy
抝	ax;fh
抝	av;fh
抝	no;fh
拗	ax;fy
拗	av;fy
拗	no;fy
㕭	av;ky
㕭	bt;ky
艹	ax;ck
艹	cx;ck
㤇	ax;xy
㤇	fe;xy
㤇	wh;xy
𩥊	aq;mg
𩥊	jm;mg
摮	ai;uw
摮	qu;uw
磝	ai;uw
磝	qm;uw
凹	aq;aa
凹	wl;aa
㠗	av;ua
㠗	wg;ua
𪁾	ax;ny
𪁾	wg;ny
䚫	ai;jj
䚫	xb;jj
𩼈	av;ya
𩼈	yz;ya
𩈏	ax;my
𩈏	yz;my
梎	aq;mb
梎	yr;mb
奥	av;pd
奥	yh;pd
奧	av;pd
奧	yh;pd
澚	av;dy
澚	yh;dy
隩	av;ea
隩	yh;ea
䞝	ax;zy
䞝	yh;zy
𣬶	bl;mb
𣬷	bl;bm
𢇷	bu;gd
𥎱	bu;ud
𦳺	bu;cd
𧺡	bu;zu
𧺺	bu;zd
𩊤	bu;gd
𩖽	bu;fp
䳊	bu;nb
叐	bu;py
妭	bu;nb
抜	bu;fy
拔	bu;fy
炦	bu;hb
癹	bu;du
胈	bu;ob
茇	bu;cy
菝	bu;cb
詙	bu;yb
跋	bu;zy
軷	bu;ib
魃	bu;gy
鼥	bu;ub
𤜕	bi;nx
𥝧	bi;hb
𦫙	bi;bs
𧿏	bi;zd
𩃴	bi;yo
𩹏	bi;bq
𩽷	bi;yb
㶚	bi;db
䆉	bi;hb
䇑	bi;lb
䩗	bi;go
䩻	bi;gm
坝	bi;tb
垻	bi;tb
壩	bi;tb
弝	bi;gb
欛	bi;mb
灞	bi;db
爸	bi;fb
矲	bi;un
覇	bi;xo
霸	bi;yo
鮁	bi;yb
鲅	bi;yy
𢃳	bm;vb
𢺞	bm;fb
𩨜	bm;gb
靶	bm;gb
𠛋	bl;bd
𠰢	bl;;
𠵺	bl;kb
𡚭	bl;nb
𢠭	bl;xj
𢻷	bl;bp
𤜱	bl;qb
𤣸	bl;wv
𤤒	bl;wd
𦓧	bl;lb
𧎱	bl;ii
𧲧	bl;vb
𨊹	bl;ib
𩚥	bl;ub
𩡩	bl;mb
𫓥	bl;jb
䰾	bl;yb
丷	bl;dp
仈	bl;rb
八	bl;pd
叭	bl;kb
哵	bl;kb
夿	bl;db
岜	bl;ub
巴	bl;vg
捌	bl;fb
朳	bl;mb
玐	bl;wb
疤	bl;bb
笆	bl;vb
粑	bl;mb
羓	bl;yb
芭	bl;cb
蚆	bl;ib
豝	bl;ub
釟	bl;jb
扷	bl;fy
扷	av;fy
把	bm;fb
把	bi;fb
吧	bl;kb
吧	bl;kb
魞	bl;yr
魞	bi;yr
鲃	bl;yb
鲃	bi;yb
罢	bi;sq
罢	bl;sq
罢	pb;sq
罷	bi;sn
罷	bl;sn
罷	pb;sn
䥯	bi;jb
䥯	bo;jb
䥯	bi;jb
䳁	bu;nb
䳁	bx;nb
䳁	be;nb
䳁	yo;nb
㔜	bu;lf
㔜	be;lf
䟦	bu;zy
䟦	be;zy
䟦	yo;zy
颰	bu;fb
颰	fl;fb
㞎	bm;ub
㞎	fl;ub
㞎	pu;ub
柭	bl;mb
柭	fl;mb
柭	pk;mb
柭	be;mb
柭	bk;mb
㖠	bi;kn
㖠	np;kn
耙	bi;lb
耙	pu;lb
鈀	bm;jb
鈀	pu;jb
钯	bm;jb
钯	pu;jb
扒	bl;fb
扒	pu;fb
䃻	bi;ub
䃻	pd;ub
䱝	bi;yb
䱝	pd;yb
跁	bi;zb
跁	pi;zb
㧊	bu;fu
㧊	pp;fu
𥬝	bd;vb
𦣺	bd;zu
㼟	bd;wb
䳆	bd;nb
白	bd;po
𡏯	bo;tb
𡭢	bo;xm
𢈕	bo;gp
𢳎	bo;fu
𣧙	bo;du
𤁣	bo;db
𤙅	bo;nb
𤽹	bo;bb
𦩋	bo;vf
𦳞	bo;cb
𩋂	bo;gf
𩎻	bo;wf
𩏞	bo;wl
㗑	bo;kb
㠔	bo;ub
䒔	bo;cb
䢙	bo;zb
拜	bo;uf
拝	bo;ff
敗	bo;wb
稗	bo;hb
粺	bo;mb
薭	bo;cb
贁	bo;wb
败	bo;wb
韛	bo;wy
𠫛	bu;ss
㗗	bu;lb
䙓	bu;yb
佰	bu;rb
捭	bu;fb
摆	bu;fb
擺	bu;fn
栢	bu;mb
百	bu;ab
竡	bu;lb
粨	bu;mb
襬	bu;yn
𢛞	bb;xb
𨃅	bb;zb
㓦	bb;db
挀	bb;fp
掰	bb;uu
㼣	bu;wb
㼣	be;wb
柏	bu;mb
柏	be;mb
柏	bg;mb
㧳	bu;ub
㧳	be;ub
㧳	vp;ub
㿟	bd;bb
㿟	jl;bb
絔	bu;sb
絔	mg;sb
䴽	bo;mb
䴽	pb;mb
猈	bo;qb
猈	pb;qb
庍	bo;gj
庍	te;gj
瓸	bu;wb
瓸	wm;wb
𠯘	ba;kf
𢴬	ba;fb
𥷁	ba;vb
𦙹	ba;oi
𦝤	ba;ob
𨐦	ba;xf
𨐱	ba;xx
𩢔	ba;mb
㚘	ba;ff
㪵	ba;db
㫠	ba;ob
伴	ba;rb
办	ba;lb
半	ba;bf
姅	ba;nb
怑	ba;xb
扮	ba;ff
瓣	ba;xx
秚	ba;hb
絆	ba;sb
绊	ba;sb
辦	ba;xx
鉡	ba;jb
靽	ba;gb
𠧫	bo;bw
𡯘	bo;yf
𧌿	bo;bi
𧿨	bo;zf
𪠦	bo;yt
㸞	bo;pp
䉽	bo;mb
䬳	bo;ub
坂	bo;tf
岅	bo;uf
昄	bo;of
板	bo;mf
版	bo;pf
瓪	bo;wf
粄	bo;mf
舨	bo;vf
蝂	bo;ib
鈑	bo;jf
钣	bo;jf
阪	bo;ef
魬	bo;yf
𠔀	bn;ba
𠔯	bn;bf
𠚼	bn;fd
𠦒	bn;ay
𠺚	bn;kb
𣪂	bn;ud
𤡰	bn;qb
𤦦	bn;bw
𤫫	bn;fg
𥹓	bn;mq
𦎊	bn;yb
𧇥	bn;hl
𨭉	bn;jb
𩔮	bn;by
𩿉	bn;nf
𪄕	bn;nb
𫁤	bn;ll
扳	bn;ff
搬	bn;fb
攽	bn;wf
斑	bn;ww
斒	bn;wb
班	bn;ww
瘢	bn;bb
癍	bn;bb
肦	bn;of
螌	bn;ib
褩	bn;yb
辬	bn;xx
頒	bn;yf
颁	bn;yf
𢲔	ba;fb
𢲔	bn;fb
𢲔	pn;fb
𨐾	ba;xx
𨐾	ba;xx
般	bn;vu
般	bp;vu
般	pp;vu
𤳖	bn;fq
𤳖	fn;fq
䕰	ba;cf
䕰	fp;cf
䕰	fa;cf
鳻	bn;nf
鳻	fs;nf
湴	ba;db
湴	pp;db
拌	ba;fb
拌	pa;fb
闆	bo;mp
闆	pa;mp
𪒋	bn;hb
𪒋	pp;hb
㩯	bo;ff
㩯	pp;ff
㩯	pe;ff
𠨵	bd;if
𠬣	bd;yy
𡽲	bd;ub
𢄎	bd;jp
𢜗	bd;xf
𢮏	bd;up
𢶶	bd;fy
𣘙	bd;mb
𩦠	bd;mp
𫠌	bd;mp
㭋	bd;mf
㯁	bd;mp
䖫	bd;ig
䧛	bd;ep
傍	bd;rp
塝	bd;tp
棒	bd;mf
玤	bd;wf
稖	bd;hp
艕	bd;vp
蒡	bd;cp
蜯	bd;if
謗	bd;yp
谤	bd;yp
鎊	bd;jp
镑	bd;jp
𣮧	bp;bm
𦾭	bp;cb
牓	bp;pp
綁	bp;sb
绑	bp;sb
𠲑	bu;;
𠳐	bu;kb
𢁏	bu;jg
𢸌	bu;fb
𣮡	bu;mb
𤚰	bu;np
𤱵	bu;te
𦰥	bu;cb
𨢐	bu;yp
𩍗	bu;gf
𫄰	bu;sp
垹	bu;tb
帮	bu;jb
幇	bu;jf
幚	bu;jb
幫	bu;jf
捠	bu;fb
梆	bu;mb
浜	bu;db
邦	bu;fe
邫	bu;fy
鞤	bu;gf
榜	bp;mp
榜	bd;mp
縍	bu;sp
縍	bd;sp
䟺	bp;zb
䟺	bk;zb
䟺	pk;zb
蚌	bd;if
蚌	bf;if
㮄	bp;mp
㮄	bt;mp
㮄	pf;mp
䰷	bd;yf
䰷	be;yf
磅	bd;up
磅	pw;up
膀	bp;op
膀	pw;op
髈	bp;gp
髈	pp;gp
䂜	bd;uf
䂜	pr;uf
㾦	bd;bp
㾦	pk;bp
㾦	ps;bp
挷	bd;fb
挷	pf;fb
搒	bd;fp
搒	pf;fp
㔙	bp;lb
㔙	pf;lb
𩮗	bd;ib
𩮗	pf;ib
𩮗	fp;ib
䎧	bd;lp
䎧	pa;lp
棓	bd;mp
棓	pz;mp
棓	bk;mp
棓	bi;mp
𤿈	bi;pu
𥭓	bi;vv
𦡕	bi;ob
㵡	bi;db
㿺	bi;pb
䈏	bi;vt
䨔	bi;yg
窇	bi;bb
雹	bi;yb
𠣺	bv;db
𠹕	bv;kb
𡂟	bv;kb
𡉩	bv;tq
𢼌	bv;bp
𣭀	bv;mb
𤔣	bv;vs
𤝧	bv;qv
𥄹	bv;ob
𧇒	bv;hv
𧝘	bv;yy
𨇅	bv;zb
𨠖	bv;yb
𩊅	bv;gm
𩍂	bv;gt
𩾡	bv;nu
𩿓	bv;nn
𪏶	bv;ub
㫧	bv;om
㲒	bv;mj
䤖	bv;yb
儤	bv;rb
勽	bv;gr
報	bv;xy
忁	bv;xu
报	bv;fy
抱	bv;fb
曓	bv;ob
爆	bv;hb
犦	bv;nb
菢	bv;cb
虣	bv;hw
蚫	bv;ib
豹	bv;vu
鑤	bv;jb
骲	bv;gb
髱	bv;ib
鮑	bv;yb
鲍	bv;yb
𠍙	bx;ru
𠤏	bx;bu
𡧖	bx;bb
𤞥	bx;qd
𨰦	bx;jb
𨰻	bx;jj
𩬽	bx;im
𩭼	bx;ib
𪧕	bx;bf
㙅	bx;td
㻄	bx;wd
䎂	bx;yb
䭋	bx;ub
䳈	bx;nb
䳰	bx;nb
䴐	bx;nb
保	bx;rd
堢	bx;tb
媬	bx;nb
宝	bx;by
寚	bx;bf
寳	bx;bb
寶	bx;bb
珤	bx;wf
緥	bx;sb
葆	bx;cb
藵	bx;cy
褓	bx;yb
賲	bx;bb
靌	bx;yb
飹	bx;um
飽	bx;ub
饱	bx;ub
駂	bx;mu
鳵	bx;nx
鴇	bx;nu
鸨	bx;nu
𠅬	bq;ww
𠣒	bq;gr
𡶄	bq;ub
𧵢	bq;bb
𨚔	bq;be
佨	bq;rb
勹	bq;pg
包	bq;gs
孢	bq;zb
煲	bq;hb
笣	bq;vb
胞	bq;ob
苞	bq;cb
蕔	bq;cb
裦	bq;ym
褒	bq;yb
襃	bq;yd
闁	bq;mm
齙	bq;ib
龅	bq;ib
𧭤	bv;yb
𧭤	bi;yb
怉	bx;xb
怉	bv;xb
𦢊	bi;ob
𦢊	be;ob
䨌	bi;yy
䨌	be;yy
趵	bv;zu
趵	bp;zu
剝	bq;dl
剝	bp;dl
剥	bq;dl
剥	bp;dl
薄	bi;cp
薄	be;cp
薄	bg;cp
㙸	bv;tp
㙸	be;tp
㙸	pl;tp
堡	bx;tb
堡	bm;tb
堡	ph;tb
䥤	bi;jb
䥤	fl;jb
枹	bq;mb
枹	fl;mb
𩛞	bx;uf
𩛞	nj;uf
𩛞	pl;uf
鉋	bv;jb
鉋	pi;jb
铇	bv;jb
铇	pi;jb
袌	bv;yb
袌	pi;yb
袌	pv;yb
㲏	bx;mp
㲏	pl;mp
㲏	pc;mp
㲏	pw;mp
暴	bv;ou
暴	ph;ou
䪨	bi;yu
䪨	ql;yu
宲	bx;bd
宲	ub;bd
𠋭	bk;rk
𠐡	bk;rb
𠐲	bk;rh
𠢥	bk;fl
𡋭	bk;bt
𢂏	bk;uk
𢟡	bk;xy
𢴾	bk;fb
𣖾	bk;my
𣬪	bk;um
𤛟	bk;ny
𤳦	bk;td
𤹲	bk;bg
𤿒	bk;pn
𥼓	bk;my
𦮷	bk;cb
𦾙	bk;cu
𧶙	bk;bf
𩇩	bk;df
𩍁	bk;gy
𩖠	bk;fn
𩚾	bk;bu
𪟪	bk;bb
𫝦	bk;nb
𫞥	bk;wb
㔨	bk;gb
㣁	bk;gy
㰆	bk;ma
㶔	bk;db
㸢	bk;py
㸽	bk;nb
㻗	bk;yf
䔒	bk;cp
䩀	bk;fb
䰽	bk;yu
俻	bk;rb
倍	bk;rp
偝	bk;rb
偹	bk;rb
備	bk;ry
僃	bk;ry
备	bk;wt
悖	bk;xz
惫	bk;xb
愂	bk;xb
憊	bk;xb
昁	bk;oj
梖	bk;mb
焙	bk;hp
牬	bk;nz
犕	bk;ny
狈	bk;qb
狽	bk;qb
珼	bk;wb
琲	bk;wf
碚	bk;up
禙	bk;ub
糒	bk;my
苝	bk;cb
蓓	bk;cb
蛽	bk;ib
褙	bk;yb
貝	bk;ob
贝	bk;kr
軰	bk;ib
輩	bk;fi
辈	bk;if
邶	bk;eb
郥	bk;eb
鄁	bk;eb
鋇	bk;jb
鐾	bk;jx
钡	bk;jb
鞁	bk;gp
鞴	bk;gy
𧉥	bj;bi
𧋲	bj;ib
㤳	bj;xf
鉳	bj;jb
𠕩	bi;kb
𠥧	bi;af
𢃍	bi;jb
𣬍	bi;mb
𤵛	bi;bp
𤷁	bi;bt
𤿾	bi;bp
𥏓	bi;uc
𥓓	bi;ub
𥶓	bi;vb
𦈧	bi;fb
𦈶	bi;ff
𦩖	bi;vb
𧼠	bi;zb
𩔹	bi;by
𪂃	bi;nb
㽡	bi;tb
卑	bi;up
悲	bi;fx
揹	bi;fb
杯	bi;mb
桮	bi;mf
盃	bi;mb
碑	bi;ub
藣	bi;cn
鵯	bi;nb
鹎	bi;nb
䎬	bi;lb
䎬	bi;lb
䎱	bi;lb
䎱	bi;lb
呗	bi;kb
呗	bo;kb
唄	bi;kb
唄	bo;kb
背	bk;ob
背	bi;ob
北	bj;bj
北	bk;bj
㛝	bk;nb
㛝	bf;nb
㷶	bk;bh
㷶	bt;bh
䁅	bk;om
䁅	bt;om
䁅	my;om
䁅	mf;om
庳	bi;gb
庳	bt;gb
庳	pb;gb
㓈	bk;du
㓈	bw;du
㓈	fk;du
㓈	yi;du
孛	bk;uz
孛	be;uz
誖	bk;yz
誖	be;yz
㼎	bk;gj
㼎	be;gj
㼎	kl;gj
㾱	bk;bf
㾱	fa;bf
㾱	fk;bf
㾱	fl;bf
㸬	bk;nu
㸬	fk;nu
㸬	pk;nu
𤰈	bk;yg
𤰈	fl;yg
𢻵	bk;pk
𢻵	lh;pk
䋳	bk;sb
䋳	mt;sb
骳	bk;gp
骳	me;gp
䠙	bk;zp
䠙	pw;zp
䠙	pi;zp
𤜲	bk;uq
𤜲	pk;uq
柸	bi;mp
柸	pi;mp
䡶	bk;ib
䡶	pt;ib
被	bk;yp
被	pj;yp
椑	bi;mb
椑	pb;mb
陂	bi;ep
陂	pb;ep
陂	pp;ep
𣎵	bk;cr
𣎵	pp;cr
𢜘	bo;xb
𣴞	bo;db
𥢊	bo;hb
𦯀	bo;cb
𨋒	bo;ib
𪊜	bo;lb
𪎝	bo;mb
㤓	bo;xb
㨧	bo;fb
䬱	bo;ub
倴	bo;rb
坌	bo;tf
捹	bo;fb
撪	bo;fi
渀	bo;db
笨	bo;vb
逩	bo;zb
𣄏	bo;fb
𤲙	bo;sz
㡷	bo;yb
㮺	bo;bl
奙	bo;sy
本	bo;ma
楍	bo;mk
畚	bo;sf
翉	bo;yb
苯	bo;cb
𣳰	be;du
𩣺	be;mb
𪑖	be;hb
犇	be;nn
錛	be;jb
锛	be;jb
奔	be;dh
奔	bo;dh
泍	be;db
泍	bo;db
栟	be;mb
栟	be;mb
桳	bo;mu
桳	fa;mu
㱵	bo;dp
㱵	fo;dp
坋	bo;tf
坋	fo;tf
漰	be;db
漰	pc;db
甭	bf;by
𡎾	bf;tp
𡾛	bf;ub
𥖗	bf;uu
𥦜	bf;xp
𦝷	bf;op
𦺑	bf;cm
𧩱	bf;yp
𧻓	bf;zb
𨆊	bf;gz
𩂦	bf;yb
𩗴	bf;ff
𪔑	bf;gu
𫗉	bf;ff
㷯	bf;hf
䨻	bf;ll
塴	bf;tb
揼	bf;fb
泵	bf;uu
甏	bf;wp
蹦	bf;zp
迸	bf;zb
逬	bf;zb
鏰	bf;jb
镚	bf;jb
𤫬	by;gf
𦂌	by;sf
𧑑	by;if
𧚭	by;yb
𨓁	by;zy
𩊌	by;gl
䙀	by;yp
䳞	by;nf
埲	by;tf
琫	by;wf
菶	by;cf
鞛	by;gp
𠊵	bc;rd
𠜳	bc;oy
𡡈	bc;nb
𡹔	bc;up
𢆸	bc;yy
𢉁	bc;gp
𢐒	bc;gb
𣂤	bc;oj
𣨥	bc;dp
𤙾	bc;nb
𥛱	bc;up
𥞩	bc;hb
𦅈	bc;sp
𨕧	bc;zj
𨻱	bc;eb
𫄵	bc;sp
伻	bc;rp
嘣	bc;kb
奟	bc;dp
崩	bc;up
嵭	bc;up
閍	bc;mf
𥀂	by;fp
𥀂	bu;fp
䭰	by;xf
䭰	bf;xf
𨹹	bc;ep
𨹹	bf;ep
綳	bc;sp
綳	by;sp
綳	bf;sp
繃	bc;sb
繃	by;sb
繃	bf;sb
绷	bc;sp
绷	by;sp
绷	bf;sp
絣	bc;sb
絣	be;sb
絣	pc;sb
㑟	by;rb
㑟	be;rb
㑟	py;rb
祊	bc;uf
祊	fu;uf
甮	bf;wy
甮	ff;wy
䩬	by;gf
䩬	fy;gf
埄	by;tf
埄	fc;tf
㱶	bf;dp
㱶	jl;dp
㱶	pf;dp
㱶	ql;dp
㱶	rh;dp
𠡮	bc;lp
𠡮	kc;lp
𩑚	by;fy
𩑚	lk;fy
嗙	bc;kp
嗙	pp;kp
琣	by;wp
琣	pj;wp
䋽	by;sf
䋽	py;sf
𤡭	bc;qp
𤡭	pf;qp
痭	bc;bp
痭	pf;bp
𡶤	bc;yu
𡶤	yy;yu
𣴨	bb;do
𩾳	bb;ng
嬶	bb;nb
荸	bb;cz
鼻	bb;zq
𠈺	bt;rb
𠋯	bt;ry
𠓵	bt;ru
𠦈	bt;ju
𠨒	bt;eb
𠨘	bt;be
𠩿	bt;ib
𠮃	bt;yb
𠽩	bt;kb
𡃇	bt;kb
𡚁	bt;bd
𡚤	bt;sd
𡛗	bt;nb
𡠚	bt;nb
𡻞	bt;ub
𡽶	bt;ub
𢁽	bt;jb
𢅩	bt;jb
𢐦	bt;pg
𢖬	bt;xh
𢲾	bt;fb
𢴩	bt;fb
𣁉	bt;bw
𣁢	bt;bw
𣋹	bt;ob
𣘥	bt;mb
𣝍	bt;mc
𣢠	bt;bq
𣥣	bt;vp
𣦇	bt;vf
𣦢	bt;vb
𣩩	bt;db
𣮐	bt;mb
𣯴	bt;mb
𤂀	bt;mt
𤅹	bt;dd
𤐙	bt;hb
𤐸	bt;hh
𤗚	bt;pt
𤙞	bt;nb
𤠺	bt;qb
𤡝	bt;qf
𤢣	bt;qb
𤵘	bt;bb
𤹝	bt;bb
𤻖	bt;bb
𥆯	bt;ob
𥈗	bt;oy
𥛘	bt;ub
𥟗	bt;hb
𥢦	bt;hh
𥳆	bt;vb
𥴬	bt;vp
𦂖	bt;sc
𦑞	bt;yt
𦑭	bt;yt
