serial number	character	token	ferquency(pre million)	total coverage rate(%)
143	感	2529138	1332.30143 	53.87897 
144	怎	2520317	1327.65470 	54.01174 
145	神	2509843	1322.13720 	54.14395 
146	听	2449553	1290.37758 	54.27299 
147	边	2448615	1289.88346 	54.40198 
148	作	2437693	1284.12996 	54.53039 
149	其	2417047	1273.25404 	54.65772 
150	吧	2403165	1265.94127 	54.78431 
151	却	2377929	1252.64743 	54.90957 
152	口	2375024	1251.11713 	55.03469 
153	觉	2372600	1249.84021 	55.15967 
154	啊	2366043	1246.38611 	55.28431 
155	因	2334623	1229.83466 	55.40729 
156	白	2322211	1223.29625 	55.52962 
157	次	2307457	1215.52413 	55.65117 
158	军	2275004	1198.42851 	55.77102 
159	做	2254997	1187.88921 	55.88981 
160	外	2234449	1177.06491 	56.00751 
161	门	2233462	1176.54498 	56.12517 
162	光	2185701	1151.38540 	56.24031 
163	风	2175031	1145.76465 	56.35488 
164	主	2156315	1135.90542 	56.46847 
165	住	2114870	1114.07299 	56.57988 
166	果	2105431	1109.10070 	56.69079 
167	与	2104552	1108.63766 	56.80165 
168	全	2085206	1098.44656 	56.91150 
169	二	2073729	1092.40070 	57.02074 
170	候	2064968	1087.78557 	57.12952 
171	公	2055138	1082.60732 	57.23778 
172	相	2037658	1073.39919 	57.34512 
173	吗	2028487	1068.56808 	57.45197 
174	等	2002114	1054.67529 	57.55744 
175	别	2000757	1053.96045 	57.66284 
176	色	1988512	1047.51002 	57.76759 
177	死	1979349	1042.68312 	57.87186 
178	张	1977218	1041.56055 	57.97601 
179	部	1972176	1038.90452 	58.07990 
180	太	1962845	1033.98913 	58.18330 
181	日	1944999	1024.58820 	58.28576 
182	少	1940099	1022.00698 	58.38796 
183	战	1924225	1013.64486 	58.48933 
184	理	1903915	1002.94594 	58.58962 
185	直	1902380	1002.13733 	58.68983 
186	重	1900814	1001.31239 	58.78997 
187	王	1891711	996.51710 	58.88962 
188	像	1883479	992.18064 	58.98884 
189	脸	1845354	972.09712 	59.08605 
190	比	1844194	971.48606 	59.18319 
191	快	1840001	969.27727 	59.28012 
192	何	1822108	959.85158 	59.37611 
193	水	1817943	957.65754 	59.47187 
194	名	1804559	950.60710 	59.56693 
195	体	1799811	948.10595 	59.66174 
196	呢	1793494	944.77827 	59.75622 
197	东	1783570	939.55050 	59.85018 
198	叫	1780163	937.75576 	59.94395 
199	西	1778761	937.01721 	60.03765 
200	应	1777404	936.30237 	60.13128 
201	便	1735257	914.10014 	60.22269 
202	放	1730745	911.72330 	60.31387 
203	马	1729443	911.03743 	60.40497 
204	难	1727440	909.98229 	60.49597 
205	轻	1720467	906.30905 	60.58660 
206	更	1703552	897.39855 	60.67634 
207	美	1692264	891.45225 	60.76548 
208	位	1682896	886.51736 	60.85414 
209	关	1675433	882.58600 	60.94240 
210	机	1672100	880.83024 	61.03048 
211	接	1671342	880.43094 	61.11852 
212	先	1662684	875.87007 	61.20611 
213	文	1637873	862.80011 	61.29239 
214	处	1626691	856.90965 	61.37808 
215	并	1624589	855.80235 	61.46366 
216	望	1623939	855.45995 	61.54921 
217	常	1623697	855.33246 	61.63474 
218	完	1623350	855.14967 	61.72025 
219	四	1598102	841.84951 	61.80444 
220	飞	1593771	839.56802 	61.88840 
221	师	1581750	833.23559 	61.97172 
222	者	1581047	832.86526 	62.05501 
223	安	1580103	832.36798 	62.13824 
224	清	1568814	826.42115 	62.22088 
225	刚	1561764	822.70735 	62.30316 
226	跟	1547565	815.22759 	62.38468 
227	月	1546594	814.71608 	62.46615 
228	信	1529741	805.83824 	62.54673 
229	山	1526952	804.36905 	62.62717 
230	爱	1516399	798.80993 	62.70705 
231	内	1509530	795.19148 	62.78657 
232	龙	1509393	795.11931 	62.86608 
233	空	1496062	788.09679 	62.94489 
234	带	1491966	785.93910 	63.02349 
235	找	1476145	777.60490 	63.10125 
236	原	1473346	776.13044 	63.17886 
237	入	1472056	775.45089 	63.25640 
238	李	1462547	770.44173 	63.33345 
239	连	1453048	765.43784 	63.40999 
240	吃	1445563	761.49489 	63.48614 
241	场	1443226	760.26380 	63.56217 
242	平	1439957	758.54175 	63.63802 
243	思	1438567	757.80953 	63.71380 
244	林	1435296	756.08643 	63.78941 
245	变	1428820	752.67500 	63.86468 
246	使	1415240	745.52131 	63.93923 
247	由	1400586	737.80187 	64.01301 
248	受	1388441	731.40411 	64.08615 
249	亲	1388321	731.34090 	64.15929 
250	命	1368062	720.66885 	64.23135 
251	目	1365310	719.21914 	64.30328 
252	强	1361353	717.13467 	64.37499 
253	男	1354324	713.43193 	64.44633 
254	任	1353727	713.11744 	64.51764 
255	该	1351318	711.84843 	64.58883 
256	路	1338441	705.06507 	64.65933 
257	车	1338066	704.86753 	64.72982 
258	今	1337566	704.60414 	64.80028 
259	海	1335124	703.31774 	64.87061 
260	加	1329722	700.47207 	64.94066 
261	远	1319096	694.87450 	65.01015 
262	活	1317244	693.89890 	65.07954 
263	特	1314148	692.26798 	65.14877 
264	解	1312068	691.17228 	65.21788 
265	电	1308303	689.18895 	65.28680 
266	世	1305454	687.68815 	65.35557 
267	性	1304637	687.25777 	65.42430 
268	表	1303318	686.56295 	65.49295 
269	许	1299512	684.55802 	65.56141 
270	它	1298568	684.06074 	65.62981 
271	立	1293824	681.56169 	65.69797 
272	黑	1292192	680.70198 	65.76604 
273	金	1291889	680.54237 	65.83409 
274	红	1282649	675.67491 	65.90166 
275	花	1277183	672.79553 	65.96894 
276	转	1276312	672.33670 	66.03618 
277	总	1273655	670.93705 	66.10327 
278	算	1263186	665.42218 	66.16981 
279	城	1258895	663.16176 	66.23613 
280	队	1255383	661.31171 	66.30226 
281	孩	1251885	659.46903 	66.36821 
282	反	1250683	658.83584 	66.43409 
283	工	1242237	654.38665 	66.49953 
284	始	1239671	653.03493 	66.56483 
285	满	1238021	652.16574 	66.63005 
286	新	1232035	649.01243 	66.69495 
287	兵	1226804	646.25684 	66.75957 
288	物	1225245	645.43559 	66.82412 
289	离	1222359	643.91530 	66.88851 
290	非	1219442	642.37868 	66.95275 
291	虽	1211358	638.12018 	67.01656 
292	云	1205872	635.23026 	67.08008 
293	似	1203009	633.72209 	67.14346 
294	万	1201402	632.87555 	67.20674 
295	至	1199059	631.64130 	67.26991 
296	干	1197831	630.99442 	67.33301 
297	通	1186869	625.21985 	67.39553 
298	认	1184729	624.09253 	67.45794 
299	失	1182384	622.85723 	67.52022 
300	火	1180390	621.80683 	67.58240 
301	哥	1176477	619.74554 	67.64438 
302	士	1175727	619.35045 	67.70631 
303	五	1170398	616.54324 	67.76797 
304	惊	1161953	612.09457 	67.82918 
305	魔	1160330	611.23961 	67.89030 
306	竟	1160070	611.10265 	67.95141 
307	姐	1158924	610.49895 	68.01246 
308	乎	1157322	609.65505 	68.07343 
309	剑	1151704	606.69560 	68.13410 
310	往	1143435	602.33965 	68.19433 
311	量	1142437	601.81392 	68.25451 
312	早	1138903	599.95228 	68.31451 
313	结	1132776	596.72469 	68.37418 
314	怕	1114820	587.26581 	68.43291 
315	流	1114438	587.06458 	68.49161 
316	突	1106693	582.98466 	68.54991 
317	坐	1106273	582.76342 	68.60819 
318	斯	1105720	582.47211 	68.66643 
319	音	1100301	579.61748 	68.72440 
320	紧	1099517	579.20449 	68.78232 
321	指	1099010	578.93741 	68.84021 
322	拉	1096796	577.77112 	68.89799 
323	杀	1095880	577.28858 	68.95572 
324	半	1095098	576.87664 	69.01340 
325	记	1094800	576.71966 	69.07108 
326	且	1092816	575.67453 	69.12864 
327	利	1091519	574.99129 	69.18614 
328	合	1085786	571.97126 	69.24334 
329	倒	1085421	571.77898 	69.30052 
330	书	1083351	570.68855 	69.35759 
331	度	1082785	570.39039 	69.41463 
332	微	1082510	570.24552 	69.47165 
333	步	1077549	567.63216 	69.52841 
334	教	1071585	564.49044 	69.58486 
335	喜	1069981	563.64549 	69.64123 
336	越	1069176	563.22143 	69.69755 
337	影	1067165	562.16207 	69.75377 
338	谁	1064240	560.62124 	69.80983 
339	冷	1063226	560.08708 	69.86584 
340	深	1060800	558.80911 	69.92172 
341	告	1054831	555.66476 	69.97728 
342	落	1054311	555.39083 	70.03282 
343	象	1041105	548.43416 	70.08767 
344	容	1038318	546.96603 	70.14236 
345	怪	1036985	546.26383 	70.19699 
346	传	1034638	545.02747 	70.25149 
347	钱	1034329	544.86470 	70.30598 
348	提	1026285	540.62727 	70.36004 
349	言	1026005	540.47977 	70.41409 
350	随	1016322	535.37895 	70.46763 
351	每	1015025	534.69572 	70.52110 
352	双	1011629	532.90677 	70.57439 
353	服	1011511	532.84461 	70.62767 
354	击	1010628	532.37946 	70.68091 
355	武	1003136	528.43282 	70.73375 
356	哪	998544	526.01384 	70.78635 
357	数	994719	523.99891 	70.83875 
358	站	994038	523.64017 	70.89112 
359	奇	982596	517.61274 	70.94288 
360	房	980289	516.39746 	70.99452 
361	管	979206	515.82696 	71.04610 
362	灵	978814	515.62046 	71.09766 
363	刻	977816	515.09473 	71.14917 
364	题	976178	514.23186 	71.20060 
365	衣	974727	513.46751 	71.25194 
366	周	972776	512.43976 	71.30319 
367	静	968467	510.16986 	71.35420 
368	伤	968363	510.11507 	71.40522 
369	百	962451	507.00074 	71.45592 
370	拿	958908	505.13436 	71.50643 
371	妈	956493	503.86218 	71.55682 
372	办	956075	503.64199 	71.60718 
373	星	955656	503.42127 	71.65752 
374	化	951401	501.17982 	71.70764 
375	功	945623	498.13608 	71.75745 
376	绝	943340	496.93343 	71.80715 
377	系	942245	496.35661 	71.85678 
378	般	940949	495.67390 	71.90635 
379	必	940785	495.58751 	71.95591 
380	业	938051	494.14729 	72.00532 
381	尔	936690	493.43034 	72.05467 
382	件	935235	492.66388 	72.10393 
383	血	933230	491.60768 	72.15309 
384	代	932729	491.34376 	72.20223 
385	精	932565	491.25737 	72.25135 
386	弟	931804	490.85649 	72.30044 
387	终	928837	489.29353 	72.34937 
388	近	925463	487.51617 	72.39812 
389	条	925439	487.50353 	72.44687 
390	青	914968	481.98761 	72.49507 
391	界	913395	481.15898 	72.54319 
392	司	911784	480.31034 	72.59122 
393	整	911668	480.24923 	72.63924 
394	欢	908850	478.76476 	72.68712 
395	字	906615	477.58741 	72.73488 
396	晚	904532	476.49012 	72.78253 
397	民	902697	475.52348 	72.83008 
398	帮	901633	474.96299 	72.87757 
399	切	900592	474.41461 	72.92502 
400	即	900101	474.15596 	72.97243 
401	忙	899024	473.58862 	73.01979 
402	交	898418	473.26939 	73.06712 
403	或	896787	472.41021 	73.11436 
404	暗	891081	469.40440 	73.16130 
405	夫	890506	469.10150 	73.20821 
406	员	887168	467.34310 	73.25494 
407	根	886057	466.75785 	73.30162 
408	石	885579	466.50605 	73.34827 
409	哈	879528	463.31850 	73.39460 
410	夜	877661	462.33500 	73.44083 
411	父	875667	461.28460 	73.48696 
412	制	870792	458.71654 	73.53283 
413	友	869919	458.25666 	73.57866 
414	阿	867275	456.86385 	73.62435 
415	息	864425	455.36253 	73.66988 
416	冲	862983	454.60291 	73.71534 
417	酒	862253	454.21836 	73.76076 
418	保	859752	452.90088 	73.80606 
419	片	859001	452.50527 	73.85131 
420	形	858843	452.42203 	73.89655 
421	阵	857774	451.85891 	73.94173 
422	南	856521	451.19885 	73.98685 
423	决	856467	451.17040 	74.03197 
424	请	856375	451.12194 	74.07708 
425	各	856128	450.99182 	74.12218 
426	报	856017	450.93335 	74.16728 
427	兴	854813	450.29911 	74.21231 
428	阳	850226	447.88276 	74.25709 
429	急	849907	447.71472 	74.30186 
430	语	843913	444.55720 	74.34632 
431	令	842791	443.96615 	74.39072 
432	错	839927	442.45745 	74.43496 
433	及	839825	442.40372 	74.47920 
434	刘	835052	439.88939 	74.52319 
435	极	832554	438.57349 	74.56705 
436	识	826907	435.59876 	74.61061 
437	备	823555	433.83299 	74.65399 
438	慢	820995	432.48443 	74.69724 
439	雪	820388	432.16468 	74.74046 
440	苦	810172	426.78308 	74.78314 
441	若	809209	426.27579 	74.82576 
442	领	808920	426.12355 	74.86838 
443	收	807363	425.30336 	74.91091 
444	底	806359	424.77447 	74.95338 
445	尽	805564	424.35568 	74.99582 
446	准	805527	424.33619 	75.03825 
447	华	800451	421.66225 	75.08042 
448	答	796906	419.79481 	75.12240 
449	众	796661	419.66575 	75.16437 
450	千	794964	418.77180 	75.20624 
451	消	792838	417.65187 	75.24801 
452	视	787375	414.77406 	75.28949 
453	罗	783224	412.58739 	75.33074 
454	敢	782369	412.13700 	75.37196 
455	留	778671	410.18896 	75.41298 
456	克	777926	409.79651 	75.45396 
457	乐	777260	409.44567 	75.49490 
458	够	768470	404.81527 	75.53538 
459	跑	767297	404.19736 	75.57580 
460	显	763327	402.10604 	75.61601 
461	嘴	762052	401.43439 	75.65616 
462	官	760400	400.56415 	75.69621 
463	断	759788	400.24176 	75.73624 
464	未	758953	399.80190 	75.77622 
465	势	756507	398.51339 	75.81607 
466	句	754300	397.35079 	75.85580 
467	求	749849	395.00608 	75.89530 
468	计	747431	393.73233 	75.93468 
469	论	744148	392.00291 	75.97388 
470	达	741782	390.75654 	76.01295 
471	则	740891	390.28718 	76.05198 
472	害	740250	389.94951 	76.09098 
473	八	740031	389.83415 	76.12996 
474	单	738919	389.24837 	76.16888 
475	久	737479	388.48980 	76.20773 
476	脚	735170	387.27347 	76.24646 
477	德	733775	386.53861 	76.28511 
478	元	732265	385.74317 	76.32369 
479	脑	728559	383.79092 	76.36207 
480	楚	728204	383.60391 	76.40043 
481	雨	725801	382.33806 	76.43866 
482	睛	724850	381.83709 	76.47685 
483	响	724098	381.44095 	76.51499 
484	刀	723425	381.08643 	76.55310 
485	确	722242	380.46325 	76.59115 
486	玉	721753	380.20565 	76.62917 
487	沉	718489	378.48624 	76.66701 
488	北	718033	378.24602 	76.70484 
489	格	715810	377.07499 	76.74255 
490	停	715545	376.93539 	76.78024 
491	陈	714404	376.33434 	76.81787 
492	市	712352	375.25338 	76.85540 
493	朝	709793	373.90535 	76.89279 
494	喝	707608	372.75433 	76.93006 
495	族	707445	372.66847 	76.96733 
496	江	705253	371.51377 	77.00448 
497	团	701923	369.75959 	77.04146 
498	母	701521	369.54782 	77.07841 
499	章	697369	367.36063 	77.11515 
500	装	695241	366.23964 	77.15177 
501	亮	693524	365.33515 	77.18831 
502	客	692916	365.01487 	77.22481 
503	照	692673	364.88686 	77.26130 
504	乱	692152	364.61241 	77.29776 
505	易	690500	363.74217 	77.33413 
506	足	680607	358.53073 	77.36999 
507	依	679811	358.11141 	77.40580 
508	黄	678776	357.56619 	77.44155 
509	修	678749	357.55197 	77.47731 
510	破	677496	356.89191 	77.51300 
511	台	676961	356.61008 	77.54866 
512	球	673782	354.93545 	77.58415 
513	呀	673765	354.92649 	77.61965 
514	院	672894	354.46766 	77.65509 
515	送	668592	352.20145 	77.69031 
516	包	667583	351.66993 	77.72548 
517	义	667264	351.50189 	77.76063 
518	诉	667093	351.41181 	77.79577 
519	攻	665395	350.51734 	77.83082 
520	丝	661300	348.36017 	77.86566 
521	围	659219	347.26394 	77.90038 
522	玩	658958	347.12645 	77.93510 
523	待	658854	347.07166 	77.96980 
524	复	656644	345.90748 	78.00440 
525	况	655809	345.46761 	78.03894 
526	楼	654626	344.84443 	78.07343 
527	丽	653445	344.22230 	78.10785 
528	痛	653298	344.14487 	78.14226 
529	梦	650909	342.88639 	78.17655 
530	呼	649070	341.91764 	78.21074 
531	摇	647544	341.11377 	78.24486 
532	期	647443	341.06057 	78.27896 
533	英	646331	340.47479 	78.31301 
534	低	646263	340.43896 	78.34705 
535	帝	643284	338.86968 	78.38094 
536	兄	642800	338.61472 	78.41480 
537	背	642470	338.44088 	78.44865 
538	持	641315	337.83245 	78.48243 
539	爷	641029	337.68179 	78.51620 
540	皇	640305	337.30040 	78.54993 
541	七	638221	336.20259 	78.58355 
542	六	635084	334.55008 	78.61700 
543	穿	634742	334.36992 	78.65044 
544	杨	633480	333.70512 	78.68381 
545	政	633183	333.54867 	78.71716 
546	运	630729	332.25595 	78.75039 
547	居	627014	330.29896 	78.78342 
548	叶	625969	329.74847 	78.81639 
549	热	625680	329.59623 	78.84935 
550	校	623489	328.44206 	78.88220 
551	谢	623220	328.30035 	78.91503 
552	曾	621971	327.64240 	78.94779 
553	古	621960	327.63661 	78.98056 
554	细	618534	325.83186 	79.01314 
555	产	617667	325.37514 	79.04568 
556	睡	616243	324.62500 	79.07814 
557	希	614576	323.74686 	79.11051 
558	速	614540	323.72790 	79.14289 
559	室	614287	323.59462 	79.17525 
560	旁	610425	321.56019 	79.20740 
561	另	608814	320.71155 	79.23947 
562	怀	607039	319.77651 	79.27145 
563	露	606979	319.74491 	79.30343 
564	异	605892	319.17229 	79.33534 
565	写	605147	318.77984 	79.36722 
566	鬼	604413	318.39319 	79.39906 
567	娘	603856	318.09977 	79.43087 
568	取	602170	317.21162 	79.46259 
569	式	600521	316.34296 	79.49423 
570	除	599918	316.02531 	79.52583 
571	级	599204	315.64918 	79.55739 
572	考	599063	315.57491 	79.58895 
573	建	598616	315.33944 	79.62048 
574	愿	597660	314.83584 	79.65197 
575	招	593719	312.75979 	79.68324 
576	饭	592046	311.87849 	79.71443 
577	布	591571	311.62827 	79.74559 
578	续	591245	311.45654 	79.77674 
579	程	590619	311.12677 	79.80785 
580	首	588887	310.21439 	79.83887 
581	观	588781	310.15855 	79.86989 
582	朋	588716	310.12431 	79.90090 
583	务	587619	309.54643 	79.93186 
584	掉	586059	308.72465 	79.96273 
585	赶	585731	308.55187 	79.99359 
586	忽	585369	308.36117 	80.02442 
587	注	583182	307.20910 	80.05514 
588	术	579874	305.46651 	80.08569 
589	甚	576087	303.47159 	80.11604 
590	差	573616	302.16992 	80.14625 
591	呵	570893	300.73549 	80.17633 
592	展	570379	300.46473 	80.20637 
593	争	569448	299.97429 	80.23637 
594	品	566800	298.57938 	80.26623 
595	兰	565307	297.79289 	80.29601 
596	宝	564720	297.48367 	80.32576 
597	香	563262	296.71563 	80.35543 
598	斗	562155	296.13248 	80.38504 
599	故	560446	295.23221 	80.41456 
600	雷	560379	295.19692 	80.44408 
601	念	559620	294.79709 	80.47356 
602	段	559051	294.49735 	80.50301 
603	顿	557768	293.82149 	80.53240 
604	角	557634	293.75091 	80.56177 
605	疑	556639	293.22676 	80.59109 
606	护	551817	290.68662 	80.62016 
607	闪	551016	290.26467 	80.64919 
608	木	547209	288.25922 	80.67801 
609	需	543409	286.25745 	80.70664 
610	调	542792	285.93242 	80.73523 
611	类	542775	285.92347 	80.76383 
612	妹	542424	285.73857 	80.79240 
613	爸	541485	285.24392 	80.82092 
614	线	539444	284.16876 	80.84934 
615	左	538289	283.56033 	80.87770 
616	游	537555	283.17367 	80.90601 
617	派	537090	282.92872 	80.93431 
618	谈	536829	282.79123 	80.96259 
619	激	535171	281.91783 	80.99078 
620	冰	534562	281.59702 	81.01894 
621	敌	534220	281.41686 	81.04708 
622	跳	532527	280.52502 	81.07513 
623	支	532396	280.45601 	81.10318 
624	约	526224	277.20472 	81.13090 
625	巴	523594	275.81929 	81.15848 
626	您	523541	275.79137 	81.18606 
627	顾	523266	275.64650 	81.21362 
628	肯	522835	275.41946 	81.24117 
629	醒	522582	275.28618 	81.26869 
630	铁	520031	273.94237 	81.29609 
631	抱	519992	273.92182 	81.32348 
632	淡	518865	273.32814 	81.35081 
633	造	518334	273.04842 	81.37812 
634	伙	518273	273.01628 	81.40542 
635	资	517472	272.59433 	81.43268 
636	群	516077	271.85947 	81.45987 
637	集	515762	271.69354 	81.48703 
638	联	514908	271.24367 	81.51416 
639	商	514550	271.05508 	81.54126 
640	号	513737	270.62681 	81.56833 
641	节	511250	269.31670 	81.59526 
642	讲	510842	269.10178 	81.62217 
643	掌	510260	268.79519 	81.64905 
644	赵	507405	267.29123 	81.67578 
645	密	506110	266.60905 	81.70244 
646	九	506014	266.55848 	81.72909 
647	病	505956	266.52793 	81.75575 
648	卫	504141	265.57182 	81.78230 
649	米	503964	265.47858 	81.80885 
650	威	503918	265.45435 	81.83540 
651	继	503302	265.12985 	81.86191 
652	渐	503123	265.03556 	81.88841 
653	统	503061	265.00289 	81.91491 
654	追	502402	264.65575 	81.94138 
655	亚	502177	264.53722 	81.96783 
656	简	501969	264.42765 	81.99428 
657	练	501341	264.09683 	82.02069 
658	基	499224	262.98164 	82.04698 
659	选	498189	262.43642 	82.07323 
660	推	497295	261.96548 	82.09942 
661	改	495567	261.05520 	82.12553 
662	退	494368	260.42359 	82.15157 
663	味	493741	260.09330 	82.17758 
664	份	493685	260.06380 	82.20359 
665	举	493503	259.96792 	82.22958 
666	示	492951	259.67714 	82.25555 
667	忍	492901	259.65080 	82.28152 
668	历	492045	259.19988 	82.30744 
669	器	489638	257.93192 	82.33323 
670	恐	489578	257.90031 	82.35902 
671	引	489419	257.81655 	82.38480 
672	试	489076	257.63586 	82.41057 
673	皮	487744	256.93419 	82.43626 
674	习	487160	256.62655 	82.46192 
675	靠	486494	256.27572 	82.48755 
676	导	486193	256.11716 	82.51316 
677	存	485467	255.73471 	82.53874 
678	莫	485268	255.62988 	82.56430 
679	志	485065	255.52295 	82.58985 
680	区	485061	255.52084 	82.61540 
681	汉	484364	255.15367 	82.64092 
682	右	483406	254.64902 	82.66638 
683	严	480979	253.37052 	82.69172 
684	态	478661	252.14944 	82.71693 
685	买	477539	251.55839 	82.74209 
686	幸	477019	251.28447 	82.76722 
687	社	476704	251.11853 	82.79233 
688	佛	475734	250.60755 	82.81739 
689	议	474942	250.19034 	82.84241 
690	树	474612	250.01651 	82.86741 
691	止	472691	249.00456 	82.89231 
692	块	472478	248.89236 	82.91720 
693	守	470593	247.89937 	82.94199 
694	毛	469562	247.35626 	82.96673 
695	挥	468277	246.67935 	82.99140 
696	胡	468131	246.60244 	83.01606 
