的	drbu
骂	mikm
骂	mimk
装	vwyv
三	snaa
蛮	mpiy
蛮	mpyi
腿	tvot
正	vfav
瘦	urbs
瘦	urby
卤	lmba
卤	lmbi
卤	lmsh
俺	aord
俺	aory
老	lxbl
老	lxlb
俩	lnrl
抱	bvfb
忙	mwxw
超	iqzv
疼	tfbd
胖	pdob
喔	wpkw
车	iraa
某	mzgm
某	mzmg
第	dtvp
教	jmwx
生	ucna
中	vyaa
中	vyka
进	jvzj
假	jnrj
假	jnry
差	iiyg
忘	wdxw
热	rihv
热	ridv
选	xszx
啥	uuku
微	wixw
求	qmad
若	rpcy
些	xkec
久	jzpd
久	jzdd
苦	kmcg
米	mgdd
约	yusu
飞	fiyd
吓	xxkx
亲	qhlm
照	vvdv
照	vvhv
赢	ynbk
赢	ynwf
饿	eiuw
读	dlym
秒	mlhu
信	xvry
另	lwkl
儿	ekpg
靠	kvfg
靠	kvnf
聊	luem
远	yszy
懂	dnxd
羯	jsyh
低	djrd
呆	dbkm
晒	uoox
追	vtzv
见	jaag
见	jaek
见	jake
跳	tlzv
挂	ggfg
哪	nmkn
鸟	nlna
鸟	nlpa
呃	eike
挺	twft
贵	gfba
贵	gfvb
元	yoaw
元	yoee
摩	memu
摩	meum
疯	fcbf
张	vugi
萌	mfcm
头	tadd
活	hldu
行	xnxd
行	xnxi
哒	dlkd
次	ctdq
本	boaa
本	boma
骗	pamb
店	dagv
考	kxlk
歌	grqg
喂	wkkw
强	qigs
死	sgdb
收	uxwj
收	uxjw
贱	jabj
噗	pakd
噗	pakf
噗	pakp
恨	hoxg
撸	lafl
喵	mmkm
亮	lewj
亮	ledj
亮	lejb
弱	rpgd
破	pgup
哼	hckh
拍	pbfb
躺	tpuu
抢	qufc
吐	tmkt
日	rtaa
日	rtor
日	rtri
谈	tpyy
饭	fauf
帅	ufaj
帅	ufdj
帅	ufjd
离	lbwl
离	lbws
离	lbdl
离	lbds
号	hvkk
闹	nvmu
办	balb
还	hozb
养	ypya
养	ypyd
红	hjsg
猪	vaqv
刷	usdj
呐	nikn
姐	jcnq
洗	xgdx
种	vyhv
喝	hrkh
菜	cocc
如	rlnk
赞	zabx
丢	dzpq
丢	dzps
捏	nkfn
捏	nkft
非	fiaa
粉	fomf
怕	pixb
坑	kctk
网	wpki
总	znbx
总	znxk
曾	cfob
曾	cfbo
爹	dkfd
蛋	daip
蛋	dapi
型	xntx
咱	zpkz
屎	ugum
纸	vgsu
杀	ulmi
杀	ulim
自	ztpa
自	ztpo
白	bdpa
白	bdpo
急	jbxi
急	jbxx
催	ctrc
吖	alky
改	guwj
改	gujw
特	tins
包	bqgs
愿	ycxy
妹	mknw
唔	wlkw
受	urvy
受	uryb
抓	vsfv
钱	qvjj
者	vllo
者	vlol
喷	pekb
鱼	ymda
瞎	xdoh
此	cgvb
乱	lcug
滚	godg
呦	yxky
晚	woom
留	lmtd
留	lmtl
留	lmlt
晕	ygoj
风	fcji
抽	ixfy
块	kftd
块	kftg
怪	gfxu
度	dhgy
戳	isgd
戳	isgv
往	wpxv
便	barg
楼	laml
党	dpxx
党	dpdx
党	dpek
咬	yxkj
吹	itkq
练	lasd
练	lasj
删	undc
条	tuwm
耶	yeee
丫	ylba
丫	ylda
系	xtps
君	jgky
丑	izaa
丑	izat
丑	izvt
件	jarn
近	jvzj
两	luad
雨	ysad
力	ltgp
面	maaa
球	qmwq
重	ijpa
重	ijql
火	hldd
爬	puvb
脚	jloq
管	gsvg
偶	ozry
行	hwxd
行	hwxi
痛	tyby
黄	hbad
黄	hbcb
嘴	zvkj
嘴	zvkz
戴	dogg
戴	dogy
情	qnxq
各	giwk
门	msdg
卡	kmbx
卡	kmub
倒	dxrd
跪	gfzw
道	dvzu
病	bwbb
边	brzl
搜	sxfs
搜	sxfy
短	dsud
混	hrdk
呵	hrkk
指	vgfv
翻	fnyf
词	cbys
招	vqfv
尿	nluu
摸	mpfm
嘤	yeky
撒	smfs
毁	hvjy
毁	hvug
顶	dwdy
顶	dwyd
马	mmaa
马	mmvh
喊	hokx
由	yaaa
由	yaao
悲	bixf
悲	bifx
组	zmsq
帖	tcjv
则	zebd
则	zedb
爪	vgpd
配	pkyj
乃	nupg
乃	nugp
斤	jhpa
秀	xohn
伤	uurl
喽	lxkl
蓝	lpcj
及	jbnd
及	jbpd
谢	xqyu
报	bvfy
因	yhkd
泡	pvdb
未	wkex
未	wkad
款	ksqu
定	dwbp
深	uedm
渣	vldi
粗	camq
咔	klkk
爸	bifb
输	uaiy
床	ibgm
床	ibmg
碗	wouw
外	woxb
宅	vdbq
宅	vdbt
纯	ifst
熊	xkdn
熊	xkhn
汗	hadg
搭	dlfd
搭	dlfh
药	yvcy
使	ugrl
感	goxx
宫	gkbl
双	uwyy
演	yody
木	mhad
粑	blmb
班	bndw
班	bnww
赚	vcbj
货	hpbh
亿	ytry
拼	phfb
嗨	hbkh
其	qbba
其	qbad
其	qbhb
名	mnxk
类	lkmd
棒	bdmf
王	wwaa
骑	qbmq
片	papa
片	papv
金	jhra
金	jhpa
茶	iucm
处	ihwb
砸	zuuz
查	iumd
光	gwea
光	gwxw
气	qtpy
气	qtry
枪	qymc
句	jfgk
句	jfkg
句	jfpk
扔	rcfn
试	utyu
嫁	jxnj
且	qcaa
切	qqdq
切	qqqd
醒	xwyx
惹	rlcx
惹	rlxr
停	tnrt
树	uhmd
爽	uudy
台	tdsk
口	kzaa
半	babf
鞋	xsgg
雪	xoyx
任	rorr
摔	ugfl
摔	ugfu
接	jkfq
操	cqfz
娶	qsnq
入	rhpd
提	tbfu
狠	hoqg
背	biob
挖	wlfw
挖	wlfy
烂	lahl
级	jbsj
间	jrmo
间	jrom
乖	ggpb
乖	ggqb
达	duzd
云	yfes
云	yfse
冲	ikdv
团	tokc
瓶	pnwb
主	vmdw
踢	tjzy
硬	ywug
魔	megm
魔	memg
嘞	likl
女	nsaa
女	nsvh
动	dyly
动	dyyl
剪	jpdq
线	xasj
叔	uayx
念	naxj
表	blfy
挑	tmfv
致	vtwv
槽	cimc
满	modl
甩	uppg
油	yady
皆	jkbb
捡	jpfq
捡	jpfa
省	uyou
八	blpd
皮	pbad
皮	pbay
皮	pbvd
皮	pbvy
皮	pbya
子	zgaa
子	zgvh
酒	jzdy
救	jowq
穷	qkxl
穷	qkbl
亦	ytwb
亦	ytwy
亦	ytdd
忍	roxr
妞	nzni
反	fopy
呜	wakw
部	bhek
部	bhep
借	jqrx
插	ilfi
插	ilfj
街	jkri
街	jkxg
街	jkxi
烦	fphy
关	gdbt
关	gdqd
草	cxcz
诗	ujys
直	vbaa
直	vbuq
踩	cuzc
嘿	hikh
课	kiyg
臭	irzq
城	ifti
票	plxu
剩	ufdi
趣	qfzq
握	wgfw
李	lgmz
嘛	mlkm
撞	veft
汤	tudy
刀	dqgp
刀	dqpg
挤	jgfq
替	ttof
替	ttfo
夜	yiwd
夜	yiww
夜	yidd
夜	yidw
至	vttv
至	vtvt
扯	ilfv
懒	loxl
房	fwhf
腰	yqoy
香	xyho
安	anbn
奔	bedc
奔	bedh
穿	idxy
穿	idby
凭	pnjr
咦	ybky
杯	bimb
泪	lkdo
慢	maxm
虐	ndha
逛	gezk
碎	sfuz
既	jtgg
既	jtgw
痘	drbd
题	tbuy
题	tbyu
舔	tput
舔	tpux
即	jbeg
即	jbge
凉	lidj
准	vodv
占	vabk
屁	ptub
记	jtyj
胸	xpox
摆	bufb
国	glky
蛇	ueit
派	podp
称	iche
拖	tsfy
盘	ppmv
盘	ppvm
控	kyfk
血	xcpa
血	xcpm
咧	lckl
忒	ttxy
忒	ttyx
味	wkkw
交	jmli
交	jmwf
交	jmdf
四	staa
四	stke
投	tafu
偷	txry
涨	vpdv
躲	dlud
推	ttfv
抹	mifm
副	fhdf
副	fhdt
式	utgy
式	utyg
搬	bnfb
咪	mjkm
尽	jvid
堵	dmtv
藏	cwcg
藏	cwci
山	unaa
虎	hmhj
乐	lipd
乐	lipx
左	zlgu
左	zlug
吵	ixku
岂	qguj
欠	qadr
传	iorv
笨	bovb
寄	jtbq
麽	memm
修	xzrp
烧	uqhy
眼	yoog
机	jjmj
相	xymo
套	tvdi
撑	icfv
蝎	xkih
落	lpcl
绿	lfsl
折	vefj
甜	tvug
糖	twmt
奥	avdm
奥	avpd
鬼	gvpd
鬼	gvps
份	forf
烤	kxhk
命	mwre
补	bmyb
象	xedu
象	xepd
象	xeua
节	jkce
惨	coxc
熟	uahu
熟	uadu
瞧	quoj
群	qfyj
海	hudm
墙	qith
作	zprv
鸭	ylnj
鸭	yljn
样	ydmy
圆	yoky
嫌	xvnj
身	uepp
逗	drzd
旧	joao
断	dcja
断	dcjm
断	dcjv
歪	wbbv
戏	xtyg
段	dcud
段	dcdu
段	dcpu
罗	llsx
窝	wpxn
窝	wpxg
窝	wpbn
窝	wpbg
盖	gomy
盖	goym
羊	ywda
闲	xvmm
美	mjdy
美	mjyd
夹	jcfb
夹	jcar
觉	jidj
觉	jijb
炒	ixhu
仍	rfrn
莫	mgcd
莫	mgct
排	pdff
五	wmaa
傻	umrw
篇	prvb
性	xwxu
租	zahq
几	jgpy
周	vxkj
周	vxkk
桥	qumq
区	qhki
队	dfer
碰	pfub
蹭	cfzc
哈	hlkh
拆	ibfi
卷	jsef
卷	jsje
哭	kakq
哭	kaqk
场	ipty
吻	wokw
男	nptl
应	yega
哄	hnkg
签	qrva
签	qrvq
法	fmdq
色	sidb
需	xhye
流	lmdi
杨	ywmy
逼	bjzf
逼	bjzt
娃	wung
劝	qcly
劝	qcyl
圈	qdkj
集	jbmv
集	jbvm
语	ysyw
涂	tldy
平	pnaa
平	pngb
期	qjoq
期	qjqo
暖	nsoy
座	zpgz
缺	qufd
缺	qufg
矮	auuw
空	kkxg
空	kkbg
软	rsiq
憋	bkxb
憋	bkxw
肥	frob
退	tfzg
扑	pafb
耍	ugne
牌	pdpb
烟	ynhy
狼	lwql
减	jpdx
抄	iqfu
理	lgwl
劈	pjdb
劈	pjdx
印	yvey
印	yvpe
望	wdwo
陈	ised
郑	vfeg
整	vyvi
整	vyvw
郭	gsex
蹲	dgzz
恋	laxy
恋	layx
兔	thdd
知	vjuk
知	vjku
娘	ninl
驴	lmmh
辣	lixu
偏	prrb
噶	gukg
据	jffj
数	uhwl
清	qedq
游	yadz
粮	liml
归	gtax
归	gtdx
灰	hthu
灰	htuh
姓	xwnu
绝	jiss
么	mrps
欲	yfgq
欲	yfqg
豆	draa
豆	draq
剧	jfdj
待	dbxs
待	doxs
那	nlel
犯	faqe
师	ujab
师	ujaj
师	ujdb
师	ujdj
位	wkrl
捉	vsfz
扣	krfk
较	jlij
齐	qbwa
齐	qbwp
灯	dchd
明	mnoo
酸	sdyj
酸	sdyw
帝	dtjb
帝	dtwj
帝	dtdj
帝	dtlj
值	vbrv
论	lryl
季	jthz
土	tmaa
右	yrku
右	yruk
啃	kokk
熬	aiha
熬	aihw
熬	aida
熬	aidw
揍	zrfz
赶	gozg
银	ycjg
合	herk
细	xtst
厚	hriz
西	xjaa
南	npua
南	npuy
朝	iiou
朝	iiuo
狂	kbqw
随	swey
随	swez
瞅	izoq
界	jqtj
盯	deod
趁	iozp
淡	dady
轻	qeig
岛	dxnu
岛	dxun
嗷	aika
嗷	aikw
拔	bufb
拔	bufy
猛	myqm
扒	blfb
宝	bxby
脱	tsod
方	fudg
方	fudd
方	fudp
方	fudw
方	fuwd
刮	gsdu
费	fkbf
费	fkfb
遍	bazb
抠	kxfq
霜	uwyx
零	lnyl
星	xeou
夸	ksdk
邮	yaey
睇	dtod
汪	wudw
取	qsey
取	qsye
菇	gacg
易	ytow
蒸	vchv
蒸	vccd
蒸	vcch
蒸	vcdv
症	vfbv
愁	iaxq
化	hgrb
足	zlkv
佛	ferf
揉	rafr
六	lowb
六	lodb
六	lodd
码	mmum
龙	ljad
糗	qzmi
馋	ipud
刘	lmdw
刘	lmwd
服	floy
蟹	xqij
牙	yuap
富	fhbf
富	fhbt
吾	wlwk
吾	wlkw
冰	bedu
七	qjag
常	iwjk
常	iwxd
常	iwdd
底	dggd
仅	jxry
习	xbga
粘	vnmv
奖	judx
妆	vwjn
妆	vwnp
妆	vwpn
爷	yefe
吼	hzkk
弯	wngy
弯	wnyg
炖	drht
嫩	noni
嫩	nonw
文	wswi
文	wsdd
基	jjtq
基	jjqt
经	jesg
坨	tltt
射	uicu
射	uiuc
单	dnba
单	dnbd
薄	bicc
薄	bicp
隔	geeg
史	ugad
史	ugki
伞	soru
搓	csfi
跌	dkzu
雾	whyw
必	btdd
必	btxp
呸	pikp
捧	pyff
似	stry
困	krkm
掰	bbfu
掰	bbuu
令	lwrs
怎	zoxv
刺	ctdc
答	duvh
冒	mvoo
凶	xpik
凶	xpki
船	iovk
酱	jeyx
趴	plzb
闪	uomr
闪	uorm
昂	awoe
紧	jxsy
贼	zrbr
电	daag
电	daog
声	ucum
具	jfba
具	jfbq
具	jfqb
压	ylid
压	ylit
雷	lryt
钻	zdjv
湿	ujdx
登	dcdd
啪	plkp
咋	zekv
百	buab
终	vksd
哆	dskd
酷	khyg
波	bpdp
林	lcmm
治	vtdt
醉	zfyz
唯	wrkv
弹	tpgd
砍	kouq
原	yoix
咳	kekh
猿	yoqy
秤	ifhp
害	hobk
甚	uoqa
甚	uoqv
锅	gsjg
锅	gsjn
官	gdbg
官	gdbk
遭	zqzc
怒	nhxn
赌	dmbv
炸	vihv
飘	pmfp
胡	hlog
仔	zgrz
村	cgmc
解	jcjn
订	dwyd
卧	wgbi
卧	wgib
捂	wmfw
播	bpff
伐	furg
量	liol
量	leol
割	grdh
淘	tidf
淘	tidt
埋	mdtl
塞	sbtb
塞	sbbt
略	ldtg
淫	ycdr
宽	kdbj
宽	kdjb
透	trzx
凑	crdz
劲	jvlg
重	vypa
重	vyql
届	jquy
倍	bkrk
倍	bkrp
胃	wkot
胃	wkto
嬛	xdnh
嬛	xdny
举	jsdf
举	jsxf
灭	mqah
残	cpdj
封	fccg
属	umuy
脑	nxox
粥	vxgg
粥	vxmg
福	fluf
福	flut
扫	sxfx
韩	hpuw
韩	hpwu
废	fkgf
升	ucpc
煎	jrhq
煎	jrdq
征	vcxv
捞	lqfl
罚	fusd
慌	hwxh
价	jxrj
今	jhra
今	jhrv
叠	dsqr
叠	dsqu
叠	dsyy
饼	bwub
母	mmad
母	mmvd
勒	lilg
勒	ligl
存	cfuz
存	cfza
杜	dhmt
胜	ufou
毒	dlfm
虽	stki
妖	yqny
叼	dmkd
负	fhdb
根	gemg
春	igof
春	igfo
虾	xdix
迷	mbzm
啰	lskl
寸	crad
体	tgrb
供	gkrg
抛	pqfl
烫	tdht
拽	vffy
防	fwef
炮	pvhb
冻	dydd
编	brsb
侠	xcrj
勿	whgp
共	gybc
共	gycb
纹	wssw
闻	wsem
闻	wsme
北	bjap
北	bjbj
守	uzbc
挡	dpfd
拌	bafb
甄	vewt
甄	vewy
牵	qrnb
牵	qrdn
发	fiay
发	fifd
发	fivy
发	fiyd
克	kieg
克	kiux
摄	uifn
布	bhju
布	bhuj
降	jeef
降	jeej
怂	snxc
奶	nunn
笔	bgvm
曰	yuaa
曰	yuoy
曰	yuyt
霾	mdyl
颗	kryg
九	jzpy
泥	nbdn
於	ymfd
教	jlwx
瑟	siwb
遮	vrzd
遮	vrzh
遮	vrzu
澡	zxdz
痒	ypby
锁	sljb
吸	xjkj
敷	fawf
德	dexx
踹	ifze
介	jqra
介	jqrd
吊	dlkj
舞	wmrf
舞	wmpa
舞	wmxf
含	hpkj
含	hprk
浓	njdn
料	llmd
蹦	bfzb
蹦	bfzp
嘎	glkg
潮	iidi
长	vppd
现	xawj
壳	keuj
调	dlyv
调	tuyv
罪	zfsf
证	vfyv
亏	ktak
亏	kteg
剃	ttdd
摇	yiff
肾	uooy
素	shsf
素	shfs
填	tvtv
精	jemq
沾	vndv
盒	hemh
闷	momx
闷	moxm
犬	qsdd
犬	qsad
通	tkzy
铁	tcju
洞	dydt
架	jxmj
腻	ntoe
公	gksb
公	gkbs
露	lryl
著	vhcv
晃	heog
铺	pajf
潘	pndf
砖	vduv
孔	knzg
乳	rmgf
乳	rmfg
食	ubrl
食	ubpd
建	jazy
垫	datv
什	ubru
键	jajj
捅	tnfy
欧	oxqq
饱	bxub
伪	wjrw
兽	urka
兽	urbk
盼	paof
滑	htdg
运	yrzy
绕	rvsy
戒	jqgc
缠	ipsl
散	sowo
散	sawo
拜	bopa
拜	boua
拜	bouf
嘘	xhkx
枰	pnmp
赵	vvzi
屏	pnub
脏	zuov
页	yiab
范	face
范	facf
逃	tizv
结	jssj
馆	gsug
领	lwyl
巨	jfkk
巨	jfaa
处	imwb
言	ypda
言	ypdk
言	ypwk
梗	gymg
攒	zofz
翘	qlgy
翘	qlhh
翘	qlyy
挠	nify
溜	lzdl
市	utwj
市	utdj
伴	barb
分	fobd
分	fodb
剑	jada
剑	jadq
初	iayd
利	lthd
利	ltdh
啧	zekz
针	veju
掐	qdfj
掐	qdfx
啵	bpkb
博	beuc
博	beuf
否	fzkb
巧	qlgk
造	zvzg
虚	xhhy
寻	xfcx
寻	xfxc
蠢	ioii
托	tsfq
托	tsft
朵	dlmj
朵	dljm
逆	ntzn
骚	sqmi
骚	sqmz
层	cfuy
测	cidz
何	herk
磨	memu
磨	meum
局	jmuk
剁	dpdd
缘	yost
缘	yosu
般	bnvu
代	dory
诺	npyr
叶	yiku
均	jgty
肌	jjoj
东	dkad
东	dkqx
宠	inbl
税	ufhd
端	ddle
首	uzqz
容	rjbg
斯	sjjq
斯	sjqj
物	whnw
录	lhau
录	lhua
录	lhvu
丽	ltad
盐	ypmb
吴	wlkt
败	bobw
败	bowb
咸	xvgk
咸	xvkg
咸	xvwk
稍	uqhx
摘	vbfd
摘	vbfg
矣	ygsu
众	vyrc
惊	jexj
竟	jwle
敲	qmgy
敲	qmpg
嗲	dnkd
干	gnaa
漏	lrdl
漏	lrdy
湖	hldh
沉	isdj
沉	isdr
截	jsgv
截	jsug
截	jsvg
朱	vapw
付	fhrc
醋	chyx
撕	sjfs
获	hpcq
朕	voog
冥	mnbl
冥	mnbz
丝	sjaa
轮	lfil
河	hedk
炫	xchx
塔	tmtd
塔	tmth
袁	yoty
喜	xguk
魂	hfgy
魂	hfyg
挣	vffv
赔	prbk
赔	prbp
耳	euaa
碧	btub
碧	btup
撤	iifw
贪	tnbj
贪	tnrb
扛	kwfg
镇	vojv
肺	fkof
肺	fkoj
祸	hpug
祸	hpun
果	glad
果	gltm
怀	hsxb
刑	xndk
嚯	hpkh
拱	gnfg
顺	uryi
器	qtkk
器	qtqk
秋	qzhh
孙	sgzx
巴	blag
巴	blkg
巴	blvg
捐	jdfo
屋	wauv
沪	hhdh
猴	haqh
龟	gtdd
夏	xxwz
夏	xxaw
转	vciv
耐	noce
仨	slrs
争	vcdy
肯	koov
肯	kovo
歇	xkqh
板	bomf
极	jbmj
案	aabm
案	aama
扭	nzfi
观	gdjy
观	gdyj
卸	xqea
卸	xqev
卸	xqex
兼	jrbd
兼	jrbj
兼	jrqd
兼	jrqj
设	uiyu
趟	tdzu
攻	gkgw
攻	gkwg
抖	dzfd
除	iley
静	jwqv
旁	pwwf
旁	pwdf
旁	pwlf
稳	wohj
逢	ffzf
董	dncv
驾	jxmj
浅	qpdj
申	ueaa
申	ueoa
环	howb
拒	jffj
遇	yfzy
绑	bpsb
乘	ifpb
乘	ifhb
泰	tofu
泰	touf
缩	ssss
紫	zgsc
认	royr
串	icaa
串	icvv
痣	vtbv
友	yzyu
友	yzuy
沙	uldu
尼	nbub
战	vagv
臀	tfod
臀	tfou
员	yokb
丁	deaa
股	gmou
步	bhvx
档	ddmd
嘻	xjkx
鼻	bbzb
鼻	bbzq
识	ubyv
叻	likl
颇	ppyp
限	xaeg
幅	fljf
幅	fljt
响	xukx
旅	lsfp
跨	kgzk
崔	ctuv
意	ytxy
意	ytlx
侬	njrn
哩	ljkl
威	wign
威	wing
威	wiwn
糕	gqmg
麻	mugl
赛	sobb
瓜	gspd
拧	nwfn
室	utbv
愣	lfxf
显	xpoy
尊	zgcq
尊	zgqc
寒	hpbd
广	gudp
率	lfwu
率	lfdu
品	pxkk
休	xzrm
凹	aqaa
维	wrsv
裤	khyk
蒙	mfcm
蒙	mfcu
搂	lxfl
苏	sacb
斜	xsdy
免	mpde
免	mpdm
居	jhug
膏	gqog
膏	gqok
膏	gqwo
膏	gqdo
餐	cnuy
染	romg
染	romj
轰	hkiu
唐	twgk
幂	mtbj
幂	mtjd
婚	hgnh
摊	tnfn
瑕	xcwj
瑕	xcwy
皂	zvbq
桶	tnmy
立	ltda
客	kibg
状	vejq
状	vepq
状	veqp
枕	vomg
枕	vomy
闯	iumm
坟	fstw
扶	flff
故	ghwg
千	qrpa
尾	wjum
震	voyi
粽	zymz
叹	taky
古	gmuk
灵	lnhx
灵	lnxh
恶	eixy
堆	dttv
损	sofy
呼	hakh
琴	qcwj
虫	ijad
虫	ijvd
展	vouy
善	uayk
善	uaka
善	uakq
芙	flcf
抗	kdfk
狮	ujqu
科	krhd
松	skmg
徐	xmxy
乡	xyap
乡	xyvp
充	ikdy
充	ikes
充	ikwy
嗒	dlkd
嗒	dlkh
弄	lycw
弄	lywc
拎	lhfl
须	xhpy
须	xhyp
衫	unyp
尖	jrxd
森	seml
扎	vlfg
膜	meom
晴	qnoq
婊	blnb
衣	yjdd
棋	qbmq
迟	ibzi
酥	sayh
章	vulz
产	iodp
产	ioli
产	iowp
僧	scrc
竖	uhly
兄	xpke
横	hfmh
聚	jfed
聚	jfey
聚	jfqd
聚	jfyq
娇	jmnq
十	ubaa
石	ubkp
石	ubaa
石	ubak
石	ubpk
宋	sybm
尚	udxk
依	yjry
旺	wdow
瞄	muom
妙	mlnu
甘	gnaa
甘	gnca
啾	jzkq
膘	bmop
田	tvaa
噜	lakl
悬	xoxx
距	jfzj
己	jgag
己	jgvg
青	qeof
青	qefo
郎	lwel
糟	zqmc
雅	ymvy
雅	ymyv
惯	gcxg
唷	ypky
噻	sbks
麦	mofw
侃	kori
钓	dlju
京	jewx
京	jedx
罢	bisq
丹	dnpd
添	trdt
添	trdx
曲	qsaa
曲	qsoa
扇	uahy
扇	uayh
嚼	jukc
嚼	jukj
芯	xhcx
许	xsyw
赖	louf
音	yhlo
葱	ckcc
葱	ckcx
丸	wpjd
丸	wppd
搁	grfg
娜	ninn
揪	jzfq
榜	bpmp
遛	lozl
宰	zubx
俩	lurl
赏	upbk
赏	updk
赏	upxy
谷	gmbk
谷	gmkr
曝	bvob
赐	ctby
黏	nvhv
黏	nvvu
腹	fhof
桌	vsmo
桌	vsbm
蜜	mtib
蜜	mtbi
消	xmdx
勺	uigd
辞	cbux
辞	cbxu
江	jydg
兵	beqb
裙	qfyj
饮	yxuq
蝶	dsim
蝶	dsiy
蔡	cocj
侧	cirz
告	gvkn
告	gvnk
寺	stct
寺	sttc
仙	xrru
甲	jnaa
甲	jnoa
赴	fhzb
角	jldy
钗	ibji
止	vgaa
薛	xucx
港	gpdx
磕	kruh
磕	krum
曹	cioc
曹	cico
崽	zuus
巾	jhaa
坎	kotq
评	pnyp
勾	gxgs
窗	iwxx
窗	iwbx
罐	gcfv
艾	aoci
咖	klkj
斗	drdu
凡	fpdj
凡	fpjd
继	jtsa
继	jtsv
刻	kidh
保	bxrd
蕾	ljcl
厄	eiie
抬	tdft
驻	vhmv
弟	dtbp
壮	veju
壮	vepu
壮	veup
喘	iske
皱	vrip
皱	vrpi
皱	vrpx
喇	lmkd
喇	lmkl
扎	zlfg
唰	usku
附	fhef
格	gemg
失	ujpf
野	ylly
野	ylyl
暗	aaoy
橙	ifmd
裸	llyg
桑	sumr
桑	sumu
桑	suym
蘸	vacj
嘉	jduj
沟	gxdg
民	mcag
民	mckq
民	mcvg
厂	ipap
袋	doyd
拨	bpff
疤	blbb
靴	xugh
园	yoky
涅	nqdn
涅	nqdt
