啊	aaKK
蒡	bhcf
玤	bhwf
搒	bhff
塝	bhtf
𠳐	bhke
保	bcrm
报	bcfy
包	bcbs
宝	bcby
抱	bcfb
暴	bcou
爆	bchu
薄	bccc
堡	bcrt
饱	bcub
豹	bcvu
胞	bcob
剥	bced
鲍	bcyb
褒	bcym
刨	bcbd
苞	bccb
鸨	bcbn
曝	bcou
煲	bcrh
葆	bccm
雹	bcyb
褓	bcpm
炮	bchb
龅	bcvb
孢	bczb
趵	bczu
枹	bcmb
瀑	bcdu
被	bwpp
备	bwwt
北	bwlb
背	bwbo
呗	bwkb
杯	bwmb
辈	bwfi
悲	bwfx
贝	bwkr
倍	bwrk
卑	bwpu
惫	bwwx
碑	bwuu
狈	bwqb
蓓	bwck
悖	bwxz
孛	bwuz
焙	bwhk
邶	bwbe
陂	bwep
钡	bwjb
褙	bwpo
碚	bwuk
鞴	bwgy
鐾	bwuj
鹎	bwpn
棓	bwmk
糒	bwmy
琲	bwwf
椑	bwmu
臂	bwuo
鞁	bwgp
𬇙	bwdb
本	bfma
奔	bfdc
笨	bfvb
贲	bfub
苯	bfcb
锛	bfjc
畚	bfst
犇	bfnn
坌	bfft
倴	bfrc
栟	bfmk
夯	bfdl
崩	bguo
蹦	bgzo
绷	bgso
迸	bgzk
甭	bgby
嘣	bgko
泵	bguu
镚	bgjo
甏	bgtw
琫	bgwf
祊	bgpf
蚌	bgif
比	bibb
必	bixp
毕	bibu
笔	bivm
避	bizx
闭	bimc
鼻	bizw
逼	bizt
屄	biub
臂	biuo
壁	biut
彼	birp
碧	biwu
币	bipj
陛	biet
鄙	bike
蔽	bicw
匕	bipv
毙	bibb
辟	biux
婢	binu
弊	bixc
璧	biuy
庇	bigb
敝	bixw
痹	bibw
弼	bigb
贲	biub
俾	biru
裨	bipu
薜	bicx
哔	biku
愎	bixw
吡	bikb
跸	bizu
妣	binb
篦	bivb
荜	bicu
狴	biqt
毖	bibb
蓖	bicb
嬖	biun
筚	bivu
髀	bigu
荸	bicz
濞	bidw
畀	bitw
赑	bibb
秕	bihb
箅	bivw
芘	bicb
佛	birf
襞	biuy
苾	bicb
滗	bidm
铋	bijb
庳	bigu
萆	bicu
皕	bibb
咇	bikb
舭	bivb
沘	bidb
珌	biwb
觱	biwy
诐	biyp
邲	bibe
佖	birb
馝	bihb
坒	bibt
泌	bidb
秘	bihb
鲾	biyt
边	bmzl
便	bmrg
变	bmwy
遍	bmzc
编	bmsc
辩	bmxy
鞭	bmgg
辨	bmxl
扁	bmhc
辫	bmxs
贬	bmbf
蝙	bmic
匾	bmkc
卞	bmwb
汴	bmdb
弁	bmsc
砭	bmuf
煸	bmhc
褊	bmpc
笾	bmvl
鳊	bmyc
昪	bmoc
忭	bmxb
苄	bmcb
抃	bmfb
碥	bmuc
萹	bmcc
𨚕	bmse
表	bnfy
标	bnmu
镖	bnju
彪	bnhp
飙	bnqf
婊	bnny
骠	bnmu
镳	bnjh
膘	bnou
裱	bnpy
杓	bnmu
飑	bnfb
俵	bnry
鳔	bnyu
摽	bnfu
瘭	bnbu
熛	bnhu
藨	bnch
儦	bnrh
骉	bnmm
瀌	bndh
幖	bnju
脿	bnoy
别	bpkd
憋	bpxx
瘪	bpbl
鳖	bpxy
蹩	bpxz
癿	bpbv
宾	bbbb
彬	bbmp
斌	bbwv
滨	bbdb
鬓	bbeb
缤	bbsb
镔	bbjb
濒	bbdy
槟	bbmb
殡	bbdb
膑	bbob
摈	bbfb
玢	bbwf
傧	bbrb
豳	bbuu
邠	bbfe
髌	bbgb
并	bkbk
兵	bkqb
冰	bkdu
病	bkbn
柄	bkmn
饼	bkuk
禀	bkwu
秉	bkqr
丙	bkan
炳	bkhn
槟	bkmb
摒	bkfk
屏	bkuk
邴	bkbe
昺	bkon
栟	bkmk
蛃	bkin
波	bodp
伯	borb
博	bouc
薄	bocc
脖	booz
拨	bofy
播	boft
勃	boul
玻	bowp
膊	booc
柏	bomb
搏	bofc
驳	bomx
剥	boed
泊	bodb
簸	bovp
帛	bobj
钵	bojb
跛	bozp
渤	bodl
菠	bocp
礴	bouc
孛	bouz
啵	bokp
舶	bovb
卜	bold
饽	bouz
铂	bojb
钹	bojy
箔	bovb
亳	bowq
擘	bouu
趵	bozu
檗	boum
鹁	boun
僰	bour
踣	bozk
镈	bojc
砵	boub
鲌	boyb
哱	bokz
嶓	bout
浡	bodz
馞	bohz
艴	bofb
蕃	boct
欂	bomc
袯	bopy
𬭛	bojp
不	buab
部	bule
步	buvu
布	buuj
补	bupb
怖	buxj
捕	buff
卜	buld
簿	buvc
埔	butf
哺	bukf
埠	butf
卟	bukb
堡	burt
逋	buzf
钚	bujb
晡	buof
瓿	bulw
醭	buyf
蔀	buce
埗	butu
𬷕	bufn
擦	cafu
嚓	caku
才	cdup
菜	cdcc
彩	cdcp
采	cdvm
财	cdbc
材	cdmc
猜	cdqo
蔡	cdcu
裁	cdgy
踩	cdzc
睬	cdoc
偲	cdrx
参	cjsp
残	cjdj
惨	cjxp
餐	cjdg
灿	cjhu
惭	cjxj
蚕	cjti
璨	cjwm
粲	cjdm
骖	cjmp
黪	cjlp
䅟	cjhp
藏	chci
苍	chcv
仓	chrv
舱	chvv
沧	chdv
伧	chrv
鸧	chlh
草	cccu
操	ccfm
肏	ccrr
艹	ccal
曹	ccco
嘈	ccko
糙	ccmk
槽	ccmo
漕	ccdo
屮	cckl
芔	cccc
艚	ccvo
螬	ccio
𥕢	ccuo
测	cedd
侧	cerd
册	ceka
策	cevu
厕	ceid
恻	cexd
岑	cfuv
涔	cfdv
参	cfsp
曾	cgbo
层	cguy
蹭	cgzo
噌	cgko
嶒	cguo
差	iayg
查	iamd
察	iabu
茶	iacm
插	iafj
诧	iayq
叉	iayd
岔	iafu
嚓	iaku
茬	iact
衩	iapi
碴	iaud
姹	ianq
杈	iami
搽	iafm
刹	iaxd
檫	iamu
槎	iamg
汊	iadi
镲	iaju
锸	iajj
馇	iaud
垞	iatq
侘	iarq
猹	iaqd
蹅	iazd
嵖	iaud
喳	iakd
𥻗	iamd
拆	idfi
柴	idvm
钗	idji
差	idyg
豺	idvc
侪	idrq
茝	idci
虿	idwi
瘥	idbg
产	ijwi
颤	ijwy
缠	ijsl
禅	ijpu
蝉	ijiu
搀	ijfd
铲	ijji
婵	ijnu
掺	ijfp
阐	ijmu
忏	ijxq
馋	ijud
潺	ijdz
蟾	ijik
谄	ijyj
谗	ijyd
孱	ijuz
冁	ijby
澶	ijdd
觇	ijvj
镡	ijju
羼	ijuy
廛	ijgt
巉	ijut
蒇	ijcb
韂	ijgk
躔	ijzt
刬	ijjd
浐	ijdi
襜	ijpk
瀍	ijdt
骣	ijmz
镵	ijjt
旵	ijou
啴	ijku
梴	ijmv
儳	ijrt
单	ijbu
辿	ijzu
𬊤	ijhu
长	ihpn
常	ihxj
场	ihtp
唱	ihko
厂	ihap
尝	ihxy
昌	ihoo
畅	ihup
肠	ihop
偿	ihry
敞	ihxw
怅	ihxi
倡	ihro
娼	ihno
嫦	ihnj
猖	ihqo
昶	ihyo
徜	ihrk
氅	ihxm
伥	ihri
裳	ihxy
菖	ihco
苌	ihci
阊	ihmo
鬯	ihkb
惝	ihxk
鲳	ihyo
鲿	ihyy
𬬮	ihji
超	ictk
朝	icuo
潮	icdo
吵	icku
嘲	icko
抄	icfu
炒	ichu
巢	icvg
钞	icju
晁	icov
焯	ichu
耖	iclu
怊	icxk
弨	icgk
绰	icsu
车	ieau
彻	ierd
扯	iefv
撤	iefw
澈	iedw
掣	ienu
砗	ieui
坼	ieti
尺	ieun
㬚	ieow
沉	ifdj
陈	ifed
臣	ifkl
晨	ifoi
尘	ifxt
趁	iftp
辰	ifiy
衬	ifpc
嗔	ifkb
琛	ifwm
称	ifhx
宸	ifbi
忱	ifxe
抻	iffu
碜	ifup
谌	ifyb
谶	ifyj
郴	ifme
棽	ifmv
瞋	ifob
榇	ifmm
龀	ifvb
疢	ifbh
梣	ifmv
煁	ifhb
𬘭	ifsm
成	igwv
城	igti
程	ighw
称	ighx
承	igln
诚	igyi
盛	igim
乘	igqr
撑	igfu
呈	igkw
惩	igrx
丞	igla
澄	igdb
逞	igzw
橙	igmb
骋	igmk
瞠	igot
秤	ighp
铖	igji
塍	igot
琤	igwy
裎	igpw
澂	igdw
埕	igtw
柽	igmt
蛏	igit
酲	igyw
枨	igmi
珵	igww
赪	igib
偁	igrr
宬	igbi
牚	igxy
珹	igwi
憕	igxb
庱	iggw
噌	igko
晟	igoi
铛	igje
吃	iikv
持	iifc
迟	iizi
赤	iitb
痴	iibk
池	iidy
尺	iiun
齿	iivr
斥	iijd
驰	iimy
耻	iiev
翅	iivx
哧	iiki
炽	iihv
嗤	iiki
蚩	iici
叱	iikb
弛	iigy
侈	iirx
啻	iiwk
敕	iiuw
螭	iiin
魑	iign
饬	iiul
笞	iivk
匙	iiob
踟	iizk
墀	iitn
豉	iidv
媸	iini
褫	iipj
鸱	iiun
彳	iipr
茌	iict
篪	iivj
瘛	iibx
摛	iifn
眵	iiox
傺	iiru
漦	iiwu
胣	iioy
瓻	iixw
痓	iibt
𫄨	iisj
冲	isdv
充	iswy
重	isql
虫	isvd
崇	isuu
宠	isbl
忡	isxv
憧	isxl
铳	isjy
舂	isij
艟	isvl
翀	isxv
茺	iscy
珫	iswy
漴	isdu
涌	isdy
种	ishv
㳘	isdy
摏	isfj
抽	izfy
仇	izrj
臭	izzq
丑	izvt
愁	izhx
筹	izvc
瞅	izoh
酬	izyv
绸	izsk
畴	iztc
踌	izzc
惆	izxk
稠	izhk
俦	izrc
雠	izry
瘳	izbp
犨	izrn
帱	izjc
杻	izmi
侴	izrd
椆	izmk
出	iuUU
处	iuwb
楚	iumz
除	iuem
初	iupd
触	iudi
厨	iuic
础	iuui
储	iuro
畜	iuxt
褚	iupo
搐	iuft
橱	iumc
躇	iuzo
雏	iudv
锄	iujl
矗	iuuq
杵	iumu
楮	iumo
怵	iuxu
黜	iuli
绌	iusi
蜍	iuim
刍	iude
滁	iudm
樗	iumk
蹰	iuzc
憷	iuxz
亍	iuad
俶	iury
斶	iuji
摴	iufk
䝙	iuvq
䢺	iuie
濋	iudz
琡	iuwy
𬺓	iuvz
欻	ixhq
揣	ikfe
踹	ikze
搋	ikfj
啜	ikky
传	irrv
穿	irby
船	irvk
川	irpl
喘	irke
串	irkl
钏	irji
椽	irmu
舛	irxf
遄	irze
氚	irqi
床	ilgm
窗	ilbw
创	ilrd
疮	ilbv
闯	ilmm
怆	ilxv
幢	iljl
噇	ilkl
吹	ivkq
垂	ivqt
锤	ivjt
捶	ivft
炊	ivhq
槌	ivml
陲	ivet
棰	ivmt
倕	ivrt
圌	ivke
春	iyio
纯	iyst
唇	iyik
蠢	iyii
淳	iydz
醇	iyyz
椿	iymo
鹑	iywn
莼	iyct
蝽	iyio
瑃	iywo
䲠	iyyo
堾	iyto
𬭚	iyjz
戳	ioxg
啜	ioky
龊	iovz
辍	ioiy
绰	iosu
踔	iozu
惙	ioxy
逴	iozu
此	civb
次	cidq
刺	ciud
词	ciyk
辞	ciux
慈	cibx
赐	cibw
磁	ciuy
伺	cirk
瓷	cidw
茨	cicq
雌	civv
祠	cipk
呲	cikb
疵	cibb
泚	cidb
糍	cimy
鹚	cibn
茈	cicb
跐	cizb
玼	ciwb
佽	cirq
兹	ciby
差	ciyg
莿	cicd
𫚖	civy
从	csRR
匆	csbd
聪	csex
丛	csra
葱	cscx
琮	cswu
淙	csdu
囱	cspw
骢	csmx
苁	cscr
枞	csmr
璁	cswx
熜	cshx
悰	csxu
凑	czdt
辏	czit
腠	czot
粗	cumq
促	curz
醋	cuyo
簇	cuvu
猝	cuqu
蹙	cuwz
蹴	cuzy
卒	cuwu
徂	curq
殂	cudq
蔟	cucu
窜	crbi
蹿	crzi
篡	crvs
撺	crfi
攒	crfb
汆	crru
爨	crjh
镩	crji
脆	cvov
催	cvrv
翠	cvxu
崔	cvuv
摧	cvfv
粹	cvmu
悴	cvxu
璀	cvwv
啐	cvku
萃	cvcu
瘁	cvbu
淬	cvdu
榱	cvmv
毳	cvmm
漼	cvdv
缞	cvsv
存	cyuz
村	cymc
寸	cyud
忖	cyxc
皴	cyyp
邨	cyte
错	cojo
措	cofo
挫	cofr
搓	cofg
撮	cofy
磋	coug
蹉	cozg
锉	cojr
厝	coio
矬	cour
嵯	coug
痤	cobr
鹾	cobg
脞	coor
瑳	cowg
棤	como
莝	cocr
大	daar
打	dafd
答	davk
达	dazd
搭	dafk
哒	dakd
瘩	dabk
嗒	dakk
沓	dauo
耷	dade
鞑	dagd
靼	dagd
妲	dand
褡	dapk
跶	dazd
怛	daxd
笪	davd
垯	datd
溚	dadk
炟	dahd
荙	dacd
鿎	daud
𨱏	dajk
𫟼	dajd
带	ddcj
代	ddry
待	ddrc
呆	ddkm
袋	ddry
戴	ddgg
黛	ddrh
歹	ddax
贷	ddrb
逮	ddzl
怠	ddsx
殆	dddk
岱	ddru
玳	ddwy
呔	ddkt
傣	ddru
大	ddar
迨	ddzk
绐	ddsk
叇	ddyl
埭	ddtl
骀	ddmk
轪	ddid
垈	ddrt
但	djrd
单	djbu
淡	djdh
担	djfd
弹	djgu
丹	djkd
蛋	djzi
胆	djod
旦	djoa
诞	djyv
耽	djee
惮	djxu
石	djak
眈	djoe
澹	djdk
掸	djfu
郸	djbe
殚	djdu
啖	djkh
氮	djqh
儋	djrk
聃	djer
箪	djvu
亶	djwd
疸	djbd
萏	djcj
瘅	djbu
疍	djzd
赕	djbh
憺	djxk
膻	djod
𫢸	djru
𬘘	djse
当	dhxe
党	dhxx
荡	dhcp
挡	dhfe
档	dhme
铛	dhje
裆	dhpe
宕	dhbu
砀	dhup
珰	dhwe
凼	dhku
谠	dhyx
垱	dhte
菪	dhcu
筜	dhve
𣗋	dhmx
𬍡	dhdy
到	dcgd
倒	dcrd
道	dczz
刀	dcvp
导	dcsc
岛	dcnu
盗	dcdm
叨	dckd
蹈	dczj
祷	dcpc
捣	dcfu
稻	dchj
悼	dcxu
纛	dcfx
忉	dcxd
氘	dcql
捯	dcfd
鱽	dcyd
舠	dcvd
帱	dcjc
的	deBU
地	dety
得	derc
德	derx
嘚	dekc
锝	dejc
得	dwrc
嘚	dwkc
扽	dfft
等	dgvc
灯	dghd
登	dgbb
瞪	dgob
邓	dgye
凳	dgbj
蹬	dgzb
噔	dgkb
镫	dgjb
磴	dgub
澄	dgdb
戥	dgog
嶝	dgub
璒	dgwb
地	dity
第	divd
弟	dibd
底	digu
低	diru
帝	diwj
敌	diuw
抵	difu
递	dizd
迪	dizy
滴	didg
的	diBU
蒂	dicj
狄	diqh
笛	divy
嘀	dikg
堤	ditz
邸	diue
嫡	ding
棣	diml
缔	disj
谛	diyj
涤	didm
荻	dich
娣	dind
诋	diyu
氐	diud
砥	diuu
镝	dijg
睇	diod
坻	ditu
柢	dimu
鞮	digz
羝	diyu
觌	diuj
籴	dirm
骶	digu
碲	diuj
禘	dipj
翟	dixv
踶	dizz
菂	dicu
髢	diey
玓	diwu
杕	dimd
蹢	dizg
媂	dinj
提	difz
䃅	diuu
䗖	diij
茋	dicu
𤧛	diwj
𬱖	diyy
嗲	dxkx
点	dmvh
电	dmyv
店	dmgv
殿	dmuu
典	dmqb
颠	dmuy
垫	dmft
甸	dmbt
惦	dmxv
奠	dmbd
掂	dmfv
癫	dmby
巅	dmuy
淀	dmdz
滇	dmdb
玷	dmwv
踮	dmzv
佃	dmrt
靛	dmfz
碘	dmub
钿	dmjt
簟	dmvu
癜	dmbu
坫	dmtv
阽	dmev
扂	dmhv
琔	dmwz
掉	dnfu
调	dnyk
屌	dnuj
雕	dnkv
吊	dnkj
钓	dnju
刁	dnva
叼	dnkd
貂	dnvk
凋	dndk
碉	dnuk
鲷	dnyk
铫	dnjv
铞	dnjj
窎	dnbn
汈	dndd
爹	dpfx
蝶	dpim
跌	dpzf
叠	dpyq
碟	dpum
迭	dpzf
谍	dpym
喋	dpkm
牒	dppm
堞	dptm
耋	dplt
鲽	dpym
昳	dpof
蹀	dpzm
瓞	dpgf
垤	dptt
绖	dpst
楪	dpmm
𫶇	dpuj
定	dkbz
顶	dkdy
丁	dkal
盯	dkod
订	dkyd
叮	dkkd
鼎	dkpo
钉	dkjd
锭	dkjz
町	dktd
仃	dkrd
酊	dkyd
腚	dkoz
玎	dkwd
碇	dkuz
疔	dkbd
啶	dkkz
耵	dked
萣	dkcz
丢	dqpq
铥	dqjq
动	dsyl
东	dsax
洞	dsdk
懂	dsxv
冬	dswd
董	dscv
冻	dsdd
栋	dsmd
咚	dskd
峒	dsuk
胴	dsok
侗	dsrk
恫	dsxk
鸫	dsdn
垌	dstk
硐	dsuk
氡	dsqd
胨	dsod
岽	dsud
𬟽	dsid
都	dzle
斗	dzud
抖	dzfd
豆	dzab
逗	dzzb
兜	dzpe
陡	dzez
窦	dzbd
痘	dzbb
蚪	dzid
蔸	dzce
篼	dzve
钭	dzjd
读	dzyd
度	dugy
独	duqi
毒	dufm
读	duyd
杜	dumt
肚	duot
赌	dubo
督	duuo
渡	dudy
嘟	duke
堵	duto
妒	dunh
都	dule
睹	duoo
笃	duvm
渎	dudd
镀	dujy
犊	dund
牍	dupd
蠹	dugi
黩	duld
阇	dumo
芏	duct
椟	dumd
髑	dugi
厾	duvq
𬭊	dujt
断	drvj
段	drpu
短	drub
端	drle
锻	drju
缎	drsu
煅	drhu
椴	drmu
耑	drue
簖	drvj
塅	drtu
瑖	drwu
对	dvyc
队	dver
堆	dvtv
兑	dvbx
怼	dvyx
碓	dvuv
祋	dvpu
顿	dyty
盾	dyio
蹲	dyzc
敦	dyww
沌	dydt
遁	dyzo
吨	dykt
钝	dyjt
墩	dytw
炖	dyht
盹	dyot
惇	dyxz
趸	dywz
礅	dyuw
蹾	dyzw
砘	dyut
镦	dyjw
囤	dykt
多	doxx
躲	doum
朵	dojm
夺	dodc
堕	doet
哆	dokx
跺	dozm
踱	dozy
舵	dovb
咄	doki
度	dogy
剁	dojd
铎	dojf
惰	doxo
垛	dotm
掇	dofy
哚	dokm
裰	dopy
埵	dott
饳	doui
亸	dowu
剟	doyd
驮	domd
㙍	doty
饿	eeuw
呃	eekv
恶	eeyx
额	eeby
俄	eerw
愕	eexk
鹅	eewn
噩	eewk
娥	eenw
厄	eeiv
峨	eeuw
鄂	eeke
遏	eezr
扼	eefv
鳄	eeyk
蛾	eeiw
婀	eenk
讹	eeyb
阿	eeek
锷	eejk
颚	eeky
鹗	eekn
萼	eeck
屙	eeuk
谔	eeyk
垩	eeyt
腭	eeok
欸	eesq
莪	eecw
轭	eeiv
苊	eecv
锇	eejw
崿	eeuk
姶	eenk
涐	eedw
哦	eeKW
堨	eetr
𥔲	eeuk
𫫇	eekx
嗯	enkx
恩	enyx
摁	enfx
蒽	encx
而	erAL
儿	erpv
二	eraa
尔	erdx
耳	erol
饵	erue
迩	erzx
贰	eryb
洱	erde
珥	erwe
铒	erje
鸸	eren
陑	eree
鲕	erye
咡	erke
耏	erep
发	fafy
法	fadq
罚	fasd
乏	fapv
伐	farg
阀	famg
筏	favg
砝	fauq
珐	fawq
垡	fart
反	fjiy
饭	fjuy
翻	fjcx
烦	fjhy
凡	fjjd
犯	fjqv
范	fjcv
番	fjct
繁	fjpx
返	fjzy
泛	fjdf
帆	fjjf
贩	fjby
樊	fjmd
藩	fjct
梵	fjmf
蕃	fjct
幡	fjjt
蘩	fjcx
璠	fjwt
矾	fjuf
畈	fjty
燔	fjht
钒	fjjf
氾	fjdv
蹯	fjzt
墦	fjtt
𫔍	fjjt
𬸪	fjcn
放	fhfw
房	fhhf
防	fhef
方	fhwv
仿	fhrf
芳	fhcf
访	fhyf
妨	fhnf
坊	fhtf
纺	fhsf
肪	fhof
舫	fhvf
枋	fhmf
昉	fhof
鲂	fhyf
邡	fhfe
钫	fhjf
牥	fhnf
蚄	fhif
飞	fwvd
非	fwLS
费	fwfb
菲	fwcf
废	fwgy
妃	fwnj
肥	fwob
啡	fwkf
匪	fwkf
沸	fwdf
肺	fwou
绯	fwsf
斐	fwfw
霏	fwyf
翡	fwfx
扉	fwhf
吠	fwkq
诽	fwyf
蜚	fwfi
狒	fwqf
腓	fwof
悱	fwxf
淝	fwdb
芾	fwcu
痱	fwbf
榧	fwmf
鲱	fwyf
篚	fwvf
朏	fwoi
棐	fwfm
镄	fwjb
剕	fwfd
𬴂	fwmf
分	ffbd
份	ffrf
纷	ffsf
奋	ffdt
愤	ffxb
粉	ffmf
氛	ffqf
吩	ffkf
芬	ffcf
焚	ffmh
坟	fftw
忿	fffx
粪	ffmg
汾	ffdf
玢	ffwf
酚	ffyf
棼	ffmf
偾	ffrb
鲼	ffyb
棻	ffcm
鼢	ffjf
翂	ffxf
瀵	ffdg
坋	fftf
豮	ffub
𣸣	ffdb
风	fgjx
封	fgtc
凤	fgjy
峰	fguf
疯	fgbf
锋	fgjf
枫	fgmf
丰	fgsl
奉	fgif
冯	fgdm
缝	fgsf
逢	fgzf
讽	fgyf
蜂	fgif
烽	fghf
俸	fgrf
沣	fgdf
沨	fgdf
酆	fgue
葑	fgcc
唪	fgkf
砜	fguf
赗	fgbo
浲	fgdf
崶	fguc
佛	forf
否	fzbk
缶	fzpk
服	fuoy
夫	fuer
父	fubx
复	fupw
福	fupt
府	fugc
副	fuad
负	fudb
付	furc
富	fubt
妇	fune
附	fuec
伏	furq
傅	furc
浮	fudz
扶	fuff
抚	fufw
符	fuvc
肤	fuof
腹	fuow
幅	fujt
咐	fukc
覆	fuxw
腐	fugr
弗	fugl
赴	futb
斧	fufj
俯	furc
赋	fubv
辅	fuif
芙	fucf
拂	fuff
甫	fuuy
俘	furz
缚	fusc
蝠	fuit
敷	fufw
脯	fuof
佛	furf
袱	fupq
腑	fuoc
辐	fuit
孚	fuvz
驸	fumc
釜	fufb
苻	fucc
匐	fubt
宓	fubb
阜	fulu
孵	fulz
馥	fuhw
茀	fucf
涪	fudk
茯	fucq
凫	funj
蚨	fuif
拊	fufc
蝮	fuiw
讣	fuyb
黼	fuyf
芾	fucu
趺	fuzf
怫	fuxf
氟	fuqf
蜉	fuiz
黻	fuyy
麸	fuff
绂	fusy
跗	fuzc
鲋	fuyc
罘	fusb
滏	fudb
郛	fuve
菔	fucy
桴	fumz
幞	fujf
祓	fupy
呋	fukf
绋	fusf
莩	fucz
赙	fubc
鄜	fule
芣	fucb
洑	fudq
簠	fuvm
榑	fumc
稃	fuhz
韨	fuwy
玞	fuwf
砆	fuuf
垺	futz
艴	fufb
㕮	fukf
㳇	fudf
琈	fuwz
𫓧	fujf
𫖯	fuvy
尬	gayj
嘎	gakg
伽	gark
噶	gakr
旮	gajo
咖	gakk
尕	ganx
尜	gaxx
轧	gaiv
钆	gajv
戛	gabg
该	gdyr
改	gdjw
盖	gdym
概	gdmw
丐	gdav
钙	gdjg
溉	gddw
赅	gdbr
垓	gdtr
陔	gder
戤	gdng
荄	gdcr
晐	gdor
𬮿	gdej
感	gjwx
干	gjau
敢	gjew
赶	gjtg
甘	gjca
尴	gjym
杆	gjmg
肝	gjog
竿	gjvg
橄	gjmw
赣	gjlb
秆	gjhg
柑	gjmg
擀	gjfg
玕	gjwg
淦	gjdj
泔	gjdg
矸	gjug
坩	gjtg
绀	gjsg
苷	gjcg
旰	gjog
疳	gjbg
酐	gjyg
澉	gjdw
虷	gjig
鳡	gjyx
㽏	gjdg
刚	ghkd
港	ghds
钢	ghjx
岗	ghux
冈	ghkx
缸	ghfg
纲	ghsx
罡	ghsv
杠	ghmg
肛	ghog
筻	ghvg
冮	ghdg
矼	ghug
堽	ghtv
戆	ghlx
扛	ghfg
㭎	ghmx
鿍	ghtf
高	gcwk
告	gcnk
搞	gcfk
糕	gcmh
稿	gchk
膏	gcwo
羔	gcyh
皋	gcbu
镐	gcjk
睾	gcpg
篙	gcvk
诰	gcyk
槁	gcmk
杲	gcom
缟	gcsk
锆	gcjk
郜	gcne
藁	gccm
槔	gcmu
筶	gcvk
个	geRL
哥	gekk
各	gewk
格	gemk
歌	gekq
革	gecu
隔	geeg
阁	gemk
葛	gecr
割	gebd
胳	geok
戈	geyp
搁	gefk
鸽	gern
疙	gebv
骼	gegk
嗝	gekg
硌	geuk
咯	gekk
铬	gejk
盖	geym
鬲	geal
圪	getv
蛤	geik
舸	gevk
膈	geog
虼	geiv
袼	gepk
哿	gelk
镉	gejg
仡	gerv
饹	geuk
塥	getg
滆	gedg
合	gerk
给	gwsk
跟	gfzg
根	gfmg
亘	gfad
艮	gfoy
哏	gfkg
茛	gfcg
更	ggan
耿	ggeh
哽	ggkg
耕	gglj
羹	ggyd
庚	gggr
梗	ggmg
赓	gggb
埂	ggtg
鲠	ggyg
绠	ggsg
浭	ggdg
暅	ggod
颈	ggjy
鹒	gggn
𬒔	gguo
公	gsbs
工	gsaa
功	gsgl
攻	gsgw
宫	gsbk
共	gscb
供	gsrg
恭	gsgx
弓	gsvv
贡	gsgb
躬	gsug
拱	gsfg
龚	gslg
巩	gsgf
蚣	gsig
觥	gsde
汞	gsgu
肱	gsos
珙	gswg
䢼	gsge
硔	gsug
够	gzjx
狗	gzqj
构	gzmg
勾	gzbs
购	gzbg
沟	gzdg
钩	gzjg
苟	gzcj
垢	gztk
篝	gzvr
佝	gzrj
媾	gznr
枸	gzmj
诟	gzyk
彀	gztu
缑	gzsu
遘	gzzr
鞲	gzgr
笱	gzvj
