〇	lgoo
圭	gbvo
圲	qmvo
圹	kmvo
圹	kxvo
圻	qkvo
坂	bfvo
坉	twvo
坎	kfvo
坐	zlii
坚	jmii
坛	tfvo
坝	bsvo
坟	fnvo
坨	tlvo
坫	dmvo
坬	gqvo
坳	xzvo
坶	mjvo
坷	kevo
坻	dkvo
垅	lyvo
垆	ljvo
型	xgvv
垌	dyvo
垌	tyvo
垏	llvo
垒	lwao
垓	ghvo
垙	gmvo
垙	gxvo
垛	dlvo
垟	ypvo
垢	gdvo
垦	knav
垧	epvo
垫	dmiu
垭	ysvo
垯	dsvo
垱	dpvo
垲	khvo
垴	nzvo
垸	htvo
垾	hfvo
埂	grvo
埃	xhvo
埏	efvo
埔	pjvo
埕	jrvo
埙	xwvo
埝	nmvo
域	ylvo
埠	bjvo
埪	kyvo
埫	wyvo
埭	dhvo
基	jkvi
堀	kjvo
堃	kwov
堋	brvo
堍	tjvo
堑	qmva
堙	ybvo
堠	hdvo
堡	bzio
堨	xevo
堵	djvo
堽	gpvo
堾	wtvo
塄	lrvo
塅	dtvo
塌	tsvo
塍	jruo
塑	sjou
墁	mfvo
境	jgvo
墐	jbvo
墓	mjii
墙	qxvo
墟	xlvo
墦	ffvo
墩	dwvo
壁	bkav
士	ekvo
壮	fmov
壮	fxov
壳	qcvo
壶	hjvo
壸	kwvo
壹	ykvo
夔	kbou
夕	xkua
夙	sjua
夥	hlia
夫	fjvv
夭	yzuv
央	ypia
夯	hpvu
失	ekuv
夷	ykva
夹	gsvo
奇	qkvu
奈	nhvu
奉	frvv
奖	jxov
奘	zpai
奠	dmou
奡	xzvu
奸	jmau
妃	fwau
妍	yfau
妒	djau
妗	jbau
妥	tluo
妨	fpau
妩	wjau
妫	gbau
妭	bsau
妮	nkau
妯	fdau
妾	qdov
姆	mjau
姈	lgau
姊	zkau
姒	skau
姗	efau
姚	yzau
姜	jxou
姨	ykau
姿	zkov
娀	syau
威	wwvu
娄	ldou
娅	ysau
娇	jcau
娉	pgau
娌	lkau
娑	slai
娓	wwau
娜	nsau
娟	jtau
娥	xeau
娩	mmau
娲	wsau
娶	qlvi
婉	wfau
婕	jdau
婘	qtau
婚	hwau
婞	xgau
婢	bkau
婧	jgau
婪	lfvv
婳	hqau
婴	ygao
婵	jfau
婶	enau
婷	tgau
婼	rlau
婿	xlau
媆	rtau
媒	mwau
媖	ygau
媞	tkau
媪	xzau
媲	pkau
媵	yguo
媸	wkau
嫂	szau
嫌	xmau
嫒	xhau
嫔	pbau
嫖	pcau
嫘	lwau
嫚	mfau
嫜	qpau
嫦	jpau
嫪	lzau
嫱	qxau
嫽	lcau
嬛	xtau
嬢	nxau
嬥	tcau
嬬	rjau
嬲	ncia
孓	jhai
孕	ywau
孖	msai
孜	zkai
孝	xcuo
孢	bzai
孤	gjai
孩	hhai
孪	ltov
孰	ejov
孱	cfav
孱	jfav
孺	rjai
宄	gboo
守	edoo
宍	rdoo
宕	dpoo
宛	wfoo
宛	ytoo
宜	ykoo
宠	wyoo
室	ekoo
宥	ydoo
宦	htoo
宪	xmoo
宬	jroo
宰	zhoo
宴	yfoo
宵	xcoo
宿	sjoo
宿	xqoo
寁	zfoo
寄	jkoo
寅	yboo
富	fjoo
寐	mwoo
寒	hfoo
寓	yloo
寞	mloo
寥	lcoo
寸	cwvi
寺	skvo
导	dzav
封	frvo
射	yeui
射	ykui
尅	keuo
将	qxov
尔	xjua
尜	gsiu
尝	jpio
尧	yzva
尪	wpvu
尴	gfvu
尸	ekav
尹	ybav
尺	jeav
尺	weav
尺	wkav
尾	wwav
尿	sbav
屉	tkav
屌	dcav
屑	xdav
屙	xeav
属	ejav
属	qjav
屠	tjav
屡	llav
屮	czai
岂	qkia
岔	wsuo
岗	gpia
岘	xmia
岙	xzuv
岚	lfia
岞	zlia
岣	gdia
岫	xqia
岭	lgia
岳	yhui
岷	mbia
岸	xfia
峋	xwia
峏	xjia
峒	dyia
峭	qcia
峻	jwia
崀	lpia
崂	lzia
崆	kyia
崇	wyia
崒	zjia
崤	xcia
崽	zhia
崾	yzia
嵊	eria
嵘	ryia
嵩	syia
嵯	clia
嵲	ndia
嶓	blia
嶙	lbia
嶝	dria
嶟	zwia
川	wtui
巢	jzaa
巢	wzaa
差	jhou
巯	qqao
己	jkav
巳	skav
巷	hpvi
币	bkui
市	ekov
帆	ffia
师	ekiu
希	xkuo
帐	qpia
帑	tpau
帔	pwia
帖	tdia
帛	blui
帝	dkov
帡	pgia
帧	qnia
帨	ebia
帱	dzia
帻	zeia
帽	mzia
幅	fjia
幌	hmia
幌	hxia
幔	mfia
幖	bcia
幢	fmia
幢	fxia
幢	wmia
幢	wxia
幸	xgvo
幺	yzaa
幻	htaa
幼	ydaa
庆	qgov
庇	bkov
庋	gbov
序	xlov
庥	xqov
度	dlov
庳	bwov
庵	xfov
庸	yyov
庹	tlov
廉	lmov
廊	lpov
廓	klov
廛	jfov
廷	tguv
异	ykav
弃	qkov
弄	lyvv
弊	bkou
式	ekvv
弗	fjav
弟	dkou
弦	xmav
弧	hjav
弨	jzav
弨	wzav
弪	jgav
弭	mkav
弯	wfov
彐	xhav
录	ljav
彖	ttaa
彟	hlav
彤	tyua
彩	chuo
彭	prvo
彰	qpov
彳	wkuu
彷	ppuu
役	ykuu
彼	bkuu
征	qruu
徂	cjuu
徇	xwuu
徉	ypuu
徐	xluu
徕	lhuu
徘	phuu
徙	xkuu
徜	jpuu
御	yluu
徨	hmuu
徨	hxuu
徭	yzuu
微	wwuu
徼	jcuu
徽	hbuu
忏	jfoo
忐	tfiv
忑	tevi
志	fkvo
忝	tmvv
忞	mbov
忠	fyia
忪	fyoo
忪	syoo
忱	jnoo
忳	twoo
忻	xboo
忽	hjua
忾	khoo
忿	fnuo
怂	syii
怅	jpoo
怆	wmoo
怆	wxoo
怊	jzoo
怊	wzoo
怏	ypoo
怔	qroo
怖	bjoo
怛	dsoo
怜	lmoo
思	skia
怠	dhao
怦	proo
怩	nkoo
怯	qdoo
怵	jjoo
怼	dbao
恂	xwoo
恒	hroo
恕	ejau
恚	hbvo
恤	xloo
恫	dyoo
息	xkui
恸	tyoo
悃	kwoo
悔	hboo
悖	bwoo
悛	qtoo
悟	wjoo
悠	ydii
悢	lxoo
悦	yhoo
悯	mboo
悱	fwoo
悴	cboo
悼	dzoo
惆	wdoo
惇	dwoo
惊	jgoo
惑	hlvo
惘	wpoo
惙	wloo
惚	hjoo
惛	hwoo
惜	xkoo
惝	tpoo
惟	wwoo
惠	hbvi
惦	dmoo
惧	jloo
惩	jruu
惫	bwua
惭	cfoo
惮	dfoo
惯	gtoo
惰	dloo
惶	hmoo
惶	hxoo
愆	qmuu
愈	yliv
愍	mbav
愎	bkoo
愐	mmoo
愕	xeoo
愠	ywoo
愤	fnoo
愿	ytvu
慆	tzoo
慈	ckou
慎	enoo
慑	eeoo
慧	hbvv
慷	kpoo
憎	zroo
憝	dbov
憧	fmoo
憧	fxoo
憨	hfav
懈	xdoo
懊	xzoo
懋	mzva
懒	lfoo
懔	lboo
懦	nloo
懵	mroo
戈	geva
戉	yhva
戋	jmvv
戌	xlvu
戎	ryvv
戒	jdvv
戛	gsvu
戛	jsvu
戟	jkuo
戣	kbao
戤	ghau
截	jduo
戳	wlao
戴	dhuo
房	fpoa
扁	bmoa
扁	pmoa
扂	dmoa
扃	jyoa
扇	efoa
扈	hjoa
扎	fsiu
扒	bsiu
扒	psiu
扛	gpiu
扯	jeiu
扯	weiu
扳	bfiu
扶	fjiu
扼	xeiu
抃	bmiu
抑	ykiu
抒	ejiu
抔	pdiu
投	tdiu
抠	kdiu
抢	jriu
抨	priu
抱	bziu
抵	dkiu
抹	mliu
抻	jniu
抿	mbiu
拄	qjiu
拇	mjiu
拌	pfiu
拎	lbiu
拒	jliu
拓	tliu
拓	tsiu
拗	nqiu
拗	xziu
拙	fliu
拚	pbiu
拜	bhiu
拦	lfiu
拯	qriu
拱	gyiu
拳	qtou
拶	zfiu
拶	zsiu
挈	qdvv
挖	wsiu
挝	wliu
挟	jsiu
挡	dpiu
挤	jkiu
挥	hbiu
挨	xhiu
挫	cliu
挫	zliu
振	qniu
挲	ssai
挺	tgiu
挼	rliu
捃	jwiu
捅	tyiu
捋	lliu
捕	bjiu
捞	lziu
捣	dziu
捶	wbiu
捺	nsiu
掀	xmiu
掇	dliu
授	ediu
掐	qsiu
掖	yeiu
掘	jhiu
掠	lhiu
掣	jeuv
掣	weuv
掩	yfiu
掭	tmiu
掴	ggiu
掴	gliu
掸	dfiu
掺	cfiu
掺	efiu
掼	gtiu
揄	yliu
揎	xtiu
描	mciu
揞	xfiu
揠	ysiu
揣	fbiu
揣	ttiu
揩	khiu
揪	jqiu
揲	ddiu
援	ytiu
搀	jfiu
搁	geiu
搅	jciu
搌	qfiu
搐	jjiu
搒	bpiu
搠	eliu
搢	jbiu
搦	nliu
搪	tpiu
搭	dsiu
携	xdiu
摄	eeiu
摄	ndiu
摇	yziu
摊	tfiu
摏	wyiu
摧	cbiu
摹	mlii
摽	bciu
撄	ygiu
撕	skiu
撩	lciu
撵	nmiu
撸	ljiu
撺	ctiu
撼	hfiu
擎	qgii
擐	htiu
擒	qbiu
擗	pkiu
擞	sdiu
擤	xgiu
攥	ztiu
攰	gbuo
攴	pliv
政	qrvi
敌	dkuv
敛	lmiv
敦	dwov
敬	jgii
敲	qcov
斋	fhov
斋	qhov
斐	fwiv
斑	bfvv
斓	lfov
斝	jsoo
斟	qnvi
斤	jbuu
斫	flvu
斯	skvi
斶	jjuu
旄	mzov
旅	llov
旆	pwov
旋	xtov
旎	nkov
族	zjov
旐	fzov
旐	qzov
旞	sbov
无	mlvv
旦	dfoi
旨	fkua
旬	xwua
旭	xlua
旯	lsoi
旰	gfoi
旱	hfoi
旸	ypoi
旺	wpoi
昀	ywoi
昃	zeoi
昄	bfoi
昇	eroi
昉	fpoi
昊	hzoi
昌	jpoi
易	ykoi
昔	xkvi
昕	xboi
昙	tfoi
昝	zfua
星	xgoi
映	ygoi
昣	qnoi
昧	mwoi
昨	zloi
昪	bmoi
昭	fzoi
昭	qzoi
昴	mzoi
昵	nkoi
昶	jpoa
昺	bgoi
昽	lyoi
晃	hmoi
晃	hxoi
晋	jbvi
晌	epoi
晐	ghoi
晓	xcoi
晙	jwoi
晟	jroi
晡	bjoi
晤	wjoi
晦	hboi
景	jgoi
晰	xkoi
晴	qgoi
晾	lxoi
暄	xtoi
暇	xsoi
暑	ejoi
暗	xfoi
暝	mgoi
暲	qpoi
暴	bzoi
曛	xwoi
曜	yzoi
曩	npoi
更	jgvi
曼	mfoi
月	yhuu
朏	fwuo
朐	jwuu
朓	tcuu
朔	elou
期	qkvi
朦	mrui
木	mjvv
术	ejvo
朳	bsvu
朴	plvi
杄	qmvu
杆	gfvv
杉	efvu
李	lkva
杓	ezvu
杖	qpvv
杜	djvv
束	ejvi
杧	mpvo
杩	msva
杲	gzoi
杳	yzvo
杷	psva
杼	qjva
板	bfvu
极	jkvu
枉	wpvv
枋	fpvo
析	xkvu
枕	qnvo
枚	mwvu
果	glia
枝	fkvu
枞	cyvi
枢	ejvv
枣	zzvi
枫	frvu
枭	xcua
枯	kjvu
枰	pgvv
枷	jsva
枸	gdvu
枸	jlvu
枹	bzvu
柈	pfvo
柏	bhvu
柏	blvu
柖	ezva
柘	fevv
柘	qevv
柜	gbvv
柞	zlvu
柬	jmvi
柯	kevv
柰	nhvv
柱	qjvo
柴	jhiv
栅	cevu
栅	fsvu
栋	dyvv
栌	ljvi
栎	yhvu
栐	yyvo
栒	xwvu
栖	xkvv
栝	gqvu
栟	bnvo
校	jcvo
栩	xlva
株	qjvu
栳	lzvu
栴	qfvu
格	gevu
栽	zhuo
桀	jdua
桁	hrvu
桃	tzvu
桉	xfvo
桎	fkvv
桐	tyvi
桔	jlvv
桠	ysvv
桧	gbvi
桫	slva
桷	jhvu
梃	tgvu
梏	gjvu
梗	grvv
梢	szvi
梣	jnvi
梨	lkuv
梯	tkvo
械	xdvv
梴	jfvu
梾	lhvv
棁	flvo
棂	lgva
棋	qkvv
棒	bpvv
棠	tpio
棣	dkva
棣	tkva
棤	qhvv
棬	qtvo
棰	wbvu
棵	kevi
棹	flvi
棹	fzvi
棹	qzvi
椁	glvo
椆	wdvu
椋	lxvo
椎	fbvi
椎	wbvi
椒	jcvi
椟	djvu
椤	llvi
椰	yevv
椹	envv
楂	fsvv
楂	wsvv
楗	jmva
楚	jjvv
楞	lrvi
楣	mwva
楦	xtvo
楪	ddvv
楱	cdvv
楸	qqvu
榀	pbvo
榃	tfvv
榄	lfvi
榅	wnvo
榉	jlvo
榔	lpvo
榕	ryvo
榜	bpvo
榧	fwvv
榨	fsvo
榱	cbvo
榷	qhvo
槃	pfuu
槔	gzvu
槜	zbvi
槟	bbvo
槟	bgvo
槭	sevv
槱	ydvv
槲	hjvu
槽	czvv
樊	ffvu
樟	qpvo
模	mjvi
模	mlvi
樨	xkva
樯	qxvu
樱	ygva
橄	gfva
橇	qcvu
橐	tlvi
橑	lcvv
橘	jlva
橙	jrva
橛	jhvv
檞	jdvu
檫	wsvo
欠	qmua
欢	htao
欤	ylva
欲	yluo
欸	xhao
欸	xwao
歃	esuv
歇	xdoi
歉	qmou
止	fkiv
武	wjvv
歧	qkiv
歹	dhvu
歼	jmvu
殁	mlvu
殃	ypvu
殄	tmvu
殇	epvu
殊	ejvu
殍	pcvu
殒	ywvu
殓	lmvu
殡	bbvu
殣	jbvu
殳	ejua
殴	xdvu
殷	ybuu
毋	wjaa
毙	bkva
毡	qfuv
毫	hzov
毳	cbuv
毳	qcuv
毵	sfao
氆	pjuv
氇	ljuv
氓	mpov
氓	mrov
氙	xmuv
氚	wtuv
氢	qguv
氤	ybuv
氩	ysuv
氮	dfuv
氲	ywuv
水	ebaa
氽	twia
氾	ffaa
汁	fkau
汆	ctuo
汈	dcaa
汊	wsaa
汋	flau
汔	qkau
汕	efai
池	wkaa
污	wjav
汩	gjao
汰	thav
汶	mnao
汶	wnao
汾	fnau
沈	enao
沌	twav
沐	mjav
沓	dsao
沛	pwav
沟	gdau
沣	frav
沦	lwai
沨	frau
沩	wwao
沪	hjao
沫	mlav
沮	jlai
沱	tlao
沲	dlau
沲	tlau
沸	fwaa
油	ydai
沺	tmai
沼	fzaa
沼	qzaa
沽	gjau
沾	qfai
泃	jlau
泇	jsaa
泊	blau
泌	bkao
泌	mkao
泓	hyaa
泔	gfav
泖	mzau
泗	skai
泙	prav
泚	ckai
泣	qkao
泮	pfao
泰	thvv
泳	yyao
泵	brvu
泷	emav
泷	exav
泷	lyav
泸	ljai
泻	xdao
泼	plaa
泾	jgaa
洁	jdav
洄	hbai
洌	ldav
洓	seav
洗	xkau
洘	kzau
洚	jxau
洛	llau
洢	ykai
洨	xcao
洭	kmav
洭	kxav
洴	pgao
洵	xwau
洸	gmai
洸	gxai
洹	htav
洺	mgau
洼	wsav
浃	jsav
浅	qmav
浇	jcav
浈	qnai
浉	ekai
济	jkao
浏	lqao
浑	hwao
浒	xlao
浜	bpau
浞	flao
浭	grav
浮	fjau
浴	ylau
浸	jbaa
涄	pgai
涌	yyaa
涑	sjav
涓	jtao
涛	tzav
涝	lzai
涞	lhav
涟	lmav
涢	ywao
涣	htau
涤	dkau
涫	gtao
涴	wfao
涵	hfaa
涸	heai
涿	flav
淀	dmao
淄	zkaa
淆	xcau
淌	jpai
淌	tpai
淖	flai
淖	wlai
淠	pkai
淠	pwai
淡	dfao
淦	gfai
淫	ybau
淬	cbao
淳	jwao
淳	qwao
淴	hjau
淹	yfav
淼	mcaa
渊	ytau
渍	zkav
渐	jmav
渑	erao
渑	mmao
渗	enaa
渚	qjau
渟	tgao
渠	qlav
渣	fsav
渰	yfai
渴	heao
游	ydao
渺	mcai
渼	mwao
湃	phai
湄	mwaa
湉	tmao
湎	mmav
湘	xxav
湛	qfav
湟	hmau
湟	hxau
湫	qqau
湴	bfao
湿	ekao
溅	jmaa
溇	ldao
溉	ghaa
溍	jbav
溏	tpao
源	ytav
溘	keav
溚	dsai
溜	lqau
溠	fsao
溥	pjav
溯	sjao
溱	qbav
溱	qnav
溴	xqau
溷	hwai
溹	slau
溺	ncaa
溺	nkaa
溻	tsao
滆	geav
滇	dmau
滉	hmao
滉	hxao
滋	zkao
滔	tzau
滘	jcao
滞	fkav
滠	eeav
滢	ygai
滤	llai
滧	yzao
滩	tfaa
滫	xqai
滹	hjai
漆	qkav
漋	lyaa
漓	lkao
演	yfao
漤	lfav
漦	wkvv
漩	xtao
漯	tsai
漴	wyai
漶	htai
漷	hlao
漼	cbai
漾	ypao
潇	xcai
潋	lmai
潢	hmav
潢	hxav
潦	lcav
潦	lzav
潭	tfav
潵	sfav
潸	efav
潺	jfaa
潼	tyao
潾	lbao
澄	draa
澄	jraa
澛	ljau
澜	lfao
澧	lkai
澪	lgav
澶	jfao
澹	dfau
澹	tfau
激	jkau
濂	lmao
濋	jjav
濒	bbai
濛	mrai
濠	hzao
濡	rjav
濩	hlai
濮	pjai
濯	flaa
瀌	bcao
瀑	bzao
瀑	pjao
瀚	hfau
瀣	xdai
瀵	fnao
瀹	yhai
灈	qlai
灌	gtai
灞	bsav
灶	zzou
灸	jqua
灼	flou
灿	cfou
炅	jyoi
炌	khou
炔	gbou
炔	qhou
炖	dwou
炘	xbou
炣	keou
炫	xtou
炬	jlou
炭	tfia
炯	jyou
炳	bgou
炼	lmou
烃	tgou
烔	tyou
烘	hyou
烙	lzou
烛	qjou
烟	yfou
烩	hbou
烫	tpaa
烬	jbou
烷	wfou
烺	lpou
烽	frou
焊	hfou
焌	qlou
焕	htou
焖	mnou
焘	dzvv
焘	tzvv
焙	bwou
焚	fnvv
焜	kwou
焞	twou
煅	dtou
煋	xgou
煌	hmou
煌	hxou
煜	ylou
煞	esua
煤	mwou
煨	wwou
煮	qjuo
煴	ywou
煸	bmou
煺	tbou
煽	efou
熇	heou
熏	xwuv
熘	lqou
熛	bcou
熜	cyou
熨	ywav
熳	mfou
熵	epou
熹	xkvo
燎	lcou
燔	ffou
爆	bzou
爚	yhou
爟	gtou
爨	ctui
爪	fzuu
爪	qzuu
爰	ytuo
爵	jhuo
父	fjuo
爸	bsuo
爹	dduo
爿	pfai
牁	keai
牍	djui
牒	ddui
牖	ydui
牝	pbuv
牟	mjao
牥	fpuv
牦	mzuv
牻	mpuv
犀	xkav
犇	bnuv
犏	pmuv
犒	kzuv
犬	qtvu
犴	hfua
犴	xfua
犷	gmua
犷	gxua
狁	ywua
狄	dkua
狍	pzua
狎	xsua
狒	fwua
狙	jlua
狨	ryua
狩	edua
狮	ekua
狯	kgua
狰	qrua
狱	ylua
狲	swua
狸	lkua
猊	nkua
猕	mkua
猖	jpua
猜	chua
猝	cjua
猞	eeua
猡	llua
猩	xgua
猪	qjua
猫	mzua
献	xmuo
猰	ysua
猱	nzua
猷	ydou
猸	mwua
猹	fsua
猿	ytua
獐	qpua
獗	jhua
獴	mrua
獾	htua
玉	ylvv
玎	dgvv
玒	hyvv
玓	dkvv
玖	jqvv
玚	jpvv
玛	msvv
玟	wnvv
玢	bbvv
玥	yhvv
玩	wfvv
玫	mwvv
玭	pbvv
环	htvv
玱	qxvv
玲	lgvv
玳	dhvv
玷	dmvv
玼	ckvv
玿	ezvv
珀	plvv
珈	jsvv
珉	mbvv
珍	qnvv
珖	gmvv
珖	gxvv
珙	gyvv
珞	llvv
珠	qjvv
珢	ybvv
珣	xwvv
珦	xxvv
珧	yzvv
珩	hpvv
珫	wyvv
珰	dpvv
珲	hwvv
珽	tgvv
琇	xqvv
琉	lqvv
琏	lmvv
琐	slvv
琛	jnvv
琢	flvv
琢	zlvv
琤	jrvv
琨	kwvv
琫	brvv
琮	cyvv
琲	bwvv
琴	qbvv
琵	pkvv
瑁	mzvv
瑄	xtvv
瑅	tkvv
瑑	ftvv
瑔	qtvv
瑕	xsvv
瑖	dtvv
瑙	nzvv
瑚	hjvv
瑛	ygvv
瑭	tpvv
瑳	clvv
瑷	xhvv
瑾	jbvv
璃	lkvv
璆	qqvv
璒	drvv
璘	lbvv
璜	hmvv
璜	hxvv
璞	pjvv
璠	ffvv
璩	qlvv
璪	zzvv
璬	jcvv
璲	sbvv
璺	wnui
瓀	rtvv
瓒	zfvv
瓘	gtvv
