的	dbui
计	jyoa
带	djei
认	ryoa
社	snoa
交	jwoe
深	sdoo
言	ydoe
华	hsui
往	wcuu
吧	bkia
斯	sqei
题	tyia
保	brui
似	srui
南	neei
完	wgoo
林	lmei
员	ykia
书	szaa
许	xyoa
决	jdoe
务	wwua
武	wnee
干	gvee
形	xpee
反	fyuu
衣	ydoe
元	yvee
剑	jluo
物	wnue
龙	lheu
呢	nkia
条	twua
它	tgoo
重	zvue
义	ydou
青	qhee
区	qkeu
若	reei
车	chea
容	rxoo
程	chue
北	bsie
统	tjaa
服	fvua
红	hjaa
求	qhei
量	lqia
跟	gzia
落	lcei
济	jdoo
满	mdoo
告	gnue
李	lmei
拉	lfei
惊	jloo
娘	nnau
即	jgae
吃	ckia
黑	hsia
尔	vxua
空	kxoo
军	jgoa
传	crui
找	zfei
石	sheu
极	jmei
远	ylee
早	zqia
取	qvei
领	lyuo
息	xzui
玉	ywee
则	zbia
微	wcuu
且	qiia
改	gjae
流	ldoo
战	zgie
办	blau
令	lruo
半	bdou
离	lwoe
虽	skia
据	jfei
收	swai
资	zboe
请	qyoa
百	bheu
字	zgoo
火	hdou
基	jqei
失	spue
倒	drui
怕	pooo
房	fhoa
弟	dbou
式	sgee
论	lyoa
象	xdua
紧	jxii
奇	qdeu
竟	jyoe
科	khue
克	ksei
候	hrui
达	dleu
影	ypia
势	slei
持	cfei
杀	smuo
德	dcuu
议	yyoa
视	snoa
绝	jjaa
音	ydoe
术	smei
伤	srui
或	hhei
期	qqei
突	txoo
男	ntia
士	stei
司	skae
坐	ztuo
每	mmue
众	zruo
随	svai
设	syoa
院	yvai
喜	xtei
父	fpuo
委	whue
急	jxua
代	drui
语	yyoa
刻	kloe
切	qdea
暗	viia
兄	xkia
掌	zsio
党	dvio
客	kgoo
农	nooa
城	ctei
技	jfei
刚	glia
哥	gkei
怪	gloo
友	yyeu
界	jtia
品	piia
乎	hpuo
根	gmei
精	jmou
八	bpuo
首	sbou
举	jxoo
罗	lzia
姑	gnau
识	syoa
共	gbei
苦	kcei
队	dvai
组	zjaa
运	ylee
敢	gwae
企	qruo
格	gmei
治	zdoo
府	fgoe
京	jwoe
谈	tyoa
尽	jsae
孩	hzai
台	tsao
际	jvai
答	dpue
单	dbou
照	zlia
千	qsue
确	qseu
断	djou
足	zsia
示	shee
整	znei
图	tkia
留	ltua
片	puui
始	snau
布	bjeu
铁	tjue
香	xhue
般	bzuu
晚	wiia
准	zdoe
集	jzui
七	qhea
刀	dzau
待	dcuu
忽	hxua
英	ycei
导	djae
宝	bgoo
错	cjue
帮	bjee
行	hcuu
联	lvei
阿	vaai
兴	xxoo
约	yjaa
沉	cdoo
夜	ywoe
曾	cbou
低	drui
仍	rrui
招	zfei
消	xdoo
欢	hyao
忙	mloo
观	gyao
易	yqia
害	hgoo
志	ztei
功	ggei
规	gjee
提	tfei
越	yzei
九	jpua
哪	nkia
送	slou
站	zloe
久	jpua
周	zkua
阳	yvai
复	fwue
局	jsae
施	sfoe
拿	nruo
愿	yxeu
母	mzaa
甚	sqei
爷	yfuo
阵	zvai
备	bwua
项	xgei
广	gcoe
群	qyae
终	zjaa
姐	jnau
啊	vkia
应	ygoe
商	swoe
增	ztei
底	dgoe
团	tkia
巴	bzai
钱	qjue
故	gwei
血	xpui
热	rlei
念	nxuo
黄	hbei
查	cmei
响	xkia
静	jqee
闻	wmoi
脚	jvua
支	zsei
星	xqia
模	mmei
究	jxoo
造	zlue
包	bbua
护	hfei
楚	cyei
亚	yyei
酒	jdoo
乐	lxua
段	dsui
注	zdoo
依	yrui
六	lwoe
句	jbua
除	caai
希	xjuo
况	kdoe
喝	hkia
证	zyoa
显	xqia
须	xpuu
严	ycei
破	peeu
古	gsei
左	zgeu
村	cmei
省	smiu
费	fbae
怀	hloo
线	xaaa
摇	yfei
存	czeu
诉	syoa
痛	tboe
装	zyoe
另	lkia
类	lmou
汉	hdoo
居	jsae
具	jbia
哈	hkia
灵	lxae
标	bmei
硬	yseu
冲	cdoe
击	jvee
挺	tfei
雷	lveo
纪	jjaa
选	xlue
需	xveo
既	jgae
毒	dmee
参	csao
权	qmei
环	hwee
专	zvee
呼	hkia
谢	xyoa
雪	xveo
派	pdoo
尚	sxio
退	tlae
优	yrui
银	yjue
否	fkeu
兰	lbou
器	qkia
兵	bbui
追	zlui
细	xjaa
木	mhei
异	yjae
续	xjaa
湖	hdoo
赞	zbue
级	jjaa
停	trui
树	smei
争	zdua
背	bvie
乱	lsue
育	ywoe
怒	nxau
君	jkae
革	ghei
右	ykeu
独	dqua
节	jcei
旁	pwoe
够	gbua
莫	mcei
敌	dwue
止	zsie
疑	yyua
宫	ggoo
席	xgoe
态	txeu
构	gmei
穿	cxoo
闪	smoi
调	dyoa
效	xwoe
病	bboe
妹	mnau
赶	gzei
摩	msoe
露	lveo
料	lmou
救	jwei
责	zbee
历	lceu
顾	gyeu
嘴	zkia
速	slei
较	jcea
陈	cvai
副	flei
维	waaa
境	jtei
缓	hjaa
称	chue
史	skia
楼	lmei
药	ycei
致	zwea
讲	jyoa
负	fdua
抓	zfei
差	cyou
型	xtee
采	czuo
继	jjaa
助	zlia
威	wgeu
吉	jtei
值	zrui
妈	mnau
寒	hgoo
丽	lhei
室	sgoo
角	jpua
顶	dyei
亮	lwoe
医	ykeu
号	hkia
雨	yhei
温	wdoo
杨	ymei
烈	lleu
案	vmoo
职	zvei
假	jrui
梦	mxei
游	ydoo
户	hdoa
扬	yfei
河	hdoo
陪	pvai
齐	qwoe
忍	rxau
初	cnoa
礼	lnoa
价	jrui
斗	ddoo
族	zfoe
您	nxui
索	ssei
圣	syao
眉	mmai
座	zgoe
余	yruo
鬼	gpui
禁	jsei
睛	jmia
险	xvai
涉	sdoo
围	wkia
承	czai
胜	svua
修	xrui
创	cluo
协	xsei
慢	mloo
写	xgoa
划	hgea
激	jdoo
私	shue
列	ldeu
堂	ttio
春	cqee
咱	zkia
秋	qhue
胡	hvei
叹	tkia
播	bfei
妇	fnau
耳	vhei
脑	nvua
仅	jrui
简	jpue
县	xsia
织	zjaa
份	frui
仙	xrui
唐	tgoe
换	hfei
防	fvai
赛	sboo
肯	knie
船	czuu
考	ktei
挥	hfei
网	wkia
庄	zgoe
呀	ykia
朱	zpue
善	syou
素	sxee
阴	yvai
尼	nsae
益	ybou
瞧	qmia
州	zdou
充	cwoe
岁	ssia
睡	smia
福	fnoa
皮	paau
层	csae
炸	zhou
波	bdoo
跳	tzia
忘	wxoe
遇	ylia
刘	lwoe
担	dfei
习	xdao
掉	dfei
柔	rmao
营	ycei
贵	gbia
土	thei
隐	yvai
置	zzia
良	lgoa
跑	pzia
伯	brui
排	pfei
屋	wsae
脱	tvua
块	ktei
孙	szai
渡	ddoo
律	lcuu
亦	ywoe
震	zveo
幸	xtei
供	grui
狂	kqua
策	cpue
画	hhei
按	vfei
卫	wvai
逃	tluo
察	cgoo
景	jqia
寻	xxae
积	jhue
涌	ydoo
猛	mqua
草	ccei
佛	frui
股	gvua
叶	ykia
秀	xhue
访	fyoa
魔	mgoe
啦	lkia
乡	xzaa
辈	bcie
散	swei
守	sgoo
范	fcei
松	smei
免	mdua
属	ssae
虎	hhie
恐	kxei
养	ybou
伸	srui
警	jyei
婚	hnau
艺	ycei
厉	lceu
凌	ldoe
执	zfei
皇	hbui
毛	mpue
验	ymaa
富	fgoo
状	zzoe
攻	ggei
某	mcei
迎	ylua
练	ljaa
食	spuo
源	ydoo
顺	syui
适	slue
玩	wwee
田	tsia
镇	zjue
翻	fvuo
罪	zzia
困	kkia
欲	yquo
苏	scei
章	zyoe
恨	hloo
毫	hwoe
央	ydia
米	mdou
泪	ldoo
醒	xyei
靠	knue
略	ltia
饭	fsua
端	dloe
床	cgoe
味	wkia
雄	xzeu
讨	tyoa
燕	ylei
批	pfei
渐	jdoo
顿	dyea
冰	bdoe
刺	clei
获	hcei
付	frui
宣	xgoo
姓	xnau
替	tqee
探	tfei
球	qwee
配	pyei
凤	fjua
徐	xcuu
归	gxiu
港	gdoo
恩	vxia
欧	vqeu
射	ssui
宁	ngoo
店	dgoe
演	ydoo
迷	mlou
钟	zjue
珠	zwee
普	pbou
梅	mmei
征	zcuu
洞	ddoo
赵	zzei
临	lsii
胸	xvua
吸	xkia
财	cbia
限	xvai
舞	wpue
印	yvua
买	mdao
凡	fjua
班	bwee
拍	pfei
检	jmei
握	wfei
献	xqei
压	yceu
尊	zcou
虚	xhie
婆	pnoo
劳	llei
推	tfei
短	dsue
超	czei
妻	qnea
稳	whue
伙	hrui
康	kgoe
移	yhue
劲	jlao
卡	kbie
朝	cvei
藏	ccei
调	tyoa
恶	vxei
校	xmei
率	lwoe
秘	mhue
弄	nwee
陆	lvai
徒	tcuu
封	fcei
奔	bdeu
厅	tceu
哭	kqia
祖	znoa
板	bmei
烟	yhou
互	hhea
序	xgoe
谷	gkuo
蓝	lcei
败	bbia
默	mhia
均	jtei
预	yyao
园	ykia
软	rcea
控	kfei
仇	crui
妙	mnau
窗	cxoo
野	ylia
占	zbie
夏	xweu
骨	gsia
邪	xvea
试	syoa
盘	pzuu
污	wdoo
杰	jmei
避	blae
肩	jhoa
抬	tfei
坏	htei
紫	zxie
休	xrui
讯	xyoa
监	jmii
束	shei
午	wpue
蒙	msei
词	cyoa
曰	yqia
犯	fqua
读	dyoa
乃	nzau
纳	njaa
例	lrui
登	ddao
含	hruo
沈	sdoo
浪	ldoo
研	yseu
宽	kgoo
柳	lmei
亿	yrui
笔	bpue
智	zque
罢	bzia
绿	ljaa
厂	cheu
韩	hwei
肉	rkia
坚	jtii
巨	jkea
雅	yzea
馆	gsua
伊	yrui
杜	dmei
吴	wkia
套	tdeu
灯	dhou
丹	dkua
剧	jlae
萧	xcei
帝	dwoe
麻	mdoe
透	tlue
巧	qgei
晓	xqia
街	jcuu
桌	zbie
姊	znau
牙	yhea
毕	bbea
泽	zdoo
杯	bmei
摆	bfei
评	pyoa
拜	bsue
曲	qqia
奥	vdui
油	ydoo
偷	trui
杂	zmua
朝	zvei
介	jruo
纵	zjaa
洲	zdoo
牛	npue
卖	msei
凝	ndoe
输	scea
健	jrui
荣	rmei
述	slei
域	ytei
款	kqei
概	gmei
宇	ygoo
彩	cpuo
臂	bvae
歌	gqei
旧	jqii
秦	qhee
偏	prui
测	cdoo
侠	xrui
迟	clae
爹	dfuo
诗	syoa
针	zjue
版	bpui
鱼	ypua
烦	fhou
贝	bsia
愈	yxuo
丁	dhei
尖	jxiu
魂	hgee
懂	dloo
升	snue
峰	fsia
惜	xloo
转	zcea
童	tloe
弱	rgae
敬	jwei
抗	kfei
丝	shaa
戏	xyao
宗	zgoo
吓	xkia
误	wyoa
促	crui
遭	zlei
郎	lvoa
诸	zyoa
尤	yyeu
挑	tfei
牌	ppui
洛	ldoo
盛	smeu
借	jrui
熟	sloe
庭	tgoe
娇	jnau
锋	fjue
喊	hkia
架	jmau
横	hmei
侧	crui
唇	cceu
豪	hwoe
努	nlau
编	bjaa
判	plou
盖	gyou
贫	pbuo
拳	qsou
抢	qfei
络	ljaa
闭	bmoi
贸	mbua
孤	gzai
虑	lhie
拥	yfei
悲	bxie
爸	bfuo
疾	jboe
训	xyoa
额	vyoo
销	xjue
迹	jloe
冒	mqia
玄	xwoe
哼	hkia
岂	qsia
怜	lloo
狠	hqua
鲜	xvua
伟	wrui
叔	syie
胆	dvua
迫	plui
折	zfei
腰	yvua
残	cdeu
抽	cfei
娜	nnau
骂	mmia
凶	xkuo
摸	mfei
飘	pfei
墙	qtei
轮	lcea
扑	pfei
阶	jvai
茶	ccei
趣	qzei
洋	ydoo
舍	sruo
操	cfei
腿	tvua
厚	hceu
闹	nmoi
塞	stoo
诺	nyoa
减	jdoe
氏	spua
纸	zjaa
础	cseu
碰	pseu
释	spuo
森	smei
材	cmei
朋	pvua
培	ptei
圆	ykia
唯	wkia
缺	qfue
届	jsae
遍	bloa
伦	lrui
竹	zpue
货	hbui
混	hdoo
孔	kaai
奋	fdeu
庆	qgoe
奶	nnau
遗	ylia
仲	zrui
枪	qmei
勒	lgei
映	yqia
洪	hdoo
鼓	gtei
谓	wyoa
鲁	lvua
跃	yzia
质	zbuu
舒	sruo
穴	xdoo
颜	yyoe
孟	mzai
税	shue
搞	gfei
挂	gfei
壁	btae
夺	ddeu
菜	ccei
贼	zbia
逼	blei
慕	mxei
妖	ynau
宋	sgoo
允	ysao
旅	lfoe
审	sgoo
绍	sjaa
补	bnoa
伏	frui
俊	jrui
扶	ffei
迅	xlae
勇	ylao
附	fvai
朗	lvoa
仿	frui
途	tluo
狗	gqua
骑	qmaa
昨	zqia
暴	bqia
乌	wpua
瞪	dmia
亡	wwoe
固	gkia
诚	cyoa
盟	mmia
滚	gdoo
咬	ykia
吻	wkia
融	rcei
岛	dsua
博	bsei
吟	ykia
库	kgoe
措	cfei
弃	qwoe
卷	jbou
珍	zwee
煮	zlei
累	ltia
袋	dyui
乔	qpue
聚	jvei
票	pxei
稍	shue
惨	cloo
丰	fvee
恶	wxei
犹	yqua
烧	shou
录	lxae
饿	vsua
嘛	mkia
塔	ttei
幽	ysia
择	zfei
悄	qloo
逐	zleu
俄	vrui
斜	xduo
缘	yjaa
踪	zzia
皆	jbea
予	yzao
佳	jrui
闲	xmoi
凭	pjui
泄	xdoo
郭	gvoe
触	cjua
乘	cpue
貌	mzuo
昏	hqua
督	dmie
佩	prui
奖	jdoe
纯	cjaa
阻	zvai
扎	zfei
径	jcuu
振	zfei
奉	fvee
伴	brui
餐	csie
芳	fcei
尺	csae
竞	jloe
韦	whee
扩	kfei
邓	dyao
瓦	whea
篡	cpue
萨	scei
躲	dsui
皱	zpua
抵	dfei
核	hmei
隔	gvai
撞	zfei
尘	cxiu
捕	bfei
瑞	rwee
泰	tsee
谋	myoa
羽	yzao
欣	xjuu
宜	ygoo
幕	mjei
鼻	bpui
甘	gcei
仰	yrui
怨	yxua
损	sfei
码	mseu
括	kfei
尸	szae
仁	rrui
灰	hheu
吐	tkia
赏	sbio
吹	ckia
扫	sfei
湾	wdoo
阁	gmoi
符	fpue
垂	cvue
忠	zxia
抖	dfei
忧	yloo
坦	ttei
唱	ckia
贴	tbia
延	ylui
壮	zzoe
梁	lmoo
郑	zvou
析	xmei
碎	sseu
投	tfei
僧	srui
荡	dcei
箭	jpue
俱	jrui
灭	mheo
旋	xfoe
苍	ccei
傲	vrui
爵	jzuo
彼	bcuu
戴	dgei
净	jdoe
距	jzia
贯	gmaa
腾	tvua
缩	sjaa
吕	lkia
呵	hkia
匆	cbua
灾	zgoo
汗	hdoo
拒	jfei
侯	hrui
陵	lvai
季	jhue
糊	hmou
典	dbia
袭	xleu
敏	mwue
召	zdau
丢	dsue
猜	cqua
授	sfei
插	cfei
凉	ldoe
泛	fdoo
穷	qxoo
莲	lcei
疯	fboe
享	xwoe
粮	lmou
祝	znoa
绕	rjaa
颗	kyia
赤	chei
蒂	dcei
旗	qfoe
粗	cmou
奈	ndeu
匹	pkeu
骗	pmaa
彻	ccuu
番	ftuo
莱	lcei
嫁	jnau
臣	ckei
醉	zyei
蛋	dyai
呆	dkia
堡	btui
桥	qmei
凯	kjia
掩	yfei
拼	pfei
惯	gloo
蛇	scia
篇	ppue
曼	mqia
愤	floo
纷	fjaa
抚	ffei
沿	ydoo
启	qhoa
哦	vkia
朵	djua
霍	hveo
冬	dwua
荒	hcei
枝	zmei
侍	srui
恋	lxoe
伍	wrui
赫	hcei
陷	xvai
睁	zmia
桑	smao
耐	nceu
仪	yrui
镜	jjue
惑	hxei
忆	yloo
申	sqia
黎	lsue
衫	snoa
鸟	npua
洗	xdoo
慌	hloo
浓	ndoo
违	wlee
堆	dtei
辞	csue
嘿	hkia
鹰	ygoe
页	yheu
麦	mwee
椅	ymei
袖	xnoa
航	hzuu
亏	kvee
拦	lfei
粉	fmou
钢	gjue
悉	xxuo
恢	hloo
薄	bcei
永	ydoa
艾	vcei
潜	qdoo
眸	mmia
逸	ylua
暂	zqea
踏	tzia
洁	jdoo
慧	hxee
盯	dmia
刊	klee
购	gbia
颇	ppau
傅	frui
潮	cdoo
截	jzei
浩	hdoo
玛	mwee
倾	qrui
挡	dfei
载	zcei
帐	zjia
课	kyoa
鸡	jyao
吼	hkia
琴	qwee
躺	tsui
拖	tfei
锦	jjue
晃	hqia
浮	fdoo
欺	qqei
唤	hkia
聪	cvei
莉	lcei
签	qpue
殿	dsae
埃	vtei
染	rmoo
仔	zrui
裂	lyeu
绪	xjaa
降	jvai
翼	yvao
幻	hzaa
驻	zmaa
悔	hloo
描	mfei
键	jjue
池	cdoo
妮	nnau
售	szui
疼	tboe
翠	cvao
哀	vwoe
澳	vdoo
鹏	pnua
狼	lqua
赌	dbia
密	msoo
屈	qsae
勾	gbua
幅	fjia
霞	xveo
愁	cxue
宾	bgoo
厌	yceu
旦	dqia
毁	hsui
寺	stei
障	zvai
忌	jjae
奴	nnau
晨	cqia
埋	mtei
羞	xyou
汤	tdoo
董	dcei
末	mvee
询	xyoa
卓	zbie
喃	nkia
汽	qdoo
迪	dlia
岳	ysui
递	dlou
慰	wxae
锁	sjue
剩	slue
繁	fxue
筑	zpue
劝	qyao
饮	ysua
姆	mnau
冠	ggoa
雾	wveo
岗	gsia
闷	mmoi
俗	srui
戒	jgee
淡	ddoo
汇	hdoo
瘦	sboe
缠	cjaa
隆	lvai
辉	hxio
漫	mdoo
赖	lbei
痴	cboe
俩	lrui
滑	hdoo
漠	mdoo
摄	sfei
丧	ssei
牢	lgoo
娃	wnau
扯	cfei
惧	jloo
霸	bveo
宏	hgoo
肃	sxae
霜	sveo
唉	vkia
跌	dzia
焦	jzui
跨	kzia
弹	tgae
尾	wsae
疗	lboe
抱	bfei
葛	gcei
甜	tsue
寂	jgoo
恰	qloo
甲	jqia
傻	srui
卢	lbie
浑	hdoo
祥	xnoa
兼	jbou
恭	gxei
邦	bvee
姿	znoe
恼	nloo
肚	dvua
盈	ymau
廷	tlue
盗	dmoe
鸣	mkia
沙	sdoo
磨	msoe
芒	mcei
涛	tdoo
柏	bmei
劫	jlei
捉	zfei
勤	qlei
津	jdoo
订	dyoa
返	fluu
泥	ndoo
仆	prui
废	fgoe
乖	gpue
泉	qbui
艳	yvee
暖	nqia
溜	ldoo
挣	zfei
琳	lwee
漂	pdoo
悦	yloo
啸	xkia
曹	cqei
爬	pzuu
狐	hqua
贺	hbau
倍	brui
惹	rxei
扭	nfei
弯	wgoe
箱	xpue
羊	ydou
牵	qdeu
抹	mfei
丫	ydou
刑	xlee
讶	yyoa
尝	cxio
辆	lcea
驾	jmau
慈	cxou
邀	ylui
寇	kgoo
遥	yluo
零	lveo
扰	rfei
危	wdua
舌	spue
碧	bsee
拾	sfei
菲	fcei
弹	dgae
殊	sdeu
玲	lwee
吞	tkee
绩	jjaa
搜	sfei
脉	mvua
穆	mhue
庞	pgoe
躯	qsui
荷	hcei
虹	hcia
墨	mhia
崖	ysia
丑	czai
井	jvee
亭	twoe
腹	fvua
鞭	bgei
扮	bfei
誉	yyoo
悟	wloo
删	slua
蝶	dcia
堪	ktei
镖	bjue
劈	pdae
爆	bhou
拔	bfei
辰	cheu
喂	wkia
署	szia
袍	pnoa
扣	kfei
援	yfei
昌	cqia
贤	xbii
铺	pjue
牧	mnue
综	zjaa
瞬	smia
毅	ysoe
耶	yvei
嗯	nkia
艰	jyao
掠	lfei
熊	xlao
植	zmei
聊	lvei
寸	chei
饰	ssua
搭	dfei
扇	shoa
践	jzia
嘉	jtei
柄	bmei
坡	ptei
陶	tvai
轩	xcea
湘	xdoo
详	xyoa
轰	hcea
痕	hboe
喘	ckia
裁	cyei
耸	svuo
侵	qrui
御	ycuu
闯	cmoi
倏	srui
敲	qqoe
庙	mgoe
夹	jheo
祸	hnoa
罚	fzia
挤	jfei
棋	qmei
贡	ggei
偶	vrui
眨	zmia
患	hxia
撒	sfei
枫	fmei
欠	qpua
惠	hxei
频	pyie
蓉	rcei
储	crui
函	hkai
辑	jcea
筹	cpue
吾	wkei
刃	rdau
滴	ddoo
糖	tmou
遂	slou
拨	bfei
弗	fgae
债	zrui
勉	mlua
衡	hcuu
忖	cloo
颊	jyeo
辱	rceu
锐	rjue
晶	jqia
卧	wbei
姬	jnau
铃	ljue
狄	dqua
勃	blei
铜	tjue
迈	mlea
瓶	pwou
薛	xcei
涂	tdoo
茫	mcei
丈	zheu
烂	lhou
岩	ysia
燃	rhou
钻	zjue
琪	qwee
狱	yqua
骇	hmaa
擦	cfei
斤	jpuu
贷	dbui
币	bjui
袁	ytei
昆	kqia
仗	zrui
邻	lvuo
冯	fdoe
谅	lyoa
丛	chuo
齿	csie
媚	mnau
嘻	xkia
贾	jxei
搬	bfei
龄	lcie
寿	scee
奏	zvee
跪	gzia
咐	fkia
驰	cmaa
阔	kmoi
莎	scei
励	lleu
拓	tfei
娶	qnei
晴	qqia
悠	yxui
梯	tmei
卿	qvua
赴	fzei
脆	cvua
碗	wseu
覆	fxei
叉	cyao
降	xvai
纤	qjaa
圈	qkia
刹	cluo
浅	qdoo
哩	lkia
趁	czei
夕	xpua
幼	ylaa
昂	vqia
翎	lvuo
歉	qqou
湿	sdoo
麟	lloe
孝	xtei
矣	ysao
愧	kloo
炼	lhou
雁	yceu
戈	ghea
寄	jgoo
宅	zgoo
坛	ttei
胖	pvua
乾	qsei
估	grui
矛	mzao
殷	ysuu
罩	zzia
雕	dzua
盾	dmuu
凄	qdoe
兽	sbou
肥	fvua
鹤	hnoa
鞋	xgei
寨	zmoo
薇	wcei
撤	cfei
俞	yruo
碍	vseu
翔	xyou
耀	yxio
腕	wvua
酸	syei
愣	lloo
割	gloo
抛	pfei
趋	qzei
脏	zvua
嫌	xnau
胁	xvua
誓	syei
尹	yxae
舟	zpuu
歇	xqia
柱	zmei
麽	mmoe
桂	gmei
媒	mnau
捷	jfei
糟	zmou
虫	csia
斩	zcea
乏	fpuo
喷	pkia
披	pfei
嫂	snau
崔	csia
宛	wgoo
洒	sdoo
婉	wnau
崇	csia
柜	gmei
腐	fgoe
戚	qgeu
甫	fhei
诱	yyoa
魏	wgue
愕	vloo
览	ljii
辛	xdoe
萍	pcei
瑶	ywee
弥	mgae
摘	zfei
咽	ykia
臭	czui
屠	tsae
杖	zmei
赢	yboe
藏	zcei
逢	flua
矮	vsue
瓜	gpuu
郁	yveu
饶	rsua
帽	mjia
焰	yhou
摔	sfei
尉	wcae
纠	jjaa
妨	fnau
润	rdoo
亩	mwoe
颈	jyao
盼	pmia
挨	vfei
琼	qwee
哑	ykia
喉	hkia
芙	fcei
巡	xlaa
姜	jyou
昔	xqei
厨	cceu
豆	dhei
踢	tzia
吵	ckia
廉	lgoe
妥	tzuo
酷	kyei
畏	wtia
疏	syai
丐	ghei
肤	fvua
筋	jpue
循	xcuu
棉	mmei
爪	zpuu
率	swoe
缝	fjaa
辩	bxoe
姨	ynau
帕	pjia
译	yyoa
矿	kseu
吩	fkia
悬	xxia
猪	zqua
疲	pboe
丘	qpui
懒	lloo
邮	yvia
捧	pfei
帅	sjiu
偿	crui
撑	cfei
猫	mqua
膀	bvua
靖	jloe
奸	jnau
巾	jsia
岸	vsia
削	xlio
辣	lxoe
愉	yloo
矩	jsue
苗	mcei
笼	lpue
晌	sqia
纱	sjaa
翁	wvuo
卜	bsio
慎	sloo
彭	ppei
惟	wloo
饱	bsua
谦	qyoa
揭	jfei
鸿	hdoo
笨	bpue
岭	lsia
瞒	mmia
牲	snue
绵	mjaa
愚	yxia
谭	tyoa
汪	wdoo
僵	jrui
枚	mmei
拂	ffei
聂	nvei
宴	ygoo
骤	zmaa
稀	xhue
绳	sjaa
贪	tbuo
迁	qlue
擒	qfei
渊	ydoo
猎	lqua
嚷	rkia
砍	kseu
驶	smaa
滋	zdoo
裴	pyie
呈	ckia
添	tdoo
拟	nfei
遵	zlou
柯	kmei
蓦	mmei
轿	jcea
晕	yqia
旨	zqua
溪	xdoo
抑	yfei
蜜	mcoo
墓	mtei
租	zhue
脾	pvua
链	ljue
贞	zbie
魄	pbui
陡	dvai
驱	qmaa
兆	zpuo
役	ycuu
瞥	pmou
涵	hdoo
氛	fque
肌	jvua
吨	dkia
窝	wxoo
珊	swee
